date,ASML Holding,isPartial
2016-09-11,43,False
2016-09-12,0,False
2016-09-13,36,False
2016-09-14,0,False
2016-09-15,0,False
2016-09-16,0,False
2016-09-17,0,False
2016-09-18,0,False
2016-09-19,71,False
2016-09-20,0,False
2016-09-21,0,False
2016-09-22,0,False
2016-09-23,0,False
2016-09-24,0,False
2016-09-25,0,False
2016-09-26,36,False
2016-09-27,0,False
2016-09-28,0,False
2016-09-29,0,False
2016-09-30,38,False
2016-10-01,0,False
2016-10-02,0,False
2016-10-03,0,False
2016-10-04,35,False
2016-10-05,0,False
2016-10-06,0,False
2016-10-07,75,False
2016-10-08,0,False
2016-10-09,0,False
2016-10-10,36,False
2016-10-11,0,False
2016-10-12,0,False
2016-10-13,36,False
2016-10-14,0,False
2016-10-15,0,False
2016-10-16,0,False
2016-10-17,0,False
2016-10-18,0,False
2016-10-19,35,False
2016-10-20,71,False
2016-10-21,0,False
2016-10-22,0,False
2016-10-23,41,False
2016-10-24,35,False
2016-10-25,0,False
2016-10-26,0,False
2016-10-27,0,False
2016-10-28,0,False
2016-10-29,0,False
2016-10-30,0,False
2016-10-31,0,False
2016-11-01,0,False
2016-11-02,0,False
2016-11-03,0,False
2016-11-04,0,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,0,False
2016-11-08,0,False
2016-11-09,0,False
2016-11-10,0,False
2016-11-11,74,False
2016-11-12,0,False
2016-11-13,0,False
2016-11-14,0,False
2016-11-15,35,False
2016-11-16,35,False
2016-11-17,0,False
2016-11-18,0,False
2016-11-19,0,False
2016-11-20,0,False
2016-11-21,0,False
2016-11-22,0,False
2016-11-23,0,False
2016-11-24,0,False
2016-11-25,0,False
2016-11-26,0,False
2016-11-27,0,False
2016-11-28,33,False
2016-11-29,0,False
2016-11-30,0,False
2016-12-01,0,False
2016-12-02,0,False
2016-12-03,0,False
2016-12-04,0,False
2016-12-05,31,False
2016-12-06,0,False
2016-12-07,0,False
2016-12-08,0,False
2016-12-09,0,False
2016-12-10,0,False
2016-12-11,0,False
2016-12-12,0,False
2016-12-13,0,False
2016-12-14,0,False
2016-12-15,69,False
2016-12-16,0,False
2016-12-17,0,False
2016-12-18,0,False
2016-12-19,0,False
2016-12-20,0,False
2016-12-21,0,False
2016-12-22,37,False
2016-12-23,38,False
2016-12-24,0,False
2016-12-25,0,False
2016-12-26,0,False
2016-12-27,0,False
2016-12-28,36,False
2016-12-29,0,False
2016-12-30,0,False
2016-12-31,0,False
2017-01-01,43,False
2017-01-02,0,False
2017-01-03,0,False
2017-01-04,0,False
2017-01-05,0,False
2017-01-06,0,False
2017-01-07,0,False
2017-01-08,0,False
2017-01-09,0,False
2017-01-10,0,False
2017-01-11,33,False
2017-01-12,34,False
2017-01-13,0,False
2017-01-14,0,False
2017-01-15,0,False
2017-01-16,0,False
2017-01-17,0,False
2017-01-18,98,False
2017-01-19,0,False
2017-01-20,0,False
2017-01-21,0,False
2017-01-22,0,False
2017-01-23,0,False
2017-01-24,33,False
2017-01-25,0,False
2017-01-26,0,False
2017-01-27,0,False
2017-01-28,39,False
2017-01-29,0,False
2017-01-30,0,False
2017-01-31,65,False
2017-02-01,32,False
2017-02-02,0,False
2017-02-03,0,False
2017-02-04,0,False
2017-02-05,0,False
2017-02-06,0,False
2017-02-07,0,False
2017-02-08,0,False
2017-02-09,0,False
2017-02-10,0,False
2017-02-11,0,False
2017-02-12,0,False
2017-02-13,32,False
2017-02-14,0,False
2017-02-15,33,False
2017-02-16,0,False
2017-02-17,0,False
2017-02-18,0,False
2017-02-19,75,False
2017-02-20,32,False
2017-02-21,0,False
2017-02-22,32,False
2017-02-23,33,False
2017-02-24,0,False
2017-02-25,0,False
