date,Amazon,isPartial
2012-01-26,80,False
2012-01-27,82,False
2012-01-28,89,False
2012-01-29,94,False
2012-01-30,84,False
2012-01-31,83,False
2012-02-01,84,False
2012-02-02,81,False
2012-02-03,80,False
2012-02-04,88,False
2012-02-05,90,False
2012-02-06,82,False
2012-02-07,82,False
2012-02-08,83,False
2012-02-09,80,False
2012-02-10,79,False
2012-02-11,87,False
2012-02-12,87,False
2012-02-13,80,False
2012-02-14,77,False
2012-02-15,79,False
2012-02-16,78,False
2012-02-17,76,False
2012-02-18,83,False
2012-02-19,90,False
2012-02-20,84,False
2012-02-21,82,False
2012-02-22,79,False
2012-02-23,79,False
2012-02-24,78,False
2012-02-25,85,False
2012-02-26,88,False
2012-02-27,81,False
2012-02-28,81,False
2012-02-29,81,False
2012-03-01,80,False
2012-03-02,80,False
2012-03-03,89,False
2012-03-04,94,False
2012-03-05,82,False
2012-03-06,80,False
2012-03-07,80,False
2012-03-08,81,False
2012-03-09,79,False
2012-03-10,86,False
2012-03-11,91,False
2012-03-12,81,False
2012-03-13,81,False
2012-03-14,79,False
2012-03-15,77,False
2012-03-16,78,False
2012-03-17,83,False
2012-03-18,91,False
2012-03-19,80,False
2012-03-20,82,False
2012-03-21,79,False
2012-03-22,78,False
2012-03-23,76,False
2012-03-24,80,False
2012-03-25,86,False
2012-03-26,78,False
2012-03-27,77,False
2012-03-28,76,False
2012-03-29,75,False
2012-03-30,74,False
2012-03-31,82,False
2012-04-01,87,False
2012-04-02,80,False
2012-04-03,78,False
2012-04-04,78,False
2012-04-05,75,False
2012-04-06,78,False
2012-04-07,78,False
2012-04-08,80,False
2012-04-09,77,False
2012-04-10,76,False
2012-04-11,76,False
2012-04-12,76,False
2012-04-13,74,False
2012-04-14,78,False
2012-04-15,84,False
2012-04-16,77,False
2012-04-17,76,False
2012-04-18,76,False
2012-04-19,74,False
2012-04-20,74,False
2012-04-21,80,False
2012-04-22,86,False
2012-04-23,81,False
2012-04-24,76,False
2012-04-25,76,False
2012-04-26,75,False
2012-04-27,76,False
2012-04-28,80,False
2012-04-29,88,False
2012-04-30,79,False
2012-05-01,82,False
2012-05-02,77,False
2012-05-03,78,False
2012-05-04,76,False
2012-05-05,82,False
2012-05-06,86,False
2012-05-07,83,False
2012-05-08,79,False
2012-05-09,78,False
2012-05-10,77,False
2012-05-11,74,False
2012-05-12,78,False
2012-05-13,85,False
2012-05-14,78,False
2012-05-15,79,False
2012-05-16,75,False
2012-05-17,74,False
2012-05-18,75,False
2012-05-19,79,False
2012-05-20,84,False
2012-05-21,78,False
2012-05-22,74,False
2012-05-23,73,False
2012-05-24,72,False
2012-05-25,70,False
2012-05-26,74,False
2012-05-27,78,False
2012-05-28,76,False
2012-05-29,77,False
2012-05-30,77,False
2012-05-31,76,False
2012-06-01,73,False
2012-06-02,79,False
2012-06-03,85,False
2012-06-04,74,False
2012-06-05,77,False
2012-06-06,76,False
2012-06-07,77,False
2012-06-08,75,False
2012-06-09,80,False
2012-06-10,88,False
2012-06-11,79,False
2012-06-12,80,False
2012-06-13,80,False
2012-06-14,75,False
2012-06-15,75,False
2012-06-16,83,False
2012-06-17,87,False
2012-06-18,79,False
2012-06-19,78,False
2012-06-20,78,False
2012-06-21,77,False
2012-06-22,76,False
2012-06-23,82,False
2012-06-24,89,False
2012-06-25,81,False
2012-06-26,81,False
2012-06-27,82,False
2012-06-28,76,False
2012-06-29,79,False
2012-06-30,85,False
2012-07-01,93,False
2012-07-02,83,False
2012-07-03,82,False
2012-07-04,80,False
2012-07-05,78,False
2012-07-06,80,False
2012-07-07,86,False
2012-07-08,93,False
2012-07-09,86,False
2012-07-10,82,False
2012-07-11,81,False
2012-07-12,83,False
2012-07-13,81,False
2012-07-14,87,False
2012-07-15,93,False
2012-07-16,84,False
2012-07-17,83,False
2012-07-18,82,False
2012-07-19,82,False
2012-07-20,80,False
2012-07-21,85,False
2012-07-22,89,False
2012-07-23,81,False
2012-07-24,80,False
2012-07-25,78,False
2012-07-26,77,False
2012-07-27,76,False
2012-07-28,79,False
2012-07-29,89,False
2012-07-30,82,False
2012-07-31,80,False
2012-08-01,79,False
2012-08-02,80,False
2012-08-03,78,False
2012-08-04,82,False
2012-08-05,91,False
2012-08-06,84,False
2012-08-07,83,False
2012-08-08,81,False
2012-08-09,81,False
2012-08-10,78,False
2012-08-11,81,False
2012-08-12,88,False
2012-08-13,85,False
2012-08-14,86,False
2012-08-15,85,False
2012-08-16,84,False
2012-08-17,82,False
2012-08-18,84,False
2012-08-19,92,False
2012-08-20,90,False
2012-08-21,87,False
2012-08-22,88,False
2012-08-23,83,False
2012-08-24,85,False
2012-08-25,90,False
2012-08-26,93,False
2012-08-27,88,False
2012-08-28,89,False
2012-08-29,88,False
2012-08-30,85,False
2012-08-31,84,False
2012-09-01,88,False
2012-09-02,95,False
2012-09-03,91,False
2012-09-04,87,False
2012-09-05,88,False
2012-09-06,91,False
2012-09-07,89,False
2012-09-08,92,False
2012-09-09,94,False
2012-09-10,87,False
2012-09-11,87,False
2012-09-12,85,False
2012-09-13,84,False
2012-09-14,83,False
2012-09-15,92,False
2012-09-16,96,False
2012-09-17,87,False
2012-09-18,87,False
2012-09-19,84,False
2012-09-20,84,False
2012-09-21,85,False
2012-09-22,93,False
2012-09-23,100,False
2012-09-24,90,False
2012-09-25,89,False
2012-09-26,88,False
2012-09-27,88,False
2012-09-28,87,False
2012-09-29,91,False
2012-09-30,100,False
2012-10-01,91,False
2012-10-02,89,False
2012-10-03,88,False
2012-10-04,87,False
2012-10-05,86,False
2012-10-06,94,False
2012-10-07,97,False
2012-10-08,92,False
2012-10-09,89,False
2012-10-10,90,False
2012-10-11,90,False
2012-10-12,90,False
