date,DISH Network,isPartial
2018-02-13,50,False
2018-02-14,41,False
2018-02-15,57,False
2018-02-16,64,False
2018-02-17,62,False
2018-02-18,60,False
2018-02-19,60,False
2018-02-20,50,False
2018-02-21,57,False
2018-02-22,67,False
2018-02-23,63,False
2018-02-24,66,False
2018-02-25,59,False
2018-02-26,47,False
2018-02-27,55,False
2018-02-28,58,False
2018-03-01,59,False
2018-03-02,64,False
2018-03-03,67,False
2018-03-04,59,False
2018-03-05,60,False
2018-03-06,59,False
2018-03-07,60,False
2018-03-08,51,False
2018-03-09,58,False
2018-03-10,62,False
2018-03-11,80,False
2018-03-12,63,False
2018-03-13,52,False
2018-03-14,46,False
2018-03-15,66,False
2018-03-16,62,False
2018-03-17,59,False
2018-03-18,59,False
2018-03-19,62,False
2018-03-20,53,False
2018-03-21,57,False
2018-03-22,51,False
2018-03-23,50,False
2018-03-24,57,False
2018-03-25,55,False
2018-03-26,49,False
2018-03-27,54,False
2018-03-28,55,False
2018-03-29,62,False
2018-03-30,58,False
2018-03-31,74,False
2018-04-01,56,False
2018-04-02,62,False
2018-04-03,63,False
2018-04-04,50,False
2018-04-05,56,False
2018-04-06,60,False
2018-04-07,73,False
2018-04-08,69,False
2018-04-09,51,False
2018-04-10,49,False
2018-04-11,44,False
2018-04-12,48,False
2018-04-13,57,False
2018-04-14,63,False
2018-04-15,66,False
2018-04-16,53,False
2018-04-17,50,False
2018-04-18,46,False
2018-04-19,51,False
2018-04-20,57,False
2018-04-21,60,False
2018-04-22,48,False
2018-04-23,49,False
2018-04-24,42,False
2018-04-25,53,False
2018-04-26,50,False
2018-04-27,54,False
2018-04-28,53,False
2018-04-29,58,False
2018-04-30,51,False
2018-05-01,61,False
2018-05-02,49,False
2018-05-03,47,False
2018-05-04,46,False
2018-05-05,56,False
2018-05-06,46,False
2018-05-07,100,False
2018-05-08,90,False
2018-05-09,64,False
2018-05-10,56,False
2018-05-11,56,False
2018-05-12,52,False
2018-05-13,53,False
2018-05-14,48,False
2018-05-15,43,False
2018-05-16,39,False
2018-05-17,42,False
2018-05-18,47,False
2018-05-19,57,False
2018-05-20,50,False
2018-05-21,41,False
2018-05-22,45,False
2018-05-23,47,False
2018-05-24,40,False
2018-05-25,50,False
2018-05-26,60,False
2018-05-27,61,False
2018-05-28,49,False
2018-05-29,61,False
2018-05-30,55,False
2018-05-31,57,False
2018-06-01,62,False
2018-06-02,51,False
2018-06-03,58,False
2018-06-04,65,False
2018-06-05,46,False
2018-06-06,50,False
2018-06-07,55,False
2018-06-08,56,False
2018-06-09,54,False
2018-06-10,51,False
2018-06-11,55,False
2018-06-12,50,False
2018-06-13,58,False
2018-06-14,62,False
2018-06-15,85,False
2018-06-16,67,False
2018-06-17,55,False
2018-06-18,59,False
2018-06-19,60,False
2018-06-20,64,False
2018-06-21,63,False
2018-06-22,47,False
2018-06-23,58,False
2018-06-24,50,False
2018-06-25,58,False
2018-06-26,50,False
2018-06-27,55,False
2018-06-28,53,False
