date,DISH Network,isPartial
2014-03-16,58,False
2014-03-17,57,False
2014-03-18,54,False
2014-03-19,50,False
2014-03-20,57,False
2014-03-21,60,False
2014-03-22,56,False
2014-03-23,55,False
2014-03-24,55,False
2014-03-25,51,False
2014-03-26,48,False
2014-03-27,50,False
2014-03-28,53,False
2014-03-29,57,False
2014-03-30,58,False
2014-03-31,58,False
2014-04-01,54,False
2014-04-02,55,False
2014-04-03,57,False
2014-04-04,58,False
2014-04-05,60,False
2014-04-06,66,False
2014-04-07,57,False
2014-04-08,52,False
2014-04-09,62,False
2014-04-10,48,False
2014-04-11,54,False
2014-04-12,56,False
2014-04-13,64,False
2014-04-14,50,False
2014-04-15,52,False
2014-04-16,53,False
2014-04-17,53,False
2014-04-18,54,False
2014-04-19,54,False
2014-04-20,49,False
2014-04-21,52,False
2014-04-22,50,False
2014-04-23,47,False
2014-04-24,47,False
2014-04-25,49,False
2014-04-26,53,False
2014-04-27,53,False
2014-04-28,49,False
2014-04-29,51,False
2014-04-30,54,False
2014-05-01,57,False
2014-05-02,54,False
2014-05-03,59,False
2014-05-04,57,False
2014-05-05,52,False
2014-05-06,45,False
2014-05-07,50,False
2014-05-08,49,False
2014-05-09,50,False
2014-05-10,48,False
2014-05-11,44,False
2014-05-12,53,False
2014-05-13,47,False
2014-05-14,48,False
2014-05-15,48,False
2014-05-16,48,False
2014-05-17,50,False
2014-05-18,50,False
2014-05-19,51,False
2014-05-20,45,False
2014-05-21,42,False
2014-05-22,45,False
2014-05-23,47,False
2014-05-24,54,False
2014-05-25,41,False
2014-05-26,41,False
2014-05-27,49,False
2014-05-28,48,False
2014-05-29,56,False
2014-05-30,53,False
2014-05-31,55,False
2014-06-01,50,False
2014-06-02,51,False
2014-06-03,52,False
2014-06-04,48,False
2014-06-05,51,False
2014-06-06,53,False
2014-06-07,58,False
2014-06-08,55,False
2014-06-09,51,False
2014-06-10,54,False
2014-06-11,50,False
2014-06-12,56,False
2014-06-13,60,False
2014-06-14,54,False
2014-06-15,45,False
2014-06-16,52,False
2014-06-17,54,False
2014-06-18,49,False
2014-06-19,48,False
2014-06-20,50,False
2014-06-21,52,False
2014-06-22,54,False
2014-06-23,56,False
2014-06-24,49,False
2014-06-25,51,False
2014-06-26,53,False
2014-06-27,48,False
2014-06-28,52,False
2014-06-29,49,False
2014-06-30,54,False
2014-07-01,57,False
2014-07-02,48,False
2014-07-03,52,False
2014-07-04,43,False
2014-07-05,47,False
2014-07-06,57,False
2014-07-07,57,False
2014-07-08,55,False
2014-07-09,55,False
2014-07-10,52,False
2014-07-11,54,False
2014-07-12,52,False
2014-07-13,80,False
2014-07-14,54,False
2014-07-15,55,False
2014-07-16,59,False
2014-07-17,54,False
2014-07-18,55,False
2014-07-19,52,False
2014-07-20,48,False
2014-07-21,52,False
2014-07-22,52,False
2014-07-23,53,False
2014-07-24,52,False
2014-07-25,54,False
2014-07-26,53,False
2014-07-27,51,False
2014-07-28,55,False
2014-07-29,54,False
2014-07-30,55,False
2014-07-31,53,False
2014-08-01,59,False
2014-08-02,58,False
2014-08-03,57,False
2014-08-04,56,False
2014-08-05,58,False
2014-08-06,57,False
2014-08-07,56,False
2014-08-08,59,False
2014-08-09,63,False
2014-08-10,61,False
2014-08-11,55,False
2014-08-12,57,False
2014-08-13,56,False
2014-08-14,68,False
2014-08-15,71,False
2014-08-16,63,False
2014-08-17,64,False
2014-08-18,59,False
2014-08-19,50,False
2014-08-20,53,False
2014-08-21,51,False
2014-08-22,57,False
2014-08-23,65,False
2014-08-24,58,False
2014-08-25,61,False
2014-08-26,56,False
2014-08-27,51,False
2014-08-28,71,False
2014-08-29,72,False
2014-08-30,100,False
2014-08-31,67,False
2014-09-01,47,False
2014-09-02,55,False
2014-09-03,55,False
2014-09-04,55,False
2014-09-05,57,False
2014-09-06,84,False
2014-09-07,80,False
2014-09-08,52,False
2014-09-09,52,False
2014-09-10,50,False
2014-09-11,51,False
2014-09-12,53,False
2014-09-13,85,False
2014-09-14,75,False
2014-09-15,50,False
2014-09-16,50,False
2014-09-17,46,False
2014-09-18,47,False
2014-09-19,51,False
2014-09-20,63,False
2014-09-21,60,False
2014-09-22,50,False
2014-09-23,47,False
2014-09-24,43,False
2014-09-25,45,False
2014-09-26,51,False
2014-09-27,71,False
2014-09-28,65,False
2014-09-29,50,False
2014-09-30,55,False
2014-10-01,56,False
2014-10-02,54,False
2014-10-03,61,False
2014-10-04,79,False
2014-10-05,70,False
2014-10-06,55,False
2014-10-07,57,False
2014-10-08,53,False
2014-10-09,52,False
2014-10-10,52,False
2014-10-11,61,False
2014-10-12,65,False
2014-10-13,54,False
2014-10-14,50,False
2014-10-15,51,False
2014-10-16,49,False
2014-10-17,52,False
2014-10-18,65,False
2014-10-19,51,False
2014-10-20,48,False
2014-10-21,84,False
2014-10-22,89,False
2014-10-23,64,False
2014-10-24,64,False
2014-10-25,77,False
2014-10-26,72,False
2014-10-27,61,False
2014-10-28,59,False
2014-10-29,56,False
2014-10-30,57,False
2014-10-31,62,False
2014-11-01,74,False
2014-11-02,68,False
2014-11-03,63,False
2014-11-04,61,False
2014-11-05,55,False
2014-11-06,57,False
2014-11-07,62,False
2014-11-08,64,False
2014-11-09,62,False
2014-11-10,52,False
2014-11-11,52,False
2014-11-12,50,False
2014-11-13,47,False
2014-11-14,58,False
2014-11-15,68,False
2014-11-16,62,False
2014-11-17,57,False
2014-11-18,50,False
2014-11-19,58,False
2014-11-20,60,False
2014-11-21,64,False
2014-11-22,82,False
2014-11-23,67,False
2014-11-24,51,False
2014-11-25,52,False
2014-11-26,48,False
2014-11-27,48,False
2014-11-28,58,False
2014-11-29,78,False
2014-11-30,65,False
2014-12-01,58,False
