date,CSCO stock
2011-09-18,15
2011-09-19,38
2011-09-20,38
2011-09-21,13
2011-09-22,0
2011-09-23,27
2011-09-24,0
2011-09-25,0
2011-09-26,38
2011-09-27,50
2011-09-28,38
2011-09-29,0
2011-09-30,13
2011-10-01,0
2011-10-02,0
2011-10-03,25
2011-10-04,25
2011-10-05,37
2011-10-06,38
2011-10-07,27
2011-10-08,31
2011-10-09,0
2011-10-10,50
2011-10-11,23
2011-10-12,24
2011-10-13,51
2011-10-14,66
2011-10-15,15
2011-10-16,45
2011-10-17,12
2011-10-18,37
2011-10-19,12
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,49
2011-10-25,24
2011-10-26,50
2011-10-27,37
2011-10-28,66
2011-10-29,0
2011-10-30,30
2011-10-31,38
2011-11-01,13
2011-11-02,50
2011-11-03,37
2011-11-04,77
2011-11-05,30
2011-11-06,0
2011-11-07,62
2011-11-08,24
2011-11-09,86
2011-11-10,62
2011-11-11,26
2011-11-12,15
2011-11-13,29
2011-11-14,48
2011-11-15,36
2011-11-16,24
2011-11-17,24
2011-11-18,52
2011-11-19,0
2011-11-20,14
2011-11-21,12
2011-11-22,24
2011-11-23,12
2011-11-24,26
2011-11-25,0
2011-11-26,0
2011-11-27,15
2011-11-28,24
2011-11-29,0
2011-11-30,24
2011-12-01,60
2011-12-02,77
2011-12-03,0
2011-12-04,0
2011-12-05,24
2011-12-06,0
2011-12-07,36
2011-12-08,25
2011-12-09,13
2011-12-10,29
2011-12-11,0
2011-12-12,24
2011-12-13,12
2011-12-14,12
2011-12-15,49
2011-12-16,13
2011-12-17,0
2011-12-18,0
2011-12-19,12
2011-12-20,12
2011-12-21,37
2011-12-22,13
2011-12-23,28
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,0
2011-12-28,26
2011-12-29,26
2011-12-30,14
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,60
2012-01-04,12
2012-01-05,36
2012-01-06,12
2012-01-07,29
2012-01-08,0
2012-01-09,23
2012-01-10,0
2012-01-11,23
2012-01-12,23
2012-01-13,36
2012-01-14,0
2012-01-15,0
2012-01-16,11
2012-01-17,23
2012-01-18,56
2012-01-19,34
2012-01-20,12
2012-01-21,14
2012-01-22,14
2012-01-23,23
2012-01-24,56
2012-01-25,11
2012-01-26,23
2012-01-27,23
2012-01-28,42
2012-01-29,13
2012-01-30,22
2012-01-31,33
2012-02-01,34
2012-02-02,34
2012-02-03,59
2012-02-04,27
2012-02-05,0
2012-02-06,11
2012-02-07,45
2012-02-08,100
2012-02-09,23
2012-02-10,35
2012-02-11,0
2012-02-12,13
2012-02-13,22
2012-02-14,45
2012-02-15,34
2012-02-16,69
2012-02-17,35
2012-02-18,0
2012-02-19,41
2012-02-20,11
2012-02-21,58
2012-02-22,11
2012-02-23,23
2012-02-24,12
2012-02-25,0
2012-02-26,0
2012-02-27,33
2012-02-28,22
2012-02-29,33
2012-03-01,46
2012-03-02,24
2012-03-03,14
2012-03-04,0
2012-03-05,0
2012-03-06,44
2012-03-07,33
2012-03-08,11
2012-03-09,12
2012-03-10,0
2012-03-11,0
2012-03-12,33
2012-03-13,22
2012-03-14,11
2012-03-15,34
2012-03-16,35
2012-03-17,14
2012-03-18,0
2012-03-19,11
2012-03-20,0
2012-03-21,33
2012-03-22,23
2012-03-23,36
2012-03-24,0
2012-03-25,0
2012-03-26,44
2012-03-27,22
2012-03-28,67
2012-03-29,45
2012-03-30,24
2012-03-31,13
2012-04-01,0
2012-04-02,11
2012-04-03,0
2012-04-04,23
2012-04-05,36
2012-04-06,13
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,11
2012-04-11,0
2012-04-12,11
2012-04-13,0
2012-04-14,13
2012-04-15,13
2012-04-16,11
2012-04-17,22
2012-04-18,0
2012-04-19,45
2012-04-20,12
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,66
2012-04-25,22
2012-04-26,56
2012-04-27,12
2012-04-28,0
2012-04-29,0
2012-04-30,23
2012-05-01,49
2012-05-02,22
2012-05-03,22
2012-05-04,23
2012-05-05,0
2012-05-06,13
2012-05-07,22
2012-05-08,22
2012-05-09,76
2012-05-10,90
2012-05-11,12
2012-05-12,27
2012-05-13,27
2012-05-14,21
2012-05-15,32
2012-05-16,22
2012-05-17,23
2012-05-18,12
2012-05-19,27
2012-05-20,27
2012-05-21,11
2012-05-22,43
2012-05-23,11
2012-05-24,11
2012-05-25,23
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,11
2012-05-30,11
2012-05-31,11
2012-06-01,69
2012-06-02,0
2012-06-03,0
2012-06-04,0
