date,CSCO stock
2011-05-11,56
2011-05-12,28
2011-05-13,50
2011-05-14,12
2011-05-15,0
2011-05-16,18
2011-05-17,19
2011-05-18,28
2011-05-19,10
2011-05-20,30
2011-05-21,24
2011-05-22,0
2011-05-23,65
2011-05-24,19
2011-05-25,19
2011-05-26,28
2011-05-27,20
2011-05-28,12
2011-05-29,0
2011-05-30,10
2011-05-31,46
2011-06-01,19
2011-06-02,20
2011-06-03,0
2011-06-04,12
2011-06-05,12
2011-06-06,9
2011-06-07,37
2011-06-08,28
2011-06-09,9
2011-06-10,30
2011-06-11,0
2011-06-12,24
2011-06-13,19
2011-06-14,9
2011-06-15,28
2011-06-16,19
2011-06-17,0
2011-06-18,12
2011-06-19,0
2011-06-20,9
2011-06-21,28
2011-06-22,57
2011-06-23,29
2011-06-24,30
2011-06-25,12
2011-06-26,0
2011-06-27,9
2011-06-28,37
2011-06-29,47
2011-06-30,39
2011-07-01,10
2011-07-02,0
2011-07-03,12
2011-07-04,10
2011-07-05,10
2011-07-06,19
2011-07-07,10
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,28
2011-07-12,57
2011-07-13,10
2011-07-14,29
2011-07-15,51
2011-07-16,0
2011-07-17,0
2011-07-18,19
2011-07-19,47
2011-07-20,38
2011-07-21,19
2011-07-22,20
2011-07-23,0
2011-07-24,0
2011-07-25,46
2011-07-26,19
2011-07-27,29
2011-07-28,29
2011-07-29,10
2011-07-30,0
2011-07-31,0
2011-08-01,19
2011-08-02,58
2011-08-03,38
2011-08-04,29
2011-08-05,20
2011-08-06,24
2011-08-07,0
2011-08-08,46
2011-08-09,27
2011-08-10,47
2011-08-11,75
2011-08-12,30
2011-08-13,24
2011-08-14,12
2011-08-15,29
2011-08-16,56
2011-08-17,10
2011-08-18,37
2011-08-19,29
2011-08-20,12
2011-08-21,0
2011-08-22,37
2011-08-23,63
2011-08-24,18
2011-08-25,27
2011-08-26,0
2011-08-27,34
2011-08-28,11
2011-08-29,27
2011-08-30,36
2011-08-31,9
2011-09-01,28
2011-09-02,28
2011-09-03,11
2011-09-04,11
2011-09-05,0
2011-09-06,26
2011-09-07,18
2011-09-08,35
2011-09-09,9
2011-09-10,11
2011-09-11,11
2011-09-12,43
2011-09-13,26
2011-09-14,17
2011-09-15,18
2011-09-16,9
2011-09-17,0
2011-09-18,10
2011-09-19,26
2011-09-20,8
2011-09-21,17
2011-09-22,0
2011-09-23,37
2011-09-24,0
2011-09-25,0
2011-09-26,26
2011-09-27,42
2011-09-28,17
2011-09-29,0
2011-09-30,9
2011-10-01,0
2011-10-02,0
2011-10-03,17
2011-10-04,8
2011-10-05,26
2011-10-06,34
2011-10-07,36
2011-10-08,10
2011-10-09,0
2011-10-10,17
2011-10-11,24
2011-10-12,8
2011-10-13,25
2011-10-14,0
2011-10-15,10
2011-10-16,10
2011-10-17,25
2011-10-18,8
2011-10-19,25
2011-10-20,26
2011-10-21,0
2011-10-22,21
2011-10-23,0
2011-10-24,41
2011-10-25,17
2011-10-26,34
2011-10-27,25
2011-10-28,80
2011-10-29,0
2011-10-30,20
2011-10-31,52
2011-11-01,9
2011-11-02,34
2011-11-03,17
2011-11-04,43
2011-11-05,20
2011-11-06,10
2011-11-07,50
2011-11-08,8
2011-11-09,100
2011-11-10,76
2011-11-11,27
2011-11-12,10
2011-11-13,20
2011-11-14,33
2011-11-15,25
2011-11-16,25
2011-11-17,33
2011-11-18,18
2011-11-19,0
2011-11-20,0
2011-11-21,8
2011-11-22,16
2011-11-23,17
2011-11-24,18
2011-11-25,0
2011-11-26,0
2011-11-27,10
2011-11-28,32
2011-11-29,8
2011-11-30,32
2011-12-01,16
2011-12-02,35
2011-12-03,0
2011-12-04,0
2011-12-05,0
2011-12-06,8
2011-12-07,33
2011-12-08,50
2011-12-09,34
2011-12-10,10
2011-12-11,0
2011-12-12,8
2011-12-13,16
2011-12-14,8
2011-12-15,25
2011-12-16,9
2011-12-17,0
2011-12-18,0
2011-12-19,8
2011-12-20,25
2011-12-21,34
2011-12-22,18
2011-12-23,28
2011-12-24,0
2011-12-25,0
2011-12-26,10
2011-12-27,0
2011-12-28,9
2011-12-29,36
2011-12-30,9
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,16
2012-01-04,8
2012-01-05,16
2012-01-06,25
2012-01-07,19
2012-01-08,0
2012-01-09,31
2012-01-10,0
2012-01-11,23
2012-01-12,24
2012-01-13,33
2012-01-14,9
2012-01-15,0
2012-01-16,8
2012-01-17,0
2012-01-18,31
2012-01-19,23
2012-01-20,24
2012-01-21,9
2012-01-22,9
2012-01-23,15
2012-01-24,8
2012-01-25,23
2012-01-26,8
