date,CSCO stock
2012-06-04,0
2012-06-05,51
2012-06-06,13
2012-06-07,53
2012-06-08,41
2012-06-09,16
2012-06-10,16
2012-06-11,13
2012-06-12,51
2012-06-13,13
2012-06-14,0
2012-06-15,0
2012-06-16,16
2012-06-17,16
2012-06-18,13
2012-06-19,25
2012-06-20,0
2012-06-21,52
2012-06-22,27
2012-06-23,16
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,55
2012-06-30,0
2012-07-01,16
2012-07-02,39
2012-07-03,52
2012-07-04,0
2012-07-05,13
2012-07-06,14
2012-07-07,0
2012-07-08,0
2012-07-09,39
2012-07-10,13
2012-07-11,0
2012-07-12,0
2012-07-13,41
2012-07-14,0
2012-07-15,0
2012-07-16,13
2012-07-17,39
2012-07-18,13
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,52
2012-07-24,0
2012-07-25,66
2012-07-26,13
2012-07-27,28
2012-07-28,0
2012-07-29,16
2012-07-30,39
2012-07-31,39
2012-08-01,13
2012-08-02,27
2012-08-03,56
2012-08-04,0
2012-08-05,0
2012-08-06,26
2012-08-07,52
2012-08-08,26
2012-08-09,40
2012-08-10,28
2012-08-11,0
2012-08-12,0
2012-08-13,39
2012-08-14,26
2012-08-15,95
2012-08-16,93
2012-08-17,42
2012-08-18,0
2012-08-19,17
2012-08-20,40
2012-08-21,26
2012-08-22,13
2012-08-23,66
2012-08-24,68
2012-08-25,16
2012-08-26,0
2012-08-27,51
2012-08-28,38
2012-08-29,38
2012-08-30,65
2012-08-31,53
2012-09-01,31
2012-09-02,16
2012-09-03,13
2012-09-04,38
2012-09-05,0
2012-09-06,25
2012-09-07,27
2012-09-08,0
2012-09-09,0
2012-09-10,25
2012-09-11,38
2012-09-12,25
2012-09-13,12
2012-09-14,13
2012-09-15,0
2012-09-16,0
2012-09-17,37
2012-09-18,12
2012-09-19,38
2012-09-20,38
2012-09-21,13
2012-09-22,15
2012-09-23,15
2012-09-24,25
2012-09-25,12
2012-09-26,0
2012-09-27,0
2012-09-28,13
2012-09-29,0
2012-09-30,0
2012-10-01,62
2012-10-02,25
2012-10-03,50
2012-10-04,37
2012-10-05,38
2012-10-06,30
2012-10-07,0
2012-10-08,24
2012-10-09,0
2012-10-10,12
2012-10-11,12
2012-10-12,13
2012-10-13,15
2012-10-14,14
2012-10-15,0
2012-10-16,24
2012-10-17,48
2012-10-18,36
2012-10-19,51
2012-10-20,0
2012-10-21,28
2012-10-22,12
2012-10-23,23
2012-10-24,0
2012-10-25,36
2012-10-26,76
2012-10-27,29
2012-10-28,0
2012-10-29,12
2012-10-30,35
2012-10-31,48
2012-11-01,12
2012-11-02,25
2012-11-03,14
2012-11-04,14
2012-11-05,11
2012-11-06,34
2012-11-07,0
2012-11-08,48
2012-11-09,25
2012-11-10,14
2012-11-11,0
2012-11-12,12
2012-11-13,47
2012-11-14,58
2012-11-15,48
2012-11-16,25
2012-11-17,14
2012-11-18,14
2012-11-19,46
2012-11-20,46
2012-11-21,58
2012-11-22,37
2012-11-23,25
2012-11-24,0
2012-11-25,0
2012-11-26,23
2012-11-27,45
2012-11-28,90
2012-11-29,23
2012-11-30,24
2012-12-01,14
2012-12-02,0
2012-12-03,11
2012-12-04,34
2012-12-05,23
2012-12-06,47
2012-12-07,0
2012-12-08,14
2012-12-09,0
2012-12-10,23
2012-12-11,23
2012-12-12,12
2012-12-13,58
2012-12-14,24
2012-12-15,27
2012-12-16,0
2012-12-17,23
2012-12-18,46
2012-12-19,0
2012-12-20,48
2012-12-21,51
2012-12-22,43
2012-12-23,15
2012-12-24,14
2012-12-25,0
2012-12-26,13
2012-12-27,49
2012-12-28,63
2012-12-29,0
2012-12-30,14
2012-12-31,42
2013-01-01,15
2013-01-02,47
2013-01-03,34
2013-01-04,60
2013-01-05,26
2013-01-06,0
2013-01-07,22
2013-01-08,0
2013-01-09,33
2013-01-10,33
2013-01-11,92
2013-01-12,0
2013-01-13,0
2013-01-14,44
2013-01-15,32
2013-01-16,76
2013-01-17,22
2013-01-18,34
2013-01-19,13
2013-01-20,25
2013-01-21,11
2013-01-22,21
2013-01-23,33
2013-01-24,44
2013-01-25,11
2013-01-26,26
2013-01-27,13
2013-01-28,75
2013-01-29,75
2013-01-30,32
2013-01-31,65
2013-02-01,46
2013-02-02,13
2013-02-03,13
2013-02-04,65
2013-02-05,32
2013-02-06,65
2013-02-07,33
2013-02-08,56
2013-02-09,13
2013-02-10,0
2013-02-11,55
2013-02-12,34
2013-02-13,87
2013-02-14,100
2013-02-15,34
2013-02-16,26
2013-02-17,0
2013-02-18,0
2013-02-19,11
