date,CSCO stock
2011-01-01,11
2011-01-02,0
2011-01-03,52
2011-01-04,29
2011-01-05,36
2011-01-06,45
2011-01-07,38
2011-01-08,0
2011-01-09,0
2011-01-10,63
2011-01-11,14
2011-01-12,21
2011-01-13,28
2011-01-14,7
2011-01-15,26
2011-01-16,0
2011-01-17,27
2011-01-18,48
2011-01-19,14
2011-01-20,27
2011-01-21,21
2011-01-22,0
2011-01-23,0
2011-01-24,7
2011-01-25,13
2011-01-26,48
2011-01-27,35
2011-01-28,14
2011-01-29,25
2011-01-30,16
2011-01-31,32
2011-02-01,52
2011-02-02,26
2011-02-03,7
2011-02-04,7
2011-02-05,8
2011-02-06,0
2011-02-07,0
2011-02-08,20
2011-02-09,47
2011-02-10,69
2011-02-11,100
2011-02-12,17
2011-02-13,8
2011-02-14,67
2011-02-15,13
2011-02-16,40
2011-02-17,47
2011-02-18,28
2011-02-19,16
2011-02-20,8
2011-02-21,13
2011-02-22,20
2011-02-23,27
2011-02-24,7
2011-02-25,21
2011-02-26,8
2011-02-27,8
2011-02-28,7
2011-03-01,52
2011-03-02,40
2011-03-03,13
2011-03-04,49
2011-03-05,17
2011-03-06,0
2011-03-07,14
2011-03-08,14
2011-03-09,13
2011-03-10,26
2011-03-11,20
2011-03-12,0
2011-03-13,8
2011-03-14,28
2011-03-15,13
2011-03-16,6
2011-03-17,40
2011-03-18,42
2011-03-19,8
2011-03-20,0
2011-03-21,7
2011-03-22,33
2011-03-23,7
2011-03-24,34
2011-03-25,0
2011-03-26,16
2011-03-27,0
2011-03-28,19
2011-03-29,6
2011-03-30,20
2011-03-31,27
2011-04-01,21
2011-04-02,17
2011-04-03,0
2011-04-04,20
2011-04-05,20
2011-04-06,27
2011-04-07,47
2011-04-08,14
2011-04-09,0
2011-04-10,8
2011-04-11,13
2011-04-12,20
2011-04-13,20
2011-04-14,27
2011-04-15,28
2011-04-16,9
2011-04-17,0
2011-04-18,20
2011-04-19,47
2011-04-20,28
2011-04-21,22
2011-04-22,24
2011-04-23,0
2011-04-24,18
2011-04-25,29
2011-04-26,7
2011-04-27,39
2011-04-28,33
2011-04-29,28
2011-04-30,9
2011-05-01,0
2011-05-02,26
2011-05-03,0
2011-05-04,13
2011-05-05,13
2011-05-06,14
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,33
2011-05-11,33
2011-05-12,46
2011-05-13,35
2011-05-14,8
2011-05-15,0
2011-05-16,25
2011-05-17,13
2011-05-18,19
2011-05-19,7
2011-05-20,14
2011-05-21,8
2011-05-22,0
2011-05-23,25
2011-05-24,13
2011-05-25,13
2011-05-26,7
2011-05-27,14
2011-05-28,25
2011-05-29,0
2011-05-30,0
2011-05-31,39
2011-06-01,0
2011-06-02,21
2011-06-03,0
2011-06-04,8
2011-06-05,0
2011-06-06,13
2011-06-07,13
2011-06-08,33
2011-06-09,26
2011-06-10,34
2011-06-11,0
2011-06-12,0
2011-06-13,13
2011-06-14,6
2011-06-15,19
2011-06-16,26
2011-06-17,7
2011-06-18,8
2011-06-19,0
2011-06-20,25
2011-06-21,13
2011-06-22,26
2011-06-23,20
2011-06-24,14
2011-06-25,17
2011-06-26,17
2011-06-27,13
2011-06-28,19
2011-06-29,13
2011-06-30,7
2011-07-01,14
2011-07-02,0
2011-07-03,8
2011-07-04,0
2011-07-05,7
2011-07-06,13
2011-07-07,20
2011-07-08,21
2011-07-09,9
2011-07-10,0
2011-07-11,26
2011-07-12,20
2011-07-13,13
2011-07-14,0
2011-07-15,28
2011-07-16,0
2011-07-17,9
2011-07-18,7
2011-07-19,26
2011-07-20,13
2011-07-21,27
2011-07-22,28
2011-07-23,8
2011-07-24,0
2011-07-25,26
2011-07-26,19
2011-07-27,20
2011-07-28,13
2011-07-29,7
2011-07-30,17
2011-07-31,0
2011-08-01,7
2011-08-02,33
2011-08-03,20
2011-08-04,33
2011-08-05,35
2011-08-06,16
2011-08-07,0
2011-08-08,31
2011-08-09,38
2011-08-10,32
2011-08-11,65
2011-08-12,34
2011-08-13,25
2011-08-14,8
2011-08-15,34
2011-08-16,58
2011-08-17,13
2011-08-18,32
2011-08-19,20
2011-08-20,8
2011-08-21,8
2011-08-22,25
2011-08-23,12
2011-08-24,19
2011-08-25,19
2011-08-26,7
2011-08-27,8
2011-08-28,16
2011-08-29,6
2011-08-30,31
2011-08-31,6
2011-09-01,6
2011-09-02,13
2011-09-03,15
2011-09-04,0
2011-09-05,6
2011-09-06,18
2011-09-07,0
2011-09-08,30
2011-09-09,6
2011-09-10,8
2011-09-11,7
2011-09-12,24
2011-09-13,18
2011-09-14,30
2011-09-15,18
2011-09-16,19
2011-09-17,15
2011-09-18,7
