date,CSCO stock
2013-06-29,15
2013-06-30,5
2013-07-01,16
2013-07-02,24
2013-07-03,25
2013-07-04,4
2013-07-05,22
2013-07-06,16
2013-07-07,0
2013-07-08,25
2013-07-09,16
2013-07-10,17
2013-07-11,41
2013-07-12,26
2013-07-13,5
2013-07-14,10
2013-07-15,16
2013-07-16,25
2013-07-17,17
2013-07-18,30
2013-07-19,22
2013-07-20,5
2013-07-21,5
2013-07-22,12
2013-07-23,12
2013-07-24,8
2013-07-25,13
2013-07-26,22
2013-07-27,5
2013-07-28,0
2013-07-29,16
2013-07-30,16
2013-07-31,12
2013-08-01,13
2013-08-02,30
2013-08-03,5
2013-08-04,5
2013-08-05,12
2013-08-06,16
2013-08-07,21
2013-08-08,25
2013-08-09,13
2013-08-10,0
2013-08-11,10
2013-08-12,20
2013-08-13,20
2013-08-14,42
2013-08-15,78
2013-08-16,26
2013-08-17,5
2013-08-18,0
2013-08-19,41
2013-08-20,16
2013-08-21,0
2013-08-22,20
2013-08-23,30
2013-08-24,5
2013-08-25,10
2013-08-26,27
2013-08-27,8
2013-08-28,0
2013-08-29,12
2013-08-30,21
2013-08-31,0
2013-09-01,0
2013-09-02,4
2013-09-03,19
2013-09-04,12
2013-09-05,16
2013-09-06,17
2013-09-07,10
2013-09-08,0
2013-09-09,19
2013-09-10,8
2013-09-11,15
2013-09-12,16
2013-09-13,8
2013-09-14,5
2013-09-15,9
2013-09-16,23
2013-09-17,19
2013-09-18,12
2013-09-19,19
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,19
2013-09-24,11
2013-09-25,16
2013-09-26,16
2013-09-27,4
2013-09-28,0
2013-09-29,0
2013-09-30,15
2013-10-01,11
2013-10-02,19
2013-10-03,12
2013-10-04,20
2013-10-05,0
2013-10-06,0
2013-10-07,8
2013-10-08,4
2013-10-09,15
2013-10-10,31
2013-10-11,8
2013-10-12,0
2013-10-13,5
2013-10-14,8
2013-10-15,19
2013-10-16,12
2013-10-17,12
2013-10-18,16
2013-10-19,9
2013-10-20,4
2013-10-21,0
2013-10-22,4
2013-10-23,19
2013-10-24,11
2013-10-25,12
2013-10-26,0
2013-10-27,0
2013-10-28,19
2013-10-29,11
2013-10-30,15
2013-10-31,4
2013-11-01,8
2013-11-02,18
2013-11-03,0
2013-11-04,15
2013-11-05,15
2013-11-06,18
2013-11-07,15
2013-11-08,12
2013-11-09,14
2013-11-10,4
2013-11-11,15
2013-11-12,7
2013-11-13,53
2013-11-14,100
2013-11-15,60
2013-11-16,36
2013-11-17,4
2013-11-18,37
2013-11-19,19
2013-11-20,19
2013-11-21,8
2013-11-22,15
2013-11-23,13
2013-11-24,9
2013-11-25,22
2013-11-26,7
2013-11-27,19
2013-11-28,4
2013-11-29,12
2013-11-30,4
2013-12-01,4
2013-12-02,18
2013-12-03,18
2013-12-04,11
2013-12-05,19
2013-12-06,27
2013-12-07,13
2013-12-08,4
2013-12-09,22
2013-12-10,11
2013-12-11,22
2013-12-12,27
2013-12-13,24
2013-12-14,9
2013-12-15,4
2013-12-16,15
2013-12-17,27
2013-12-18,15
2013-12-19,23
2013-12-20,8
2013-12-21,9
2013-12-22,9
2013-12-23,21
2013-12-24,5
2013-12-25,5
2013-12-26,21
2013-12-27,8
2013-12-28,5
2013-12-29,4
2013-12-30,16
2013-12-31,23
2014-01-01,0
2014-01-02,23
2014-01-03,47
2014-01-04,9
2014-01-05,4
2014-01-06,22
2014-01-07,29
2014-01-08,22
2014-01-09,11
2014-01-10,26
2014-01-11,4
2014-01-12,8
2014-01-13,25
2014-01-14,29
2014-01-15,18
2014-01-16,25
2014-01-17,11
2014-01-18,13
2014-01-19,0
2014-01-20,11
2014-01-21,18
2014-01-22,7
2014-01-23,11
2014-01-24,22
2014-01-25,8
2014-01-26,0
2014-01-27,11
2014-01-28,29
2014-01-29,18
2014-01-30,18
2014-01-31,8
2014-02-01,4
2014-02-02,0
2014-02-03,21
2014-02-04,11
2014-02-05,21
2014-02-06,10
2014-02-07,24
2014-02-08,12
2014-02-09,24
2014-02-10,28
2014-02-11,35
2014-02-12,43
2014-02-13,25
2014-02-14,11
2014-02-15,8
2014-02-16,8
2014-02-17,18
2014-02-18,25
2014-02-19,14
2014-02-20,18
2014-02-21,15
2014-02-22,4
2014-02-23,0
2014-02-24,14
2014-02-25,25
2014-02-26,21
2014-02-27,18
2014-02-28,15
2014-03-01,4
2014-03-02,8
2014-03-03,11
2014-03-04,4
2014-03-05,25
2014-03-06,25
2014-03-07,15
2014-03-08,8
2014-03-09,4
2014-03-10,36
2014-03-11,7
2014-03-12,14
2014-03-13,21
2014-03-14,7
2014-03-15,0
2014-03-16,4
