date,Autodesk,isPartial
2012-10-12,90,False
2012-10-13,67,False
2012-10-14,55,False
2012-10-15,90,False
2012-10-16,89,False
2012-10-17,87,False
2012-10-18,85,False
2012-10-19,89,False
2012-10-20,64,False
2012-10-21,61,False
2012-10-22,88,False
2012-10-23,89,False
2012-10-24,98,False
2012-10-25,91,False
2012-10-26,85,False
2012-10-27,63,False
2012-10-28,56,False
2012-10-29,81,False
2012-10-30,82,False
2012-10-31,82,False
2012-11-01,80,False
2012-11-02,74,False
2012-11-03,52,False
2012-11-04,57,False
2012-11-05,86,False
2012-11-06,81,False
2012-11-07,84,False
2012-11-08,93,False
2012-11-09,86,False
2012-11-10,66,False
2012-11-11,53,False
2012-11-12,76,False
2012-11-13,76,False
2012-11-14,90,False
2012-11-15,90,False
2012-11-16,86,False
2012-11-17,56,False
2012-11-18,53,False
2012-11-19,86,False
2012-11-20,86,False
2012-11-21,87,False
2012-11-22,82,False
2012-11-23,69,False
2012-11-24,68,False
2012-11-25,65,False
2012-11-26,86,False
2012-11-27,97,False
2012-11-28,89,False
2012-11-29,85,False
2012-11-30,76,False
2012-12-01,59,False
2012-12-02,53,False
2012-12-03,81,False
2012-12-04,89,False
2012-12-05,81,False
2012-12-06,81,False
2012-12-07,74,False
2012-12-08,56,False
2012-12-09,60,False
2012-12-10,80,False
2012-12-11,76,False
2012-12-12,82,False
2012-12-13,75,False
2012-12-14,68,False
2012-12-15,57,False
2012-12-16,56,False
2012-12-17,69,False
2012-12-18,77,False
2012-12-19,67,False
2012-12-20,75,False
2012-12-21,64,False
2012-12-22,48,False
2012-12-23,44,False
2012-12-24,45,False
2012-12-25,44,False
2012-12-26,61,False
2012-12-27,61,False
2012-12-28,48,False
2012-12-29,47,False
2012-12-30,42,False
2012-12-31,44,False
2013-01-01,41,False
2013-01-02,66,False
2013-01-03,72,False
2013-01-04,60,False
2013-01-05,50,False
2013-01-06,45,False
2013-01-07,80,False
2013-01-08,96,False
2013-01-09,82,False
2013-01-10,86,False
2013-01-11,87,False
2013-01-12,61,False
2013-01-13,60,False
