date,Autodesk,isPartial
2014-03-16,56,False
2014-03-17,82,False
2014-03-18,86,False
2014-03-19,97,False
2014-03-20,97,False
2014-03-21,88,False
2014-03-22,62,False
2014-03-23,55,False
2014-03-24,83,False
2014-03-25,92,False
2014-03-26,95,False
2014-03-27,96,False
2014-03-28,81,False
2014-03-29,63,False
2014-03-30,66,False
2014-03-31,88,False
2014-04-01,97,False
2014-04-02,92,False
2014-04-03,87,False
2014-04-04,83,False
2014-04-05,65,False
2014-04-06,56,False
2014-04-07,87,False
2014-04-08,96,False
2014-04-09,87,False
2014-04-10,86,False
2014-04-11,80,False
2014-04-12,61,False
2014-04-13,61,False
2014-04-14,86,False
2014-04-15,94,False
2014-04-16,83,False
2014-04-17,84,False
2014-04-18,71,False
2014-04-19,55,False
2014-04-20,58,False
2014-04-21,67,False
2014-04-22,84,False
2014-04-23,90,False
2014-04-24,88,False
2014-04-25,80,False
2014-04-26,53,False
2014-04-27,60,False
2014-04-28,85,False
2014-04-29,83,False
2014-04-30,83,False
2014-05-01,82,False
2014-05-02,75,False
2014-05-03,54,False
2014-05-04,59,False
2014-05-05,90,False
2014-05-06,94,False
2014-05-07,89,False
2014-05-08,88,False
2014-05-09,82,False
2014-05-10,63,False
2014-05-11,58,False
2014-05-12,80,False
2014-05-13,82,False
2014-05-14,81,False
2014-05-15,100,False
2014-05-16,86,False
2014-05-17,65,False
2014-05-18,49,False
2014-05-19,78,False
2014-05-20,90,False
2014-05-21,86,False
2014-05-22,83,False
2014-05-23,75,False
2014-05-24,60,False
2014-05-25,48,False
2014-05-26,69,False
2014-05-27,85,False
2014-05-28,93,False
2014-05-29,82,False
2014-05-30,70,False
2014-05-31,63,False
2014-06-01,52,False
2014-06-02,83,False
2014-06-03,79,False
2014-06-04,87,False
2014-06-05,88,False
2014-06-06,70,False
2014-06-07,47,False
2014-06-08,47,False
2014-06-09,74,False
2014-06-10,73,False
2014-06-11,86,False
2014-06-12,79,False
2014-06-13,63,False
2014-06-14,49,False
2014-06-15,38,False
2014-06-16,76,False
2014-06-17,69,False
2014-06-18,79,False
2014-06-19,76,False
2014-06-20,65,False
2014-06-21,48,False
2014-06-22,50,False
2014-06-23,82,False
2014-06-24,78,False
2014-06-25,76,False
2014-06-26,77,False
2014-06-27,76,False
2014-06-28,46,False
2014-06-29,46,False
2014-06-30,70,False
2014-07-01,68,False
2014-07-02,72,False
2014-07-03,74,False
2014-07-04,64,False
2014-07-05,41,False
2014-07-06,41,False
2014-07-07,68,False
2014-07-08,73,False
2014-07-09,68,False
2014-07-10,73,False
2014-07-11,64,False
2014-07-12,50,False
2014-07-13,43,False
2014-07-14,65,False
2014-07-15,82,False
2014-07-16,81,False
2014-07-17,77,False
2014-07-18,73,False
2014-07-19,53,False
2014-07-20,51,False
2014-07-21,71,False
2014-07-22,71,False
2014-07-23,79,False
2014-07-24,74,False
2014-07-25,67,False
2014-07-26,43,False
2014-07-27,39,False
2014-07-28,65,False
2014-07-29,66,False
2014-07-30,76,False
2014-07-31,73,False
2014-08-01,69,False
2014-08-02,50,False
2014-08-03,52,False
2014-08-04,71,False
2014-08-05,63,False
2014-08-06,72,False
2014-08-07,86,False
2014-08-08,69,False
2014-08-09,55,False
2014-08-10,50,False
2014-08-11,67,False
2014-08-12,77,False
2014-08-13,75,False
2014-08-14,79,False
2014-08-15,64,False
2014-08-16,51,False
2014-08-17,54,False
2014-08-18,80,False
2014-08-19,85,False
2014-08-20,84,False
2014-08-21,76,False
2014-08-22,75,False
2014-08-23,55,False
2014-08-24,52,False
2014-08-25,76,False
2014-08-26,73,False
2014-08-27,86,False
2014-08-28,82,False
2014-08-29,72,False
2014-08-30,58,False
2014-08-31,52,False
2014-09-01,73,False
2014-09-02,80,False
2014-09-03,82,False
2014-09-04,100,False
2014-09-05,77,False
2014-09-06,57,False
2014-09-07,65,False
2014-09-08,81,False
2014-09-09,84,False
2014-09-10,84,False
2014-09-11,82,False
2014-09-12,85,False
2014-09-13,55,False
2014-09-14,48,False
2014-09-15,73,False
2014-09-16,93,False
2014-09-17,80,False
2014-09-18,90,False
2014-09-19,84,False
2014-09-20,63,False
2014-09-21,61,False
2014-09-22,80,False
2014-09-23,90,False
