date,Autodesk,isPartial
2016-05-04,90,False
2016-05-05,79,False
2016-05-06,76,False
2016-05-07,57,False
2016-05-08,55,False
2016-05-09,91,False
2016-05-10,88,False
2016-05-11,81,False
2016-05-12,79,False
2016-05-13,91,False
2016-05-14,51,False
2016-05-15,50,False
2016-05-16,83,False
2016-05-17,80,False
2016-05-18,90,False
2016-05-19,87,False
2016-05-20,86,False
2016-05-21,52,False
2016-05-22,54,False
2016-05-23,79,False
2016-05-24,90,False
2016-05-25,85,False
2016-05-26,91,False
2016-05-27,76,False
2016-05-28,49,False
2016-05-29,56,False
2016-05-30,74,False
2016-05-31,86,False
2016-06-01,89,False
2016-06-02,73,False
2016-06-03,74,False
2016-06-04,54,False
2016-06-05,50,False
2016-06-06,68,False
2016-06-07,84,False
2016-06-08,85,False
2016-06-09,84,False
2016-06-10,65,False
2016-06-11,52,False
2016-06-12,54,False
2016-06-13,82,False
2016-06-14,86,False
2016-06-15,97,False
2016-06-16,87,False
2016-06-17,74,False
2016-06-18,50,False
2016-06-19,57,False
2016-06-20,78,False
2016-06-21,82,False
2016-06-22,75,False
2016-06-23,77,False
2016-06-24,69,False
2016-06-25,49,False
2016-06-26,44,False
2016-06-27,78,False
2016-06-28,86,False
2016-06-29,78,False
2016-06-30,73,False
2016-07-01,66,False
2016-07-02,48,False
2016-07-03,41,False
2016-07-04,58,False
2016-07-05,76,False
2016-07-06,71,False
2016-07-07,70,False
2016-07-08,65,False
2016-07-09,46,False
2016-07-10,46,False
2016-07-11,65,False
2016-07-12,81,False
2016-07-13,84,False
2016-07-14,67,False
2016-07-15,68,False
2016-07-16,43,False
2016-07-17,42,False
2016-07-18,64,False
2016-07-19,80,False
2016-07-20,76,False
2016-07-21,73,False
2016-07-22,68,False
2016-07-23,46,False
2016-07-24,44,False
2016-07-25,73,False
2016-07-26,86,False
2016-07-27,82,False
2016-07-28,79,False
2016-07-29,64,False
2016-07-30,51,False
2016-07-31,45,False
2016-08-01,80,False
2016-08-02,71,False
2016-08-03,81,False
2016-08-04,85,False
2016-08-05,71,False
2016-08-06,45,False
2016-08-07,51,False
2016-08-08,70,False
2016-08-09,79,False
2016-08-10,75,False
2016-08-11,73,False
2016-08-12,66,False
2016-08-13,44,False
2016-08-14,41,False
2016-08-15,56,False
2016-08-16,80,False
2016-08-17,77,False
2016-08-18,77,False
2016-08-19,76,False
2016-08-20,45,False
2016-08-21,45,False
2016-08-22,72,False
2016-08-23,94,False
2016-08-24,82,False
2016-08-25,84,False
2016-08-26,80,False
2016-08-27,51,False
2016-08-28,47,False
2016-08-29,76,False
2016-08-30,91,False
2016-08-31,81,False
2016-09-01,83,False
2016-09-02,84,False
2016-09-03,58,False
2016-09-04,48,False
2016-09-05,69,False
2016-09-06,77,False
2016-09-07,91,False
2016-09-08,80,False
2016-09-09,77,False
2016-09-10,53,False
2016-09-11,48,False
2016-09-12,78,False
2016-09-13,89,False
2016-09-14,99,False
2016-09-15,86,False
2016-09-16,77,False
2016-09-17,48,False
2016-09-18,52,False
2016-09-19,80,False
2016-09-20,91,False
2016-09-21,90,False
2016-09-22,93,False
2016-09-23,80,False
2016-09-24,58,False
2016-09-25,57,False
2016-09-26,89,False
2016-09-27,84,False
2016-09-28,85,False
2016-09-29,91,False
2016-09-30,86,False
2016-10-01,60,False
2016-10-02,52,False
2016-10-03,78,False
2016-10-04,96,False
2016-10-05,81,False
2016-10-06,89,False
2016-10-07,86,False
2016-10-08,53,False
2016-10-09,53,False
2016-10-10,83,False
2016-10-11,84,False
2016-10-12,90,False
2016-10-13,92,False
2016-10-14,91,False
2016-10-15,55,False
2016-10-16,57,False
2016-10-17,89,False
2016-10-18,95,False
