date,Autodesk,isPartial
2012-01-26,80,False
2012-01-27,79,False
2012-01-28,61,False
2012-01-29,54,False
2012-01-30,74,False
2012-01-31,91,False
2012-02-01,79,False
2012-02-02,84,False
2012-02-03,76,False
2012-02-04,61,False
2012-02-05,61,False
2012-02-06,68,False
2012-02-07,79,False
2012-02-08,90,False
2012-02-09,92,False
2012-02-10,73,False
2012-02-11,57,False
2012-02-12,56,False
2012-02-13,70,False
2012-02-14,82,False
2012-02-15,83,False
2012-02-16,80,False
2012-02-17,81,False
2012-02-18,58,False
2012-02-19,55,False
2012-02-20,74,False
2012-02-21,86,False
2012-02-22,89,False
2012-02-23,76,False
2012-02-24,74,False
2012-02-25,63,False
2012-02-26,54,False
2012-02-27,77,False
2012-02-28,81,False
2012-02-29,87,False
2012-03-01,79,False
2012-03-02,76,False
2012-03-03,72,False
2012-03-04,59,False
2012-03-05,96,False
2012-03-06,87,False
2012-03-07,100,False
2012-03-08,95,False
2012-03-09,83,False
2012-03-10,57,False
2012-03-11,57,False
2012-03-12,74,False
2012-03-13,84,False
2012-03-14,84,False
2012-03-15,83,False
2012-03-16,72,False
2012-03-17,62,False
2012-03-18,49,False
2012-03-19,66,False
2012-03-20,89,False
2012-03-21,89,False
2012-03-22,91,False
2012-03-23,79,False
2012-03-24,58,False
2012-03-25,73,False
2012-03-26,85,False
2012-03-27,87,False
2012-03-28,90,False
2012-03-29,81,False
2012-03-30,85,False
2012-03-31,66,False
2012-04-01,66,False
2012-04-02,85,False
2012-04-03,91,False
2012-04-04,93,False
2012-04-05,97,False
2012-04-06,81,False
2012-04-07,64,False
2012-04-08,56,False
2012-04-09,69,False
2012-04-10,91,False
2012-04-11,90,False
2012-04-12,96,False
2012-04-13,90,False
2012-04-14,61,False
2012-04-15,70,False
2012-04-16,92,False
2012-04-17,82,False
2012-04-18,97,False
2012-04-19,88,False
2012-04-20,84,False
2012-04-21,65,False
2012-04-22,66,False
2012-04-23,84,False
2012-04-24,83,False
2012-04-25,92,False
2012-04-26,93,False
2012-04-27,89,False
2012-04-28,59,False
2012-04-29,58,False
2012-04-30,73,False
2012-05-01,67,False
2012-05-02,91,False
2012-05-03,87,False
2012-05-04,73,False
2012-05-05,53,False
2012-05-06,57,False
2012-05-07,74,False
2012-05-08,80,False
2012-05-09,84,False
2012-05-10,87,False
2012-05-11,87,False
2012-05-12,66,False
2012-05-13,53,False
2012-05-14,77,False
2012-05-15,87,False
2012-05-16,86,False
2012-05-17,74,False
2012-05-18,73,False
2012-05-19,60,False
2012-05-20,53,False
2012-05-21,77,False
2012-05-22,80,False
2012-05-23,85,False
2012-05-24,82,False
2012-05-25,79,False
2012-05-26,50,False
2012-05-27,52,False
2012-05-28,65,False
2012-05-29,78,False
2012-05-30,76,False
2012-05-31,79,False
2012-06-01,77,False
2012-06-02,54,False
2012-06-03,52,False
2012-06-04,67,False
2012-06-05,76,False
2012-06-06,67,False
2012-06-07,73,False
2012-06-08,67,False
2012-06-09,52,False
2012-06-10,46,False
2012-06-11,72,False
2012-06-12,77,False
2012-06-13,76,False
2012-06-14,82,False
2012-06-15,71,False
2012-06-16,55,False
2012-06-17,48,False
2012-06-18,69,False
2012-06-19,83,False
2012-06-20,80,False
2012-06-21,80,False
2012-06-22,68,False
2012-06-23,51,False
2012-06-24,48,False
2012-06-25,72,False
2012-06-26,72,False
2012-06-27,69,False
2012-06-28,76,False
2012-06-29,71,False
2012-06-30,45,False
2012-07-01,49,False
2012-07-02,69,False
2012-07-03,73,False
2012-07-04,68,False
2012-07-05,74,False
2012-07-06,56,False
2012-07-07,46,False
2012-07-08,49,False
2012-07-09,63,False
2012-07-10,76,False
2012-07-11,82,False
2012-07-12,73,False
2012-07-13,64,False
2012-07-14,57,False
2012-07-15,47,False
2012-07-16,71,False
2012-07-17,76,False
2012-07-18,74,False
2012-07-19,75,False
2012-07-20,69,False
2012-07-21,50,False
2012-07-22,45,False
2012-07-23,73,False
2012-07-24,69,False
2012-07-25,76,False
2012-07-26,77,False
2012-07-27,70,False
2012-07-28,51,False
2012-07-29,51,False
2012-07-30,67,False
2012-07-31,74,False
2012-08-01,86,False
2012-08-02,63,False
2012-08-03,69,False
2012-08-04,53,False
2012-08-05,49,False
2012-08-06,72,False
2012-08-07,71,False
2012-08-08,77,False
2012-08-09,63,False
2012-08-10,63,False
2012-08-11,61,False
2012-08-12,58,False
2012-08-13,69,False
2012-08-14,77,False
2012-08-15,73,False
2012-08-16,72,False
2012-08-17,62,False
2012-08-18,53,False
2012-08-19,54,False
2012-08-20,67,False
2012-08-21,80,False
2012-08-22,84,False
2012-08-23,81,False
2012-08-24,77,False
2012-08-25,49,False
2012-08-26,58,False
2012-08-27,73,False
2012-08-28,81,False
2012-08-29,85,False
2012-08-30,89,False
2012-08-31,82,False
2012-09-01,60,False
2012-09-02,56,False
2012-09-03,67,False
2012-09-04,86,False
2012-09-05,87,False
2012-09-06,90,False
2012-09-07,67,False
2012-09-08,59,False
2012-09-09,60,False
2012-09-10,78,False
2012-09-11,83,False
2012-09-12,85,False
2012-09-13,83,False
2012-09-14,83,False
2012-09-15,50,False
2012-09-16,53,False
2012-09-17,83,False
2012-09-18,86,False
2012-09-19,82,False
2012-09-20,83,False
2012-09-21,82,False
2012-09-22,58,False
2012-09-23,63,False
2012-09-24,76,False
2012-09-25,87,False
2012-09-26,86,False
2012-09-27,86,False
2012-09-28,91,False
2012-09-29,56,False
2012-09-30,55,False
2012-10-01,87,False
2012-10-02,91,False
2012-10-03,88,False
2012-10-04,87,False
2012-10-05,87,False
2012-10-06,63,False
2012-10-07,59,False
2012-10-08,86,False
2012-10-09,87,False
2012-10-10,87,False
2012-10-11,85,False
2012-10-12,86,False
