date,AAL stock
2017-05-29,0
2017-05-30,33
2017-05-31,33
2017-06-01,63
2017-06-02,89
2017-06-03,7
2017-06-04,32
2017-06-05,44
2017-06-06,44
2017-06-07,27
2017-06-08,55
2017-06-09,97
2017-06-10,7
2017-06-11,0
2017-06-12,22
2017-06-13,38
2017-06-14,39
2017-06-15,51
2017-06-16,23
2017-06-17,27
2017-06-18,7
2017-06-19,44
2017-06-20,54
2017-06-21,53
2017-06-22,82
2017-06-23,44
2017-06-24,13
2017-06-25,0
2017-06-26,51
2017-06-27,52
2017-06-28,34
2017-06-29,40
2017-06-30,47
2017-07-01,13
2017-07-02,7
2017-07-03,23
2017-07-04,6
2017-07-05,29
2017-07-06,41
2017-07-07,53
2017-07-08,20
2017-07-09,0
2017-07-10,56
2017-07-11,67
2017-07-12,79
2017-07-13,92
2017-07-14,24
2017-07-15,20
2017-07-16,0
2017-07-17,28
2017-07-18,45
2017-07-19,56
2017-07-20,28
2017-07-21,41
2017-07-22,13
2017-07-23,6
2017-07-24,45
2017-07-25,28
2017-07-26,11
2017-07-27,39
2017-07-28,70
2017-07-29,13
2017-07-30,19
2017-07-31,62
2017-08-01,38
2017-08-02,37
2017-08-03,44
2017-08-04,68
2017-08-05,13
2017-08-06,0
2017-08-07,11
2017-08-08,47
2017-08-09,48
2017-08-10,22
2017-08-11,46
2017-08-12,0
2017-08-13,13
2017-08-14,39
2017-08-15,23
2017-08-16,39
2017-08-17,39
2017-08-18,51
2017-08-19,6
2017-08-20,12
2017-08-21,11
2017-08-22,32
2017-08-23,22
2017-08-24,39
2017-08-25,29
2017-08-26,6
2017-08-27,6
2017-08-28,49
2017-08-29,21
2017-08-30,27
2017-08-31,28
2017-09-01,29
2017-09-02,6
2017-09-03,6
2017-09-04,0
2017-09-05,21
2017-09-06,52
2017-09-07,33
2017-09-08,17
2017-09-09,6
2017-09-10,6
2017-09-11,37
2017-09-12,11
2017-09-13,16
2017-09-14,22
2017-09-15,33
2017-09-16,19
2017-09-17,18
2017-09-18,27
2017-09-19,11
2017-09-20,43
2017-09-21,38
2017-09-22,40
2017-09-23,6
2017-09-24,0
2017-09-25,48
2017-09-26,57
2017-09-27,21
2017-09-28,32
2017-09-29,28
2017-09-30,31
2017-10-01,0
2017-10-02,53
2017-10-03,48
2017-10-04,69
2017-10-05,32
2017-10-06,56
2017-10-07,25
2017-10-08,6
2017-10-09,11
2017-10-10,57
2017-10-11,37
2017-10-12,21
2017-10-13,50
2017-10-14,6
2017-10-15,0
2017-10-16,42
2017-10-17,53
2017-10-18,37
2017-10-19,32
2017-10-20,34
2017-10-21,18
2017-10-22,6
2017-10-23,26
2017-10-24,52
2017-10-25,26
2017-10-26,54
2017-10-27,55
2017-10-28,24
2017-10-29,0
2017-10-30,42
2017-10-31,37
2017-11-01,43
2017-11-02,64
2017-11-03,27
2017-11-04,0
2017-11-05,0
2017-11-06,26
2017-11-07,31
2017-11-08,31
2017-11-09,21
2017-11-10,27
2017-11-11,24
2017-11-12,12
2017-11-13,10
2017-11-14,31
2017-11-15,51
2017-11-16,41
2017-11-17,37
2017-11-18,6
2017-11-19,0
2017-11-20,31
2017-11-21,5
2017-11-22,21
2017-11-23,16
2017-11-24,11
2017-11-25,12
2017-11-26,0
2017-11-27,30
2017-11-28,20
2017-11-29,67
2017-11-30,42
2017-12-01,22
2017-12-02,12
2017-12-03,6
2017-12-04,61
2017-12-05,25
2017-12-06,41
2017-12-07,21
2017-12-08,44
2017-12-09,0
2017-12-10,0
2017-12-11,20
2017-12-12,51
2017-12-13,31
2017-12-14,16
2017-12-15,49
2017-12-16,0
2017-12-17,6
2017-12-18,47
2017-12-19,42
2017-12-20,37
2017-12-21,28
2017-12-22,17
2017-12-23,6
2017-12-24,7
2017-12-25,13
2017-12-26,17
2017-12-27,17
2017-12-28,11
2017-12-29,29
2017-12-30,12
2017-12-31,0
2018-01-01,6
2018-01-02,16
2018-01-03,21
2018-01-04,36
2018-01-05,16
2018-01-06,17
2018-01-07,12
2018-01-08,31
2018-01-09,0
2018-01-10,10
2018-01-11,45
2018-01-12,53
2018-01-13,29
2018-01-14,23
2018-01-15,45
2018-01-16,39
2018-01-17,59
2018-01-18,40
2018-01-19,26
2018-01-20,6
2018-01-21,6
2018-01-22,10
2018-01-23,39
2018-01-24,84
2018-01-25,100
2018-01-26,52
2018-01-27,29
2018-01-28,6
2018-01-29,64
2018-01-30,45
2018-01-31,15
2018-02-01,40
2018-02-02,42
2018-02-03,11
2018-02-04,6
2018-02-05,40
2018-02-06,50
2018-02-07,65
2018-02-08,10
2018-02-09,47
2018-02-10,34
2018-02-11,12
2018-02-12,30
2018-02-13,56
