date,AAL stock
2014-12-01,84
2014-12-02,53
2014-12-03,36
2014-12-04,78
2014-12-05,100
2014-12-06,38
2014-12-07,10
2014-12-08,41
2014-12-09,89
2014-12-10,68
2014-12-11,64
2014-12-12,48
2014-12-13,11
2014-12-14,5
2014-12-15,31
2014-12-16,74
2014-12-17,37
2014-12-18,57
2014-12-19,59
2014-12-20,17
2014-12-21,17
2014-12-22,34
2014-12-23,55
2014-12-24,68
2014-12-25,0
2014-12-26,32
2014-12-27,11
2014-12-28,5
2014-12-29,39
2014-12-30,70
2014-12-31,71
2015-01-01,35
2015-01-02,69
2015-01-03,32
2015-01-04,0
2015-01-05,27
2015-01-06,63
2015-01-07,40
2015-01-08,57
2015-01-09,41
2015-01-10,10
2015-01-11,10
2015-01-12,52
2015-01-13,56
2015-01-14,74
2015-01-15,35
2015-01-16,18
2015-01-17,21
2015-01-18,10
2015-01-19,22
2015-01-20,43
2015-01-21,39
2015-01-22,60
2015-01-23,85
2015-01-24,20
2015-01-25,10
2015-01-26,47
2015-01-27,76
2015-01-28,56
2015-01-29,13
2015-01-30,45
2015-01-31,20
2015-02-01,15
2015-02-02,51
2015-02-03,34
2015-02-04,43
2015-02-05,69
2015-02-06,45
2015-02-07,5
2015-02-08,5
2015-02-09,47
2015-02-10,42
2015-02-11,38
2015-02-12,56
2015-02-13,50
2015-02-14,10
2015-02-15,16
2015-02-16,31
2015-02-17,31
2015-02-18,39
2015-02-19,56
2015-02-20,50
2015-02-21,10
2015-02-22,20
2015-02-23,42
2015-02-24,43
2015-02-25,46
2015-02-26,60
2015-02-27,48
2015-02-28,15
2015-03-01,5
2015-03-02,34
2015-03-03,30
2015-03-04,17
2015-03-05,38
2015-03-06,32
2015-03-07,5
2015-03-08,0
2015-03-09,43
2015-03-10,42
2015-03-11,30
2015-03-12,17
2015-03-13,44
2015-03-14,25
2015-03-15,10
2015-03-16,26
2015-03-17,99
2015-03-18,68
2015-03-19,55
2015-03-20,75
2015-03-21,10
2015-03-22,15
2015-03-23,29
2015-03-24,46
2015-03-25,44
2015-03-26,44
2015-03-27,45
2015-03-28,11
2015-03-29,10
2015-03-30,55
2015-03-31,56
2015-04-01,39
2015-04-02,59
2015-04-03,49
2015-04-04,10
2015-04-05,11
2015-04-06,82
2015-04-07,21
2015-04-08,47
2015-04-09,78
2015-04-10,36
2015-04-11,10
2015-04-12,5
2015-04-13,43
2015-04-14,38
2015-04-15,21
2015-04-16,30
2015-04-17,44
2015-04-18,15
2015-04-19,5
2015-04-20,33
2015-04-21,43
2015-04-22,47
2015-04-23,60
2015-04-24,49
2015-04-25,20
2015-04-26,5
2015-04-27,25
2015-04-28,38
2015-04-29,51
2015-04-30,31
2015-05-01,48
2015-05-02,15
2015-05-03,0
2015-05-04,47
2015-05-05,30
2015-05-06,38
2015-05-07,47
2015-05-08,41
2015-05-09,15
2015-05-10,5
2015-05-11,30
2015-05-12,21
2015-05-13,21
2015-05-14,13
2015-05-15,49
2015-05-16,10
2015-05-17,10
2015-05-18,21
2015-05-19,25
2015-05-20,58
2015-05-21,48
2015-05-22,36
2015-05-23,15
2015-05-24,5
2015-05-25,9
2015-05-26,38
2015-05-27,50
2015-05-28,63
2015-05-29,40
2015-05-30,5
2015-05-31,10
2015-06-01,25
2015-06-02,54
2015-06-03,55
2015-06-04,84
2015-06-05,32
2015-06-06,26
2015-06-07,10
2015-06-08,50
2015-06-09,50
2015-06-10,59
2015-06-11,65
2015-06-12,27
2015-06-13,5
2015-06-14,5
2015-06-15,46
2015-06-16,33
2015-06-17,47
2015-06-18,22
2015-06-19,27
2015-06-20,5
2015-06-21,0
2015-06-22,63
2015-06-23,34
2015-06-24,30
2015-06-25,43
2015-06-26,53
2015-06-27,10
2015-06-28,0
2015-06-29,42
2015-06-30,47
2015-07-01,39
2015-07-02,26
2015-07-03,18
2015-07-04,5
2015-07-05,10
2015-07-06,29
2015-07-07,21
2015-07-08,30
2015-07-09,56
2015-07-10,31
2015-07-11,5
2015-07-12,5
2015-07-13,46
2015-07-14,26
2015-07-15,65
2015-07-16,26
2015-07-17,51
2015-07-18,6
2015-07-19,11
2015-07-20,32
2015-07-21,30
2015-07-22,30
2015-07-23,47
2015-07-24,86
2015-07-25,20
2015-07-26,5
2015-07-27,51
2015-07-28,29
2015-07-29,42
2015-07-30,69
2015-07-31,31
2015-08-01,10
2015-08-02,0
2015-08-03,26
2015-08-04,38
2015-08-05,52
2015-08-06,66
2015-08-07,27
2015-08-08,0
2015-08-09,0
2015-08-10,30
2015-08-11,30
2015-08-12,26
2015-08-13,52
2015-08-14,40
2015-08-15,5
2015-08-16,15
2015-08-17,59
2015-08-18,42
