date,AAL stock
2018-02-13,71
2018-02-14,40
2018-02-15,51
2018-02-16,21
2018-02-17,0
2018-02-18,0
2018-02-19,40
2018-02-20,59
2018-02-21,79
2018-02-22,50
2018-02-23,21
2018-02-24,34
2018-02-25,22
2018-02-26,88
2018-02-27,49
2018-02-28,59
2018-03-01,97
2018-03-02,72
2018-03-03,0
2018-03-04,0
2018-03-05,48
2018-03-06,39
2018-03-07,30
2018-03-08,69
2018-03-09,51
2018-03-10,23
2018-03-11,0
2018-03-12,10
2018-03-13,49
2018-03-14,78
2018-03-15,70
2018-03-16,61
2018-03-17,22
2018-03-18,0
2018-03-19,40
2018-03-20,39
2018-03-21,79
2018-03-22,100
2018-03-23,82
2018-03-24,11
2018-03-25,11
2018-03-26,50
2018-03-27,50
2018-03-28,41
2018-03-29,31
2018-03-30,34
2018-03-31,0
2018-04-01,12
2018-04-02,95
2018-04-03,89
2018-04-04,49
2018-04-05,40
2018-04-06,94
2018-04-07,34
2018-04-08,23
