date,AAL stock
2015-08-18,55
2015-08-19,42
2015-08-20,53
2015-08-21,38
2015-08-22,22
2015-08-23,9
2015-08-24,64
2015-08-25,59
2015-08-26,62
2015-08-27,58
2015-08-28,41
2015-08-29,16
2015-08-30,12
2015-08-31,36
2015-09-01,36
2015-09-02,54
2015-09-03,52
2015-09-04,48
2015-09-05,24
2015-09-06,6
2015-09-07,13
2015-09-08,38
2015-09-09,73
2015-09-10,28
2015-09-11,32
2015-09-12,18
2015-09-13,12
2015-09-14,35
2015-09-15,40
2015-09-16,28
2015-09-17,51
2015-09-18,32
2015-09-19,15
2015-09-20,6
2015-09-21,35
2015-09-22,35
2015-09-23,30
2015-09-24,39
2015-09-25,38
2015-09-26,12
2015-09-27,6
2015-09-28,25
2015-09-29,47
2015-09-30,35
2015-10-01,35
2015-10-02,26
2015-10-03,18
2015-10-04,11
2015-10-05,25
2015-10-06,45
2015-10-07,20
2015-10-08,10
2015-10-09,34
2015-10-10,12
2015-10-11,15
2015-10-12,74
2015-10-13,42
2015-10-14,32
2015-10-15,35
2015-10-16,34
2015-10-17,18
2015-10-18,9
2015-10-19,37
2015-10-20,39
2015-10-21,54
2015-10-22,57
2015-10-23,86
2015-10-24,26
2015-10-25,9
2015-10-26,49
2015-10-27,32
2015-10-28,44
2015-10-29,30
2015-10-30,34
2015-10-31,15
2015-11-01,9
2015-11-02,40
2015-11-03,29
2015-11-04,32
2015-11-05,30
2015-11-06,51
2015-11-07,12
2015-11-08,0
2015-11-09,44
2015-11-10,24
2015-11-11,43
2015-11-12,23
2015-11-13,34
2015-11-14,9
2015-11-15,11
2015-11-16,34
2015-11-17,34
2015-11-18,39
2015-11-19,32
2015-11-20,41
2015-11-21,9
2015-11-22,0
2015-11-23,22
2015-11-24,42
2015-11-25,20
2015-11-26,15
2015-11-27,10
2015-11-28,11
2015-11-29,11
2015-11-30,24
2015-12-01,31
2015-12-02,24
2015-12-03,42
2015-12-04,36
2015-12-05,12
2015-12-06,6
2015-12-07,42
2015-12-08,52
2015-12-09,32
2015-12-10,33
2015-12-11,33
2015-12-12,6
2015-12-13,6
2015-12-14,29
2015-12-15,35
2015-12-16,49
2015-12-17,37
2015-12-18,30
2015-12-19,6
2015-12-20,6
2015-12-21,18
2015-12-22,27
2015-12-23,36
2015-12-24,41
2015-12-25,17
2015-12-26,6
2015-12-27,18
2015-12-28,21
2015-12-29,27
2015-12-30,28
2015-12-31,15
2016-01-01,13
2016-01-02,6
2016-01-03,0
2016-01-04,56
2016-01-05,70
2016-01-06,27
2016-01-07,56
2016-01-08,38
2016-01-09,6
2016-01-10,15
2016-01-11,28
2016-01-12,44
2016-01-13,47
2016-01-14,67
2016-01-15,52
2016-01-16,12
2016-01-17,0
2016-01-18,10
2016-01-19,52
2016-01-20,70
2016-01-21,63
2016-01-22,66
2016-01-23,30
2016-01-24,9
2016-01-25,41
2016-01-26,49
2016-01-27,75
2016-01-28,50
2016-01-29,100
2016-01-30,21
2016-01-31,6
2016-02-01,60
2016-02-02,39
2016-02-03,60
2016-02-04,45
2016-02-05,57
2016-02-06,30
2016-02-07,0
2016-02-08,29
2016-02-09,42
2016-02-10,47
2016-02-11,29
2016-02-12,56
2016-02-13,21
2016-02-14,6
2016-02-15,5
2016-02-16,46
2016-02-17,52
2016-02-18,52
2016-02-19,53
2016-02-20,12
2016-02-21,9
2016-02-22,38
2016-02-23,30
2016-02-24,48
2016-02-25,70
2016-02-26,29
2016-02-27,29
2016-02-28,6
2016-02-29,25
2016-03-01,48
2016-03-02,43
2016-03-03,26
2016-03-04,51
2016-03-05,9
2016-03-06,6
2016-03-07,31
2016-03-08,46
2016-03-09,56
2016-03-10,52
2016-03-11,57
2016-03-12,24
2016-03-13,6
2016-03-14,33
2016-03-15,43
2016-03-16,59
2016-03-17,47
2016-03-18,60
2016-03-19,15
2016-03-20,9
2016-03-21,42
2016-03-22,39
2016-03-23,29
2016-03-24,28
2016-03-25,20
2016-03-26,12
2016-03-27,12
2016-03-28,35
2016-03-29,20
2016-03-30,26
2016-03-31,37
2016-04-01,32
2016-04-02,12
2016-04-03,21
2016-04-04,43
2016-04-05,33
2016-04-06,49
2016-04-07,49
2016-04-08,22
2016-04-09,0
2016-04-10,12
2016-04-11,41
2016-04-12,38
2016-04-13,44
2016-04-14,34
2016-04-15,38
2016-04-16,6
2016-04-17,0
2016-04-18,31
2016-04-19,33
2016-04-20,34
2016-04-21,45
2016-04-22,57
2016-04-23,12
2016-04-24,6
2016-04-25,41
2016-04-26,46
2016-04-27,28
2016-04-28,39
2016-04-29,38
2016-04-30,15
2016-05-01,12
2016-05-02,47
2016-05-03,46
2016-05-04,47
