date,AAL stock
2015-12-26,0
2015-12-27,5
2015-12-28,20
2015-12-29,33
2015-12-30,13
2015-12-31,19
2016-01-01,5
2016-01-02,9
2016-01-03,0
2016-01-04,40
2016-01-05,28
2016-01-06,16
2016-01-07,49
2016-01-08,25
2016-01-09,9
2016-01-10,9
2016-01-11,27
2016-01-12,16
2016-01-13,20
2016-01-14,31
2016-01-15,29
2016-01-16,5
2016-01-17,9
2016-01-18,8
2016-01-19,32
2016-01-20,59
2016-01-21,48
2016-01-22,71
2016-01-23,22
2016-01-24,0
2016-01-25,20
2016-01-26,32
2016-01-27,60
2016-01-28,36
2016-01-29,71
2016-01-30,9
2016-01-31,4
2016-02-01,24
2016-02-02,43
2016-02-03,27
2016-02-04,20
2016-02-05,29
2016-02-06,23
2016-02-07,5
2016-02-08,20
2016-02-09,57
2016-02-10,67
2016-02-11,28
2016-02-12,29
2016-02-13,0
2016-02-14,0
2016-02-15,4
2016-02-16,35
2016-02-17,43
2016-02-18,39
2016-02-19,36
2016-02-20,0
2016-02-21,13
2016-02-22,15
2016-02-23,23
2016-02-24,43
2016-02-25,39
2016-02-26,8
2016-02-27,4
2016-02-28,0
2016-02-29,15
2016-03-01,46
2016-03-02,35
2016-03-03,31
2016-03-04,20
2016-03-05,4
2016-03-06,4
2016-03-07,39
2016-03-08,27
2016-03-09,39
2016-03-10,40
2016-03-11,41
2016-03-12,9
2016-03-13,9
2016-03-14,27
2016-03-15,16
2016-03-16,43
2016-03-17,32
2016-03-18,41
2016-03-19,13
2016-03-20,4
2016-03-21,47
2016-03-22,44
2016-03-23,4
2016-03-24,29
2016-03-25,9
2016-03-26,19
2016-03-27,9
2016-03-28,41
2016-03-29,35
2016-03-30,24
2016-03-31,28
2016-04-01,16
2016-04-02,9
2016-04-03,9
2016-04-04,39
2016-04-05,31
2016-04-06,23
2016-04-07,20
2016-04-08,37
2016-04-09,0
2016-04-10,13
2016-04-11,39
2016-04-12,35
2016-04-13,16
2016-04-14,24
2016-04-15,50
2016-04-16,0
2016-04-17,0
2016-04-18,20
2016-04-19,39
2016-04-20,27
2016-04-21,28
2016-04-22,41
2016-04-23,5
2016-04-24,0
2016-04-25,31
2016-04-26,23
2016-04-27,27
2016-04-28,36
2016-04-29,25
2016-04-30,5
2016-05-01,0
2016-05-02,36
2016-05-03,51
2016-05-04,40
2016-05-05,41
2016-05-06,42
2016-05-07,5
2016-05-08,5
2016-05-09,20
2016-05-10,23
2016-05-11,47
2016-05-12,36
2016-05-13,25
2016-05-14,9
2016-05-15,0
2016-05-16,39
2016-05-17,46
2016-05-18,35
2016-05-19,39
2016-05-20,25
2016-05-21,14
2016-05-22,9
2016-05-23,23
2016-05-24,20
2016-05-25,36
2016-05-26,37
2016-05-27,17
2016-05-28,9
2016-05-29,0
2016-05-30,0
2016-05-31,16
2016-06-01,28
2016-06-02,16
2016-06-03,58
2016-06-04,9
2016-06-05,0
2016-06-06,28
2016-06-07,32
2016-06-08,28
2016-06-09,45
2016-06-10,21
2016-06-11,9
2016-06-12,5
2016-06-13,44
2016-06-14,47
2016-06-15,28
2016-06-16,44
2016-06-17,25
2016-06-18,10
2016-06-19,5
2016-06-20,24
2016-06-21,48
2016-06-22,40
2016-06-23,33
2016-06-24,93
2016-06-25,14
2016-06-26,19
2016-06-27,91
2016-06-28,88
2016-06-29,69
2016-06-30,37
2016-07-01,55
2016-07-02,19
2016-07-03,10
2016-07-04,17
2016-07-05,38
2016-07-06,39
2016-07-07,39
2016-07-08,40
2016-07-09,10
2016-07-10,5
2016-07-11,55
2016-07-12,88
2016-07-13,90
2016-07-14,69
2016-07-15,83
2016-07-16,19
2016-07-17,5
2016-07-18,64
2016-07-19,50
2016-07-20,60
2016-07-21,26
2016-07-22,100
2016-07-23,15
2016-07-24,10
2016-07-25,50
2016-07-26,17
2016-07-27,55
2016-07-28,38
2016-07-29,44
2016-07-30,5
2016-07-31,5
2016-08-01,25
2016-08-02,29
2016-08-03,43
2016-08-04,34
2016-08-05,23
2016-08-06,15
2016-08-07,0
2016-08-08,35
2016-08-09,26
2016-08-10,39
2016-08-11,45
2016-08-12,28
2016-08-13,10
2016-08-14,10
2016-08-15,28
2016-08-16,40
2016-08-17,44
2016-08-18,32
2016-08-19,42
2016-08-20,10
2016-08-21,0
2016-08-22,17
2016-08-23,39
2016-08-24,51
2016-08-25,38
2016-08-26,22
2016-08-27,5
2016-08-28,0
2016-08-29,29
2016-08-30,41
2016-08-31,20
2016-09-01,50
2016-09-02,30
2016-09-03,0
2016-09-04,5
2016-09-05,0
2016-09-06,28
2016-09-07,33
2016-09-08,37
2016-09-09,51
2016-09-10,5
2016-09-11,0
