date,AAL stock
2016-05-04,36
2016-05-05,50
2016-05-06,67
2016-05-07,5
2016-05-08,5
2016-05-09,30
2016-05-10,44
2016-05-11,35
2016-05-12,23
2016-05-13,31
2016-05-14,5
2016-05-15,5
2016-05-16,29
2016-05-17,52
2016-05-18,33
2016-05-19,49
2016-05-20,26
2016-05-21,5
2016-05-22,15
2016-05-23,29
2016-05-24,23
2016-05-25,40
2016-05-26,29
2016-05-27,31
2016-05-28,10
2016-05-29,10
2016-05-30,0
2016-05-31,27
2016-06-01,30
2016-06-02,26
2016-06-03,29
2016-06-04,5
2016-06-05,5
2016-06-06,36
2016-06-07,43
2016-06-08,40
2016-06-09,41
2016-06-10,29
2016-06-11,10
2016-06-12,5
2016-06-13,36
2016-06-14,25
2016-06-15,29
2016-06-16,59
2016-06-17,53
2016-06-18,13
2016-06-19,5
2016-06-20,25
2016-06-21,23
2016-06-22,32
2016-06-23,20
2016-06-24,70
2016-06-25,15
2016-06-26,25
2016-06-27,76
2016-06-28,86
2016-06-29,63
2016-06-30,72
2016-07-01,52
2016-07-02,13
2016-07-03,8
2016-07-04,11
2016-07-05,54
2016-07-06,45
2016-07-07,57
2016-07-08,66
2016-07-09,11
2016-07-10,5
2016-07-11,49
2016-07-12,96
2016-07-13,94
2016-07-14,78
2016-07-15,83
2016-07-16,10
2016-07-17,10
2016-07-18,61
2016-07-19,65
2016-07-20,75
2016-07-21,57
2016-07-22,100
2016-07-23,11
2016-07-24,8
2016-07-25,58
2016-07-26,38
2016-07-27,56
2016-07-28,41
2016-07-29,49
2016-07-30,5
2016-07-31,5
2016-08-01,31
2016-08-02,49
2016-08-03,36
2016-08-04,34
2016-08-05,39
2016-08-06,8
2016-08-07,0
2016-08-08,39
2016-08-09,41
2016-08-10,30
2016-08-11,26
2016-08-12,20
2016-08-13,5
2016-08-14,8
2016-08-15,24
2016-08-16,43
2016-08-17,29
2016-08-18,43
2016-08-19,39
2016-08-20,17
2016-08-21,0
2016-08-22,19
2016-08-23,30
2016-08-24,39
2016-08-25,43
2016-08-26,21
2016-08-27,10
2016-08-28,0
2016-08-29,20
2016-08-30,44
2016-08-31,13
2016-09-01,35
2016-09-02,30
2016-09-03,10
2016-09-04,5
2016-09-05,4
2016-09-06,39
2016-09-07,38
2016-09-08,36
2016-09-09,30
2016-09-10,5
2016-09-11,5
2016-09-12,29
2016-09-13,22
2016-09-14,28
2016-09-15,18
2016-09-16,34
2016-09-17,10
2016-09-18,5
2016-09-19,28
2016-09-20,23
2016-09-21,28
2016-09-22,33
2016-09-23,32
2016-09-24,15
2016-09-25,5
2016-09-26,19
2016-09-27,21
2016-09-28,30
2016-09-29,26
2016-09-30,38
2016-10-01,7
2016-10-02,0
2016-10-03,26
2016-10-04,26
2016-10-05,24
2016-10-06,34
2016-10-07,18
2016-10-08,5
2016-10-09,14
2016-10-10,15
2016-10-11,26
2016-10-12,22
2016-10-13,30
2016-10-14,47
2016-10-15,5
2016-10-16,5
2016-10-17,30
2016-10-18,23
2016-10-19,42
2016-10-20,76
2016-10-21,44
2016-10-22,25
2016-10-23,10
2016-10-24,32
2016-10-25,25
2016-10-26,32
2016-10-27,24
2016-10-28,56
2016-10-29,10
2016-10-30,5
2016-10-31,24
2016-11-01,35
2016-11-02,32
2016-11-03,30
2016-11-04,20
2016-11-05,7
2016-11-06,5
2016-11-07,15
2016-11-08,50
2016-11-09,35
2016-11-10,37
2016-11-11,33
2016-11-12,15
2016-11-13,7
2016-11-14,40
2016-11-15,74
2016-11-16,34
2016-11-17,66
2016-11-18,64
2016-11-19,5
2016-11-20,0
2016-11-21,42
2016-11-22,46
2016-11-23,35
2016-11-24,13
2016-11-25,30
2016-11-26,9
2016-11-27,7
2016-11-28,32
2016-11-29,30
2016-11-30,32
2016-12-01,16
2016-12-02,28
2016-12-03,14
2016-12-04,4
2016-12-05,24
2016-12-06,26
2016-12-07,36
2016-12-08,37
2016-12-09,36
2016-12-10,17
2016-12-11,5
2016-12-12,48
2016-12-13,40
2016-12-14,40
2016-12-15,46
2016-12-16,33
2016-12-17,34
2016-12-18,5
2016-12-19,31
2016-12-20,25
2016-12-21,24
2016-12-22,40
2016-12-23,39
2016-12-24,10
2016-12-25,16
2016-12-26,16
2016-12-27,24
2016-12-28,20
2016-12-29,22
2016-12-30,23
2016-12-31,10
2017-01-01,10
2017-01-02,15
2017-01-03,21
2017-01-04,41
2017-01-05,10
2017-01-06,28
2017-01-07,7
2017-01-08,9
2017-01-09,36
2017-01-10,24
2017-01-11,32
2017-01-12,46
2017-01-13,49
2017-01-14,9
2017-01-15,13
2017-01-16,24
2017-01-17,49
2017-01-18,21
2017-01-19,36
