date,EBAY stock
2010-08-24,57
2010-08-25,55
2010-08-26,58
2010-08-27,49
2010-08-28,71
2010-08-29,47
2010-08-30,42
2010-08-31,64
2010-09-01,40
2010-09-02,57
2010-09-03,57
2010-09-04,47
2010-09-05,65
2010-09-06,54
2010-09-07,48
2010-09-08,62
2010-09-09,58
2010-09-10,31
2010-09-11,43
2010-09-12,36
2010-09-13,35
2010-09-14,58
2010-09-15,71
2010-09-16,58
2010-09-17,49
2010-09-18,34
2010-09-19,25
2010-09-20,42
2010-09-21,48
2010-09-22,48
2010-09-23,46
2010-09-24,80
2010-09-25,44
2010-09-26,37
2010-09-27,59
2010-09-28,57
2010-09-29,49
2010-09-30,78
2010-10-01,46
2010-10-02,64
2010-10-03,59
2010-10-04,38
2010-10-05,56
2010-10-06,63
2010-10-07,76
2010-10-08,60
2010-10-09,66
2010-10-10,57
2010-10-11,59
2010-10-12,43
2010-10-13,60
2010-10-14,52
2010-10-15,72
2010-10-16,59
2010-10-17,63
2010-10-18,71
2010-10-19,54
2010-10-20,69
2010-10-21,87
2010-10-22,60
2010-10-23,64
2010-10-24,50
2010-10-25,56
2010-10-26,81
2010-10-27,61
2010-10-28,55
2010-10-29,40
2010-10-30,43
2010-10-31,35
2010-11-01,52
2010-11-02,74
2010-11-03,56
2010-11-04,76
2010-11-05,75
2010-11-06,50
2010-11-07,63
2010-11-08,59
2010-11-09,79
2010-11-10,64
2010-11-11,68
2010-11-12,72
2010-11-13,55
2010-11-14,57
2010-11-15,52
2010-11-16,68
2010-11-17,62
2010-11-18,60
2010-11-19,66
2010-11-20,39
2010-11-21,56
2010-11-22,62
2010-11-23,65
2010-11-24,64
2010-11-25,56
2010-11-26,56
2010-11-27,50
2010-11-28,61
2010-11-29,71
2010-11-30,70
2010-12-01,73
2010-12-02,63
2010-12-03,63
2010-12-04,38
2010-12-05,72
2010-12-06,83
2010-12-07,100
2010-12-08,65
2010-12-09,54
2010-12-10,56
2010-12-11,81
2010-12-12,66
2010-12-13,65
2010-12-14,63
2010-12-15,89
2010-12-16,59
2010-12-17,53
2010-12-18,37
2010-12-19,50
2010-12-20,57
2010-12-21,38
2010-12-22,70
2010-12-23,49
2010-12-24,22
2010-12-25,19
2010-12-26,54
2010-12-27,78
2010-12-28,77
2010-12-29,68
2010-12-30,72
2010-12-31,60
2011-01-01,36
2011-01-02,55
2011-01-03,63
2011-01-04,68
2011-01-05,73
2011-01-06,66
2011-01-07,67
2011-01-08,57
2011-01-09,75
2011-01-10,59
2011-01-11,46
2011-01-12,58
2011-01-13,69
2011-01-14,61
2011-01-15,62
2011-01-16,50
2011-01-17,44
2011-01-18,58
2011-01-19,73
2011-01-20,65
2011-01-21,58
2011-01-22,52
2011-01-23,55
2011-01-24,51
2011-01-25,63
2011-01-26,54
2011-01-27,58
2011-01-28,61
2011-01-29,35
2011-01-30,29
2011-01-31,63
2011-02-01,71
2011-02-02,77
2011-02-03,40
2011-02-04,53
2011-02-05,46
2011-02-06,61
2011-02-07,74
2011-02-08,39
2011-02-09,69
2011-02-10,63
2011-02-11,72
2011-02-12,64
2011-02-13,58
2011-02-14,53
2011-02-15,62
2011-02-16,69
2011-02-17,42
2011-02-18,63
2011-02-19,44
2011-02-20,53
2011-02-21,58
2011-02-22,88
2011-02-23,58
2011-02-24,61
2011-02-25,61
2011-02-26,28
2011-02-27,68
2011-02-28,51
2011-03-01,73
2011-03-02,51
2011-03-03,43
2011-03-04,81
2011-03-05,69
2011-03-06,70
2011-03-07,55
2011-03-08,60
2011-03-09,54
2011-03-10,65
2011-03-11,55
2011-03-12,47
2011-03-13,30
2011-03-14,58
2011-03-15,62
2011-03-16,71
2011-03-17,49
2011-03-18,47
2011-03-19,49
2011-03-20,72
2011-03-21,46
2011-03-22,74
2011-03-23,59
2011-03-24,57
2011-03-25,55
2011-03-26,53
2011-03-27,41
2011-03-28,64
2011-03-29,77
2011-03-30,60
2011-03-31,66
2011-04-01,78
2011-04-02,65
2011-04-03,88
2011-04-04,62
2011-04-05,57
2011-04-06,58
2011-04-07,61
2011-04-08,51
2011-04-09,45
2011-04-10,45
2011-04-11,59
2011-04-12,66
2011-04-13,43
2011-04-14,70
2011-04-15,47
2011-04-16,52
2011-04-17,52
2011-04-18,77
2011-04-19,66
2011-04-20,50
2011-04-21,54
2011-04-22,36
2011-04-23,33
2011-04-24,41
2011-04-25,45
2011-04-26,65
2011-04-27,72
2011-04-28,80
2011-04-29,49
2011-04-30,74
2011-05-01,56
2011-05-02,54
2011-05-03,79
2011-05-04,50
2011-05-05,47
2011-05-06,51
2011-05-07,45
2011-05-08,68
2011-05-09,69
2011-05-10,91
2011-05-11,59
