date,EBAY stock
2011-05-11,55
2011-05-12,61
2011-05-13,40
2011-05-14,22
2011-05-15,35
2011-05-16,62
2011-05-17,38
2011-05-18,26
2011-05-19,36
2011-05-20,37
2011-05-21,30
2011-05-22,32
2011-05-23,34
2011-05-24,23
2011-05-25,29
2011-05-26,47
2011-05-27,27
2011-05-28,22
2011-05-29,38
2011-05-30,49
2011-05-31,48
2011-06-01,35
2011-06-02,40
2011-06-03,40
2011-06-04,53
2011-06-05,37
2011-06-06,26
2011-06-07,51
2011-06-08,20
2011-06-09,61
2011-06-10,61
2011-06-11,56
2011-06-12,44
2011-06-13,23
2011-06-14,43
2011-06-15,43
2011-06-16,26
2011-06-17,43
2011-06-18,48
2011-06-19,37
2011-06-20,53
2011-06-21,46
2011-06-22,50
2011-06-23,51
2011-06-24,40
2011-06-25,41
2011-06-26,56
2011-06-27,35
2011-06-28,34
2011-06-29,46
2011-06-30,59
2011-07-01,43
2011-07-02,30
2011-07-03,72
2011-07-04,28
2011-07-05,33
2011-07-06,23
2011-07-07,41
2011-07-08,25
2011-07-09,57
2011-07-10,34
2011-07-11,38
2011-07-12,44
2011-07-13,38
2011-07-14,36
2011-07-15,31
2011-07-16,42
2011-07-17,34
2011-07-18,53
2011-07-19,52
2011-07-20,47
2011-07-21,62
2011-07-22,31
2011-07-23,33
2011-07-24,33
2011-07-25,54
2011-07-26,40
2011-07-27,100
2011-07-28,68
2011-07-29,65
2011-07-30,37
2011-07-31,48
2011-08-01,50
2011-08-02,35
2011-08-03,44
2011-08-04,53
2011-08-05,61
2011-08-06,22
2011-08-07,32
2011-08-08,73
2011-08-09,70
2011-08-10,75
2011-08-11,81
2011-08-12,61
2011-08-13,37
2011-08-14,69
2011-08-15,45
2011-08-16,34
2011-08-17,38
2011-08-18,43
2011-08-19,39
2011-08-20,65
2011-08-21,28
2011-08-22,70
2011-08-23,50
2011-08-24,42
2011-08-25,75
2011-08-26,44
2011-08-27,42
2011-08-28,27
2011-08-29,39
2011-08-30,36
2011-08-31,48
2011-09-01,37
2011-09-02,40
2011-09-03,34
2011-09-04,30
2011-09-05,30
2011-09-06,29
2011-09-07,55
2011-09-08,44
2011-09-09,42
2011-09-10,54
2011-09-11,69
2011-09-12,45
2011-09-13,45
2011-09-14,37
2011-09-15,35
2011-09-16,48
2011-09-17,33
2011-09-18,48
2011-09-19,58
2011-09-20,68
2011-09-21,37
2011-09-22,45
2011-09-23,48
2011-09-24,59
2011-09-25,16
2011-09-26,42
2011-09-27,52
2011-09-28,34
2011-09-29,32
2011-09-30,42
2011-10-01,30
2011-10-02,43
2011-10-03,59
2011-10-04,44
2011-10-05,34
2011-10-06,64
2011-10-07,36
2011-10-08,38
2011-10-09,44
2011-10-10,52
2011-10-11,39
2011-10-12,35
2011-10-13,39
2011-10-14,57
2011-10-15,26
2011-10-16,63
2011-10-17,41
2011-10-18,43
2011-10-19,57
2011-10-20,45
2011-10-21,58
2011-10-22,42
2011-10-23,31
2011-10-24,56
2011-10-25,46
2011-10-26,37
2011-10-27,60
2011-10-28,52
2011-10-29,55
2011-10-30,41
2011-10-31,37
2011-11-01,49
2011-11-02,39
2011-11-03,34
2011-11-04,53
2011-11-05,31
2011-11-06,49
2011-11-07,36
2011-11-08,46
2011-11-09,49
2011-11-10,62
2011-11-11,35
2011-11-12,34
2011-11-13,36
2011-11-14,38
2011-11-15,48
2011-11-16,31
2011-11-17,46
2011-11-18,67
2011-11-19,31
2011-11-20,42
2011-11-21,60
2011-11-22,45
2011-11-23,46
2011-11-24,22
2011-11-25,50
2011-11-26,31
2011-11-27,33
2011-11-28,47
2011-11-29,50
2011-11-30,45
2011-12-01,42
2011-12-02,37
2011-12-03,25
2011-12-04,51
2011-12-05,50
2011-12-06,72
2011-12-07,48
2011-12-08,46
2011-12-09,40
2011-12-10,21
2011-12-11,33
2011-12-12,37
2011-12-13,30
2011-12-14,45
2011-12-15,51
2011-12-16,32
2011-12-17,22
2011-12-18,46
2011-12-19,55
2011-12-20,56
2011-12-21,39
2011-12-22,27
2011-12-23,47
2011-12-24,52
2011-12-25,33
2011-12-26,39
2011-12-27,51
2011-12-28,45
2011-12-29,66
2011-12-30,46
2011-12-31,33
2012-01-01,31
2012-01-02,32
2012-01-03,33
2012-01-04,42
2012-01-05,38
2012-01-06,31
2012-01-07,53
2012-01-08,37
2012-01-09,58
2012-01-10,36
2012-01-11,45
2012-01-12,34
2012-01-13,45
2012-01-14,38
2012-01-15,45
2012-01-16,36
2012-01-17,29
2012-01-18,54
2012-01-19,50
2012-01-20,34
2012-01-21,34
2012-01-22,42
2012-01-23,45
2012-01-24,42
2012-01-25,50
2012-01-26,48
