date,EBAY stock
2015-04-10,23
2015-04-11,23
2015-04-12,17
2015-04-13,30
2015-04-14,22
2015-04-15,32
2015-04-16,37
2015-04-17,32
2015-04-18,17
2015-04-19,36
2015-04-20,38
2015-04-21,28
2015-04-22,30
2015-04-23,44
2015-04-24,37
2015-04-25,28
2015-04-26,22
2015-04-27,23
2015-04-28,29
2015-04-29,27
2015-04-30,31
2015-05-01,29
2015-05-02,17
2015-05-03,9
2015-05-04,27
2015-05-05,33
2015-05-06,21
2015-05-07,23
2015-05-08,30
2015-05-09,22
2015-05-10,22
2015-05-11,24
2015-05-12,29
2015-05-13,31
2015-05-14,22
2015-05-15,25
2015-05-16,25
2015-05-17,15
2015-05-18,28
2015-05-19,31
2015-05-20,30
2015-05-21,27
2015-05-22,34
2015-05-23,21
2015-05-24,13
2015-05-25,25
2015-05-26,29
2015-05-27,27
2015-05-28,28
2015-05-29,25
2015-05-30,18
2015-05-31,17
2015-06-01,35
2015-06-02,34
2015-06-03,39
2015-06-04,33
2015-06-05,32
2015-06-06,12
2015-06-07,19
2015-06-08,33
2015-06-09,31
2015-06-10,28
2015-06-11,25
2015-06-12,19
2015-06-13,17
2015-06-14,14
2015-06-15,29
2015-06-16,22
2015-06-17,22
2015-06-18,29
2015-06-19,24
2015-06-20,14
2015-06-21,31
2015-06-22,23
2015-06-23,30
2015-06-24,27
2015-06-25,28
2015-06-26,30
2015-06-27,31
2015-06-28,14
2015-06-29,38
2015-06-30,34
2015-07-01,35
2015-07-02,29
2015-07-03,20
2015-07-04,10
2015-07-05,24
2015-07-06,34
2015-07-07,38
2015-07-08,24
2015-07-09,40
2015-07-10,26
2015-07-11,23
2015-07-12,31
2015-07-13,42
2015-07-14,39
2015-07-15,33
2015-07-16,59
2015-07-17,60
2015-07-18,23
2015-07-19,33
2015-07-20,100
2015-07-21,67
2015-07-22,45
2015-07-23,34
2015-07-24,33
2015-07-25,18
2015-07-26,24
2015-07-27,34
2015-07-28,27
2015-07-29,29
2015-07-30,34
2015-07-31,28
2015-08-01,17
2015-08-02,21
2015-08-03,22
2015-08-04,35
2015-08-05,26
2015-08-06,31
2015-08-07,27
2015-08-08,15
2015-08-09,26
2015-08-10,27
2015-08-11,29
2015-08-12,24
2015-08-13,26
2015-08-14,31
2015-08-15,16
2015-08-16,30
2015-08-17,29
2015-08-18,31
2015-08-19,31
2015-08-20,34
2015-08-21,26
2015-08-22,33
2015-08-23,20
2015-08-24,50
2015-08-25,38
2015-08-26,37
2015-08-27,38
2015-08-28,17
2015-08-29,27
2015-08-30,18
2015-08-31,33
2015-09-01,27
2015-09-02,33
2015-09-03,30
2015-09-04,31
2015-09-05,30
2015-09-06,19
2015-09-07,19
2015-09-08,29
2015-09-09,30
2015-09-10,25
2015-09-11,27
2015-09-12,17
2015-09-13,17
2015-09-14,33
2015-09-15,34
2015-09-16,21
2015-09-17,23
2015-09-18,26
2015-09-19,22
2015-09-20,28
2015-09-21,24
2015-09-22,23
2015-09-23,32
2015-09-24,25
2015-09-25,27
2015-09-26,19
2015-09-27,12
2015-09-28,38
2015-09-29,34
2015-09-30,26
2015-10-01,24
2015-10-02,27
2015-10-03,22
2015-10-04,22
2015-10-05,25
2015-10-06,34
2015-10-07,26
2015-10-08,35
2015-10-09,31
2015-10-10,34
2015-10-11,23
2015-10-12,25
2015-10-13,23
2015-10-14,23
2015-10-15,32
2015-10-16,22
2015-10-17,26
2015-10-18,15
2015-10-19,25
2015-10-20,32
2015-10-21,38
2015-10-22,53
2015-10-23,35
2015-10-24,27
2015-10-25,30
2015-10-26,28
2015-10-27,24
2015-10-28,35
2015-10-29,31
2015-10-30,32
2015-10-31,20
2015-11-01,21
2015-11-02,26
2015-11-03,28
2015-11-04,36
2015-11-05,28
2015-11-06,39
2015-11-07,17
2015-11-08,16
2015-11-09,26
2015-11-10,26
2015-11-11,27
2015-11-12,31
2015-11-13,30
2015-11-14,17
2015-11-15,19
2015-11-16,27
2015-11-17,28
2015-11-18,26
2015-11-19,29
2015-11-20,21
2015-11-21,15
2015-11-22,20
2015-11-23,23
2015-11-24,30
2015-11-25,24
2015-11-26,16
2015-11-27,28
2015-11-28,18
2015-11-29,26
2015-11-30,31
2015-12-01,34
2015-12-02,27
2015-12-03,24
2015-12-04,36
2015-12-05,27
2015-12-06,27
2015-12-07,23
2015-12-08,27
2015-12-09,29
2015-12-10,27
2015-12-11,26
2015-12-12,24
2015-12-13,26
2015-12-14,24
2015-12-15,27
2015-12-16,36
2015-12-17,19
2015-12-18,20
2015-12-19,28
2015-12-20,24
2015-12-21,27
2015-12-22,29
2015-12-23,26
2015-12-24,19
2015-12-25,15
2015-12-26,21
