date,EBAY stock
2016-05-04,50
2016-05-05,48
2016-05-06,45
2016-05-07,41
2016-05-08,30
2016-05-09,55
2016-05-10,49
2016-05-11,39
2016-05-12,54
2016-05-13,26
2016-05-14,27
2016-05-15,29
2016-05-16,47
2016-05-17,62
2016-05-18,34
2016-05-19,39
2016-05-20,41
2016-05-21,28
2016-05-22,47
2016-05-23,49
2016-05-24,51
2016-05-25,56
2016-05-26,52
2016-05-27,31
2016-05-28,24
2016-05-29,32
2016-05-30,26
2016-05-31,44
2016-06-01,49
2016-06-02,42
2016-06-03,29
2016-06-04,22
2016-06-05,36
2016-06-06,36
2016-06-07,31
2016-06-08,40
2016-06-09,33
2016-06-10,45
2016-06-11,22
2016-06-12,43
2016-06-13,34
2016-06-14,24
2016-06-15,43
2016-06-16,34
2016-06-17,31
2016-06-18,39
2016-06-19,22
2016-06-20,43
2016-06-21,50
2016-06-22,41
2016-06-23,30
2016-06-24,64
2016-06-25,53
2016-06-26,24
2016-06-27,61
2016-06-28,36
2016-06-29,46
2016-06-30,54
2016-07-01,26
2016-07-02,32
2016-07-03,34
2016-07-04,24
2016-07-05,29
2016-07-06,42
2016-07-07,43
2016-07-08,25
2016-07-09,28
2016-07-10,23
2016-07-11,47
2016-07-12,27
2016-07-13,42
2016-07-14,37
2016-07-15,39
2016-07-16,35
2016-07-17,32
2016-07-18,47
2016-07-19,53
2016-07-20,83
2016-07-21,100
2016-07-22,71
2016-07-23,39
2016-07-24,38
2016-07-25,52
2016-07-26,58
2016-07-27,52
2016-07-28,52
2016-07-29,40
2016-07-30,36
2016-07-31,19
2016-08-01,42
2016-08-02,47
2016-08-03,47
2016-08-04,45
2016-08-05,42
2016-08-06,31
2016-08-07,33
2016-08-08,54
2016-08-09,20
2016-08-10,55
2016-08-11,54
2016-08-12,24
2016-08-13,33
2016-08-14,33
2016-08-15,38
2016-08-16,41
2016-08-17,38
2016-08-18,31
2016-08-19,36
2016-08-20,43
2016-08-21,33
2016-08-22,27
2016-08-23,41
2016-08-24,41
2016-08-25,45
2016-08-26,47
2016-08-27,38
2016-08-28,39
2016-08-29,44
2016-08-30,43
2016-08-31,53
2016-09-01,40
2016-09-02,37
2016-09-03,25
2016-09-04,27
2016-09-05,27
2016-09-06,58
2016-09-07,58
2016-09-08,51
2016-09-09,39
2016-09-10,27
2016-09-11,31
2016-09-12,38
2016-09-13,42
2016-09-14,37
2016-09-15,48
2016-09-16,32
2016-09-17,26
2016-09-18,18
2016-09-19,35
2016-09-20,48
2016-09-21,35
2016-09-22,43
2016-09-23,44
2016-09-24,25
2016-09-25,32
2016-09-26,47
2016-09-27,38
2016-09-28,51
2016-09-29,32
2016-09-30,42
2016-10-01,20
2016-10-02,33
2016-10-03,33
2016-10-04,35
2016-10-05,36
2016-10-06,56
2016-10-07,31
2016-10-08,36
2016-10-09,30
2016-10-10,49
2016-10-11,39
2016-10-12,46
2016-10-13,26
2016-10-14,50
2016-10-15,32
2016-10-16,25
2016-10-17,39
2016-10-18,48
2016-10-19,80
2016-10-20,90
2016-10-21,69
2016-10-22,40
2016-10-23,32
2016-10-24,39
2016-10-25,46
2016-10-26,48
2016-10-27,59
2016-10-28,31
2016-10-29,22
2016-10-30,38
2016-10-31,32
2016-11-01,55
2016-11-02,64
2016-11-03,46
2016-11-04,48
2016-11-05,22
2016-11-06,27
2016-11-07,54
2016-11-08,50
2016-11-09,62
2016-11-10,57
2016-11-11,59
2016-11-12,42
2016-11-13,52
2016-11-14,68
2016-11-15,58
2016-11-16,77
2016-11-17,46
2016-11-18,65
2016-11-19,41
2016-11-20,28
2016-11-21,56
2016-11-22,59
2016-11-23,63
2016-11-24,51
2016-11-25,42
2016-11-26,42
2016-11-27,43
2016-11-28,39
2016-11-29,54
2016-11-30,50
2016-12-01,37
2016-12-02,60
2016-12-03,38
2016-12-04,43
2016-12-05,52
2016-12-06,61
2016-12-07,57
2016-12-08,59
2016-12-09,61
2016-12-10,46
2016-12-11,35
2016-12-12,69
2016-12-13,57
2016-12-14,49
2016-12-15,54
2016-12-16,43
2016-12-17,31
2016-12-18,36
2016-12-19,35
2016-12-20,46
2016-12-21,64
2016-12-22,47
2016-12-23,48
2016-12-24,38
2016-12-25,35
2016-12-26,32
2016-12-27,61
2016-12-28,56
2016-12-29,59
2016-12-30,43
2016-12-31,24
2017-01-01,36
2017-01-02,53
2017-01-03,45
2017-01-04,43
2017-01-05,40
2017-01-06,53
2017-01-07,41
2017-01-08,66
2017-01-09,47
2017-01-10,52
2017-01-11,52
2017-01-12,49
2017-01-13,55
2017-01-14,55
2017-01-15,42
2017-01-16,37
2017-01-17,38
2017-01-18,17
2017-01-19,34
