date,T-Mobile,isPartial
2011-09-18,67,False
2011-09-19,80,False
2011-09-20,76,False
2011-09-21,73,False
2011-09-22,74,False
2011-09-23,72,False
2011-09-24,69,False
2011-09-25,67,False
2011-09-26,76,False
2011-09-27,74,False
2011-09-28,73,False
2011-09-29,70,False
2011-09-30,72,False
2011-10-01,68,False
2011-10-02,71,False
2011-10-03,76,False
2011-10-04,84,False
2011-10-05,100,False
2011-10-06,90,False
2011-10-07,91,False
2011-10-08,79,False
2011-10-09,78,False
2011-10-10,92,False
2011-10-11,85,False
2011-10-12,85,False
2011-10-13,84,False
2011-10-14,88,False
2011-10-15,79,False
2011-10-16,77,False
2011-10-17,85,False
2011-10-18,81,False
2011-10-19,86,False
2011-10-20,82,False
2011-10-21,82,False
2011-10-22,73,False
2011-10-23,72,False
2011-10-24,84,False
2011-10-25,78,False
2011-10-26,76,False
2011-10-27,77,False
2011-10-28,80,False
2011-10-29,70,False
2011-10-30,73,False
2011-10-31,78,False
2011-11-01,75,False
2011-11-02,84,False
2011-11-03,80,False
2011-11-04,77,False
2011-11-05,80,False
2011-11-06,77,False
2011-11-07,83,False
2011-11-08,81,False
2011-11-09,77,False
2011-11-10,76,False
2011-11-11,76,False
2011-11-12,70,False
2011-11-13,73,False
2011-11-14,84,False
2011-11-15,80,False
2011-11-16,79,False
2011-11-17,77,False
2011-11-18,83,False
2011-11-19,80,False
2011-11-20,76,False
2011-11-21,82,False
2011-11-22,82,False
2011-11-23,81,False
2011-11-24,81,False
2011-11-25,82,False
2011-11-26,78,False
2011-11-27,76,False
2011-11-28,81,False
2011-11-29,81,False
2011-11-30,82,False
2011-12-01,82,False
2011-12-02,80,False
2011-12-03,79,False
2011-12-04,72,False
2011-12-05,82,False
2011-12-06,85,False
2011-12-07,83,False
2011-12-08,80,False
2011-12-09,81,False
2011-12-10,75,False
2011-12-11,75,False
2011-12-12,85,False
2011-12-13,84,False
2011-12-14,86,False
2011-12-15,84,False
2011-12-16,85,False
2011-12-17,80,False
2011-12-18,82,False
2011-12-19,90,False
2011-12-20,84,False
2011-12-21,80,False
2011-12-22,81,False
2011-12-23,72,False
2011-12-24,71,False
2011-12-25,77,False
2011-12-26,67,False
2011-12-27,90,False
2011-12-28,83,False
2011-12-29,84,False
2011-12-30,83,False
2011-12-31,66,False
2012-01-01,74,False
2012-01-02,86,False
2012-01-03,85,False
2012-01-04,81,False
2012-01-05,74,False
2012-01-06,77,False
2012-01-07,70,False
2012-01-08,72,False
2012-01-09,77,False
2012-01-10,73,False
2012-01-11,75,False
2012-01-12,70,False
2012-01-13,72,False
2012-01-14,65,False
2012-01-15,66,False
2012-01-16,75,False
2012-01-17,73,False
2012-01-18,72,False
2012-01-19,74,False
2012-01-20,71,False
2012-01-21,68,False
2012-01-22,67,False
2012-01-23,75,False
2012-01-24,73,False
2012-01-25,70,False
2012-01-26,68,False
2012-01-27,71,False
2012-01-28,67,False
2012-01-29,66,False
2012-01-30,72,False
2012-01-31,75,False
2012-02-01,75,False
2012-02-02,70,False
2012-02-03,67,False
2012-02-04,61,False
2012-02-05,59,False
2012-02-06,69,False
2012-02-07,69,False
2012-02-08,70,False
2012-02-09,73,False
2012-02-10,74,False
2012-02-11,70,False
2012-02-12,59,False
2012-02-13,69,False
2012-02-14,67,False
2012-02-15,69,False
2012-02-16,68,False
2012-02-17,70,False
2012-02-18,60,False
2012-02-19,64,False
2012-02-20,71,False
2012-02-21,73,False
2012-02-22,69,False
2012-02-23,68,False
2012-02-24,69,False
2012-02-25,65,False
2012-02-26,62,False
2012-02-27,68,False
2012-02-28,71,False
2012-02-29,71,False
2012-03-01,69,False
2012-03-02,68,False
2012-03-03,64,False
2012-03-04,62,False
2012-03-05,72,False
2012-03-06,66,False
2012-03-07,66,False
2012-03-08,70,False
2012-03-09,65,False
2012-03-10,64,False
2012-03-11,61,False
2012-03-12,66,False
2012-03-13,62,False
2012-03-14,61,False
2012-03-15,63,False
2012-03-16,60,False
2012-03-17,57,False
2012-03-18,57,False
2012-03-19,67,False
2012-03-20,66,False
2012-03-21,64,False
2012-03-22,62,False
2012-03-23,64,False
2012-03-24,53,False
2012-03-25,55,False
2012-03-26,63,False
2012-03-27,61,False
2012-03-28,60,False
2012-03-29,66,False
2012-03-30,68,False
2012-03-31,64,False
2012-04-01,66,False
2012-04-02,69,False
2012-04-03,70,False
2012-04-04,68,False
2012-04-05,71,False
2012-04-06,68,False
2012-04-07,59,False
2012-04-08,58,False
2012-04-09,57,False
2012-04-10,70,False
2012-04-11,66,False
2012-04-12,65,False
2012-04-13,63,False
2012-04-14,60,False
2012-04-15,62,False
2012-04-16,68,False
2012-04-17,64,False
2012-04-18,65,False
2012-04-19,68,False
2012-04-20,62,False
2012-04-21,59,False
2012-04-22,61,False
2012-04-23,63,False
2012-04-24,66,False
2012-04-25,67,False
2012-04-26,60,False
2012-04-27,62,False
2012-04-28,59,False
2012-04-29,56,False
2012-04-30,56,False
2012-05-01,61,False
2012-05-02,61,False
2012-05-03,63,False
2012-05-04,65,False
2012-05-05,60,False
2012-05-06,60,False
2012-05-07,64,False
2012-05-08,65,False
2012-05-09,68,False
2012-05-10,70,False
2012-05-11,64,False
2012-05-12,59,False
2012-05-13,61,False
2012-05-14,69,False
2012-05-15,67,False
2012-05-16,68,False
2012-05-17,65,False
2012-05-18,61,False
2012-05-19,59,False
2012-05-20,58,False
2012-05-21,70,False
2012-05-22,63,False
2012-05-23,63,False
2012-05-24,65,False
2012-05-25,65,False
2012-05-26,54,False
2012-05-27,57,False
2012-05-28,58,False
2012-05-29,70,False
2012-05-30,73,False
2012-05-31,74,False
2012-06-01,73,False
2012-06-02,64,False
2012-06-03,69,False
2012-06-04,74,False
