date,ALGN stock
2017-10-06,0
2017-10-07,5
2017-10-08,0
2017-10-09,8
2017-10-10,0
2017-10-11,4
2017-10-12,13
2017-10-13,13
2017-10-14,10
2017-10-15,0
2017-10-16,17
2017-10-17,0
2017-10-18,9
2017-10-19,0
2017-10-20,9
2017-10-21,10
2017-10-22,5
2017-10-23,4
2017-10-24,0
2017-10-25,21
2017-10-26,17
2017-10-27,49
2017-10-28,5
2017-10-29,14
2017-10-30,25
2017-10-31,9
2017-11-01,26
2017-11-02,22
2017-11-03,13
2017-11-04,0
2017-11-05,0
2017-11-06,12
2017-11-07,20
2017-11-08,21
2017-11-09,4
2017-11-10,22
2017-11-11,24
2017-11-12,5
2017-11-13,16
2017-11-14,16
2017-11-15,0
2017-11-16,4
2017-11-17,13
2017-11-18,0
2017-11-19,9
2017-11-20,25
2017-11-21,25
2017-11-22,8
2017-11-23,9
2017-11-24,0
2017-11-25,5
2017-11-26,14
2017-11-27,12
2017-11-28,32
2017-11-29,25
2017-11-30,25
2017-12-01,22
2017-12-02,10
2017-12-03,0
2017-12-04,33
2017-12-05,29
2017-12-06,16
2017-12-07,46
2017-12-08,18
2017-12-09,5
2017-12-10,14
2017-12-11,8
2017-12-12,12
2017-12-13,20
2017-12-14,4
2017-12-15,13
2017-12-16,5
2017-12-17,5
2017-12-18,12
2017-12-19,17
2017-12-20,21
2017-12-21,13
2017-12-22,9
2017-12-23,0
2017-12-24,0
2017-12-25,11
2017-12-26,19
2017-12-27,18
2017-12-28,14
2017-12-29,5
2017-12-30,5
2017-12-31,5
2018-01-01,0
2018-01-02,21
2018-01-03,21
2018-01-04,33
2018-01-05,17
2018-01-06,19
2018-01-07,19
2018-01-08,37
2018-01-09,24
2018-01-10,8
2018-01-11,29
2018-01-12,34
2018-01-13,9
2018-01-14,5
2018-01-15,4
2018-01-16,24
2018-01-17,24
2018-01-18,20
2018-01-19,13
2018-01-20,5
2018-01-21,14
2018-01-22,24
2018-01-23,4
2018-01-24,16
2018-01-25,16
2018-01-26,33
2018-01-27,5
2018-01-28,14
2018-01-29,44
2018-01-30,68
2018-01-31,100
2018-02-01,36
2018-02-02,33
2018-02-03,0
2018-02-04,5
2018-02-05,20
2018-02-06,16
2018-02-07,20
2018-02-08,28
2018-02-09,42
2018-02-10,9
2018-02-11,5
2018-02-12,37
2018-02-13,16
2018-02-14,8
2018-02-15,37
2018-02-16,17
2018-02-17,23
2018-02-18,5
2018-02-19,4
2018-02-20,16
2018-02-21,16
2018-02-22,20
2018-02-23,21
2018-02-24,5
2018-02-25,4
2018-02-26,12
2018-02-27,8
2018-02-28,12
2018-03-01,16
2018-03-02,12
2018-03-03,14
2018-03-04,0
2018-03-05,16
2018-03-06,23
2018-03-07,24
2018-03-08,12
2018-03-09,12
2018-03-10,9
2018-03-11,5
2018-03-12,24
2018-03-13,8
2018-03-14,16
2018-03-15,16
2018-03-16,37
2018-03-17,0
2018-03-18,4
2018-03-19,16
2018-03-20,12
2018-03-21,4
2018-03-22,8
2018-03-23,12
2018-03-24,5
2018-03-25,0
2018-03-26,8
2018-03-27,4
2018-03-28,33
2018-03-29,17
2018-03-30,23
2018-03-31,0
2018-04-01,5
2018-04-02,0
2018-04-03,8
2018-04-04,8
2018-04-05,20
2018-04-06,25
2018-04-07,0
2018-04-08,5
