date,ALGN stock
2017-05-29,0
2017-05-30,0
2017-05-31,5
2017-06-01,0
2017-06-02,21
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,9
2017-06-07,5
2017-06-08,0
2017-06-09,10
2017-06-10,6
2017-06-11,0
2017-06-12,5
2017-06-13,9
2017-06-14,0
2017-06-15,5
2017-06-16,0
2017-06-17,0
2017-06-18,6
2017-06-19,0
2017-06-20,5
2017-06-21,5
2017-06-22,5
2017-06-23,5
2017-06-24,0
2017-06-25,0
2017-06-26,10
2017-06-27,0
2017-06-28,0
2017-06-29,5
2017-06-30,5
2017-07-01,0
2017-07-02,0
2017-07-03,5
2017-07-04,0
2017-07-05,5
2017-07-06,0
2017-07-07,15
2017-07-08,6
2017-07-09,0
2017-07-10,5
2017-07-11,10
2017-07-12,0
2017-07-13,0
2017-07-14,5
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,5
2017-07-19,5
2017-07-20,10
2017-07-21,5
2017-07-22,12
2017-07-23,0
2017-07-24,10
2017-07-25,10
2017-07-26,10
2017-07-27,10
2017-07-28,30
2017-07-29,0
2017-07-30,0
2017-07-31,14
2017-08-01,5
2017-08-02,5
2017-08-03,10
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,9
2017-08-08,5
2017-08-09,10
2017-08-10,10
2017-08-11,15
2017-08-12,0
2017-08-13,0
2017-08-14,19
2017-08-15,5
2017-08-16,5
2017-08-17,10
2017-08-18,15
2017-08-19,6
2017-08-20,5
2017-08-21,14
2017-08-22,9
2017-08-23,0
2017-08-24,14
2017-08-25,0
2017-08-26,6
2017-08-27,0
2017-08-28,5
2017-08-29,14
2017-08-30,5
2017-08-31,5
2017-09-01,0
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,9
2017-09-06,0
2017-09-07,10
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,9
2017-09-12,5
2017-09-13,0
2017-09-14,5
2017-09-15,0
2017-09-16,5
2017-09-17,5
2017-09-18,9
2017-09-19,5
2017-09-20,14
2017-09-21,5
2017-09-22,10
2017-09-23,0
2017-09-24,0
2017-09-25,9
2017-09-26,14
2017-09-27,5
2017-09-28,14
2017-09-29,5
2017-09-30,0
2017-10-01,5
2017-10-02,0
2017-10-03,0
2017-10-04,14
2017-10-05,5
2017-10-06,5
2017-10-07,5
2017-10-08,0
2017-10-09,9
2017-10-10,5
2017-10-11,5
2017-10-12,9
2017-10-13,15
2017-10-14,16
2017-10-15,0
2017-10-16,5
2017-10-17,23
2017-10-18,0
2017-10-19,14
2017-10-20,0
2017-10-21,5
2017-10-22,0
2017-10-23,14
2017-10-24,9
2017-10-25,14
2017-10-26,41
2017-10-27,67
2017-10-28,0
2017-10-29,5
2017-10-30,36
2017-10-31,19
2017-11-01,19
2017-11-02,18
2017-11-03,29
2017-11-04,0
2017-11-05,0
2017-11-06,22
2017-11-07,4
2017-11-08,14
2017-11-09,27
2017-11-10,9
2017-11-11,0
2017-11-12,0
2017-11-13,18
2017-11-14,13
2017-11-15,13
2017-11-16,18
2017-11-17,9
2017-11-18,0
2017-11-19,10
2017-11-20,13
2017-11-21,13
2017-11-22,27
2017-11-23,5
2017-11-24,19
2017-11-25,0
2017-11-26,10
2017-11-27,17
2017-11-28,13
2017-11-29,22
2017-11-30,9
2017-12-01,5
2017-12-02,5
2017-12-03,0
2017-12-04,35
2017-12-05,40
2017-12-06,22
2017-12-07,5
2017-12-08,14
2017-12-09,0
2017-12-10,0
2017-12-11,9
2017-12-12,27
2017-12-13,0
2017-12-14,27
2017-12-15,24
2017-12-16,5
2017-12-17,5
2017-12-18,23
2017-12-19,5
2017-12-20,14
2017-12-21,24
2017-12-22,21
2017-12-23,6
2017-12-24,0
2017-12-25,6
2017-12-26,0
2017-12-27,10
2017-12-28,49
2017-12-29,10
2017-12-30,16
2017-12-31,0
2018-01-01,11
2018-01-02,19
2018-01-03,31
2018-01-04,23
2018-01-05,23
2018-01-06,15
2018-01-07,0
2018-01-08,18
2018-01-09,22
2018-01-10,22
2018-01-11,18
2018-01-12,14
2018-01-13,25
2018-01-14,0
2018-01-15,9
2018-01-16,22
2018-01-17,13
2018-01-18,13
2018-01-19,18
2018-01-20,5
2018-01-21,0
2018-01-22,17
2018-01-23,21
2018-01-24,26
2018-01-25,31
2018-01-26,32
2018-01-27,10
2018-01-28,5
2018-01-29,30
2018-01-30,100
2018-01-31,64
2018-02-01,48
2018-02-02,36
2018-02-03,10
2018-02-04,10
2018-02-05,13
2018-02-06,43
2018-02-07,34
2018-02-08,26
2018-02-09,9
2018-02-10,10
2018-02-11,5
2018-02-12,40
2018-02-13,13
