date,Fastenal,isPartial
2016-09-11,16,False
2016-09-12,65,False
2016-09-13,68,False
2016-09-14,57,False
2016-09-15,74,False
2016-09-16,55,False
2016-09-17,23,False
2016-09-18,11,False
2016-09-19,56,False
2016-09-20,62,False
2016-09-21,52,False
2016-09-22,72,False
2016-09-23,58,False
2016-09-24,19,False
2016-09-25,15,False
2016-09-26,65,False
2016-09-27,69,False
2016-09-28,56,False
2016-09-29,66,False
2016-09-30,58,False
2016-10-01,18,False
2016-10-02,16,False
2016-10-03,49,False
2016-10-04,73,False
2016-10-05,90,False
2016-10-06,52,False
2016-10-07,60,False
2016-10-08,17,False
2016-10-09,9,False
2016-10-10,51,False
2016-10-11,65,False
2016-10-12,65,False
2016-10-13,66,False
2016-10-14,62,False
2016-10-15,22,False
2016-10-16,8,False
2016-10-17,57,False
2016-10-18,79,False
2016-10-19,60,False
2016-10-20,62,False
2016-10-21,64,False
2016-10-22,23,False
2016-10-23,11,False
2016-10-24,67,False
2016-10-25,58,False
2016-10-26,64,False
2016-10-27,70,False
2016-10-28,53,False
2016-10-29,12,False
2016-10-30,8,False
2016-10-31,56,False
2016-11-01,62,False
2016-11-02,62,False
2016-11-03,63,False
2016-11-04,58,False
2016-11-05,19,False
2016-11-06,17,False
2016-11-07,67,False
2016-11-08,59,False
2016-11-09,51,False
2016-11-10,61,False
2016-11-11,58,False
2016-11-12,18,False
2016-11-13,10,False
2016-11-14,58,False
2016-11-15,65,False
2016-11-16,72,False
2016-11-17,61,False
2016-11-18,59,False
2016-11-19,14,False
2016-11-20,15,False
2016-11-21,59,False
2016-11-22,63,False
2016-11-23,44,False
2016-11-24,22,False
2016-11-25,27,False
2016-11-26,17,False
2016-11-27,8,False
2016-11-28,53,False
2016-11-29,69,False
2016-11-30,49,False
2016-12-01,53,False
2016-12-02,66,False
2016-12-03,24,False
2016-12-04,11,False
2016-12-05,57,False
2016-12-06,59,False
2016-12-07,55,False
2016-12-08,57,False
2016-12-09,57,False
2016-12-10,14,False
2016-12-11,11,False
2016-12-12,56,False
2016-12-13,57,False
2016-12-14,58,False
