date,Fastenal,isPartial
2017-05-29,27,False
2017-05-30,61,False
2017-05-31,80,False
2017-06-01,84,False
2017-06-02,77,False
2017-06-03,17,False
2017-06-04,17,False
2017-06-05,69,False
2017-06-06,74,False
2017-06-07,79,False
2017-06-08,73,False
2017-06-09,73,False
2017-06-10,20,False
2017-06-11,21,False
2017-06-12,64,False
2017-06-13,84,False
2017-06-14,87,False
2017-06-15,76,False
2017-06-16,79,False
2017-06-17,32,False
2017-06-18,10,False
2017-06-19,73,False
2017-06-20,78,False
2017-06-21,71,False
2017-06-22,75,False
2017-06-23,60,False
2017-06-24,25,False
2017-06-25,16,False
2017-06-26,74,False
2017-06-27,76,False
2017-06-28,89,False
2017-06-29,79,False
2017-06-30,65,False
2017-07-01,29,False
2017-07-02,22,False
2017-07-03,61,False
2017-07-04,23,False
2017-07-05,58,False
2017-07-06,73,False
2017-07-07,65,False
2017-07-08,26,False
2017-07-09,24,False
2017-07-10,66,False
2017-07-11,87,False
2017-07-12,72,False
2017-07-13,83,False
2017-07-14,63,False
2017-07-15,26,False
2017-07-16,15,False
2017-07-17,77,False
2017-07-18,70,False
2017-07-19,79,False
2017-07-20,86,False
2017-07-21,65,False
2017-07-22,27,False
2017-07-23,15,False
2017-07-24,86,False
2017-07-25,91,False
2017-07-26,88,False
2017-07-27,71,False
2017-07-28,73,False
2017-07-29,22,False
2017-07-30,13,False
2017-07-31,70,False
2017-08-01,81,False
2017-08-02,86,False
2017-08-03,64,False
2017-08-04,70,False
2017-08-05,35,False
2017-08-06,21,False
2017-08-07,76,False
2017-08-08,97,False
2017-08-09,83,False
2017-08-10,83,False
2017-08-11,78,False
2017-08-12,30,False
2017-08-13,16,False
2017-08-14,96,False
2017-08-15,79,False
2017-08-16,96,False
2017-08-17,100,False
2017-08-18,77,False
2017-08-19,33,False
2017-08-20,22,False
2017-08-21,77,False
2017-08-22,86,False
2017-08-23,89,False
2017-08-24,76,False
2017-08-25,72,False
2017-08-26,27,False
2017-08-27,14,False
2017-08-28,90,False
2017-08-29,88,False
2017-08-30,92,False
2017-08-31,87,False
2017-09-01,63,False
2017-09-02,20,False
2017-09-03,10,False
2017-09-04,22,False
2017-09-05,66,False
2017-09-06,78,False
2017-09-07,86,False
2017-09-08,83,False
2017-09-09,27,False
2017-09-10,13,False
2017-09-11,79,False
2017-09-12,85,False
2017-09-13,87,False
2017-09-14,72,False
2017-09-15,68,False
2017-09-16,31,False
2017-09-17,12,False
2017-09-18,79,False
2017-09-19,90,False
2017-09-20,76,False
2017-09-21,86,False
2017-09-22,70,False
2017-09-23,20,False
2017-09-24,12,False
2017-09-25,71,False
2017-09-26,86,False
2017-09-27,82,False
2017-09-28,72,False
2017-09-29,78,False
2017-09-30,26,False
2017-10-01,14,False
2017-10-02,90,False
2017-10-03,69,False
2017-10-04,83,False
2017-10-05,85,False
2017-10-06,71,False
2017-10-07,26,False
2017-10-08,11,False
2017-10-09,63,False
2017-10-10,83,False
2017-10-11,95,False
2017-10-12,65,False
2017-10-13,82,False
2017-10-14,30,False
2017-10-15,12,False
2017-10-16,74,False
2017-10-17,95,False
2017-10-18,87,False
2017-10-19,69,False
2017-10-20,76,False
2017-10-21,23,False
2017-10-22,15,False
2017-10-23,88,False
2017-10-24,74,False
2017-10-25,92,False
2017-10-26,75,False
2017-10-27,79,False
2017-10-28,30,False
2017-10-29,19,False
2017-10-30,82,False
2017-10-31,73,False
2017-11-01,62,False
2017-11-02,78,False
2017-11-03,66,False
2017-11-04,25,False
2017-11-05,13,False
2017-11-06,63,False
2017-11-07,82,False
2017-11-08,78,False
2017-11-09,71,False
2017-11-10,56,False
2017-11-11,16,False
2017-11-12,10,False
2017-11-13,70,False
2017-11-14,82,False
2017-11-15,73,False
2017-11-16,69,False
2017-11-17,60,False
2017-11-18,22,False
2017-11-19,12,False
2017-11-20,66,False
2017-11-21,67,False
2017-11-22,54,False
2017-11-23,22,False
2017-11-24,36,False
2017-11-25,13,False
2017-11-26,12,False
2017-11-27,65,False
2017-11-28,63,False
2017-11-29,79,False
2017-11-30,77,False
2017-12-01,72,False
2017-12-02,33,False
2017-12-03,12,False
2017-12-04,62,False
2017-12-05,88,False
2017-12-06,84,False
2017-12-07,79,False
2017-12-08,65,False
2017-12-09,21,False
2017-12-10,23,False
2017-12-11,61,False
2017-12-12,72,False
2017-12-13,84,False
2017-12-14,79,False
2017-12-15,66,False
2017-12-16,30,False
2017-12-17,19,False
2017-12-18,83,False
2017-12-19,66,False
2017-12-20,69,False
2017-12-21,62,False
2017-12-22,45,False
2017-12-23,19,False
2017-12-24,9,False
2017-12-25,10,False
2017-12-26,47,False
2017-12-27,48,False
2017-12-28,58,False
2017-12-29,41,False
2017-12-30,21,False
2017-12-31,13,False
2018-01-01,14,False
2018-01-02,74,False
2018-01-03,61,False
2018-01-04,78,False
2018-01-05,80,False
2018-01-06,18,False
2018-01-07,14,False
2018-01-08,70,False
2018-01-09,74,False
2018-01-10,93,False
2018-01-11,74,False
2018-01-12,78,False
2018-01-13,22,False
2018-01-14,11,False
2018-01-15,63,False
2018-01-16,78,False
2018-01-17,71,False
2018-01-18,68,False
2018-01-19,71,False
