date,bankruptcy,isPartial
2013-06-29,14,False
2013-06-30,16,False
2013-07-01,26,False
2013-07-02,27,False
2013-07-03,23,False
2013-07-04,13,False
2013-07-05,18,False
2013-07-06,13,False
2013-07-07,13,False
2013-07-08,27,False
2013-07-09,30,False
2013-07-10,29,False
2013-07-11,28,False
2013-07-12,26,False
2013-07-13,15,False
2013-07-14,14,False
2013-07-15,32,False
2013-07-16,27,False
2013-07-17,26,False
2013-07-18,61,False
2013-07-19,100,False
2013-07-20,45,False
2013-07-21,34,False
2013-07-22,47,False
2013-07-23,46,False
2013-07-24,42,False
2013-07-25,37,False
2013-07-26,30,False
2013-07-27,20,False
2013-07-28,19,False
2013-07-29,34,False
2013-07-30,30,False
2013-07-31,33,False
2013-08-01,30,False
2013-08-02,27,False
2013-08-03,18,False
2013-08-04,13,False
2013-08-05,30,False
2013-08-06,29,False
2013-08-07,31,False
2013-08-08,29,False
2013-08-09,24,False
2013-08-10,14,False
2013-08-11,13,False
2013-08-12,29,False
2013-08-13,31,False
2013-08-14,30,False
2013-08-15,27,False
2013-08-16,26,False
2013-08-17,16,False
2013-08-18,13,False
2013-08-19,27,False
2013-08-20,28,False
2013-08-21,29,False
2013-08-22,30,False
2013-08-23,25,False
2013-08-24,17,False
2013-08-25,14,False
2013-08-26,27,False
2013-08-27,24,False
2013-08-28,29,False
2013-08-29,25,False
2013-08-30,21,False
2013-08-31,13,False
2013-09-01,13,False
2013-09-02,13,False
2013-09-03,30,False
2013-09-04,30,False
2013-09-05,28,False
2013-09-06,25,False
2013-09-07,14,False
2013-09-08,14,False
2013-09-09,28,False
2013-09-10,28,False
2013-09-11,26,False
2013-09-12,28,False
2013-09-13,26,False
2013-09-14,14,False
2013-09-15,14,False
2013-09-16,27,False
2013-09-17,29,False
2013-09-18,29,False
2013-09-19,26,False
2013-09-20,29,False
2013-09-21,14,False
2013-09-22,13,False
2013-09-23,29,False
2013-09-24,29,False
2013-09-25,26,False
2013-09-26,30,False
2013-09-27,27,False
2013-09-28,12,False
2013-09-29,15,False
2013-09-30,23,False
2013-10-01,30,False
2013-10-02,26,False
2013-10-03,27,False
2013-10-04,22,False
2013-10-05,13,False
2013-10-06,14,False
2013-10-07,28,False
2013-10-08,27,False
2013-10-09,28,False
2013-10-10,27,False
2013-10-11,23,False
2013-10-12,15,False
2013-10-13,13,False
2013-10-14,23,False
2013-10-15,27,False
2013-10-16,30,False
2013-10-17,28,False
2013-10-18,24,False
2013-10-19,15,False
2013-10-20,14,False
2013-10-21,25,False
2013-10-22,31,False
2013-10-23,28,False
2013-10-24,25,False
2013-10-25,25,False
2013-10-26,14,False
2013-10-27,14,False
2013-10-28,26,False
2013-10-29,33,False
2013-10-30,28,False
2013-10-31,25,False
2013-11-01,25,False
2013-11-02,13,False
2013-11-03,12,False
2013-11-04,30,False
2013-11-05,32,False
2013-11-06,28,False
2013-11-07,28,False
2013-11-08,24,False
2013-11-09,13,False
2013-11-10,15,False
2013-11-11,25,False
2013-11-12,28,False
2013-11-13,31,False
2013-11-14,29,False
2013-11-15,27,False
2013-11-16,17,False
2013-11-17,12,False
2013-11-18,27,False
2013-11-19,28,False
2013-11-20,26,False
2013-11-21,28,False
2013-11-22,26,False
2013-11-23,13,False
2013-11-24,14,False
2013-11-25,25,False
2013-11-26,25,False
2013-11-27,22,False
2013-11-28,13,False
2013-11-29,14,False
2013-11-30,12,False
2013-12-01,12,False
2013-12-02,23,False
2013-12-03,39,False
2013-12-04,37,False
2013-12-05,28,False
2013-12-06,24,False
2013-12-07,15,False
2013-12-08,16,False
2013-12-09,24,False
2013-12-10,26,False
2013-12-11,25,False
2013-12-12,23,False
2013-12-13,24,False
2013-12-14,14,False
2013-12-15,12,False
2013-12-16,27,False
2013-12-17,28,False
2013-12-18,26,False
2013-12-19,25,False
2013-12-20,18,False
2013-12-21,11,False
2013-12-22,11,False
2013-12-23,18,False
2013-12-24,14,False
2013-12-25,8,False
2013-12-26,18,False
