date,bankruptcy,isPartial
2014-07-24,85,False
2014-07-25,71,False
2014-07-26,43,False
2014-07-27,46,False
2014-07-28,90,False
2014-07-29,96,False
2014-07-30,88,False
2014-07-31,82,False
2014-08-01,74,False
2014-08-02,48,False
2014-08-03,42,False
2014-08-04,78,False
2014-08-05,94,False
2014-08-06,86,False
2014-08-07,80,False
2014-08-08,74,False
2014-08-09,46,False
2014-08-10,41,False
2014-08-11,78,False
2014-08-12,89,False
2014-08-13,91,False
2014-08-14,82,False
2014-08-15,74,False
2014-08-16,44,False
2014-08-17,43,False
2014-08-18,76,False
2014-08-19,81,False
2014-08-20,85,False
2014-08-21,77,False
2014-08-22,71,False
2014-08-23,43,False
2014-08-24,42,False
2014-08-25,79,False
2014-08-26,84,False
2014-08-27,76,False
2014-08-28,74,False
2014-08-29,69,False
2014-08-30,39,False
2014-08-31,34,False
2014-09-01,42,False
2014-09-02,77,False
2014-09-03,83,False
2014-09-04,78,False
2014-09-05,69,False
2014-09-06,38,False
2014-09-07,43,False
2014-09-08,82,False
2014-09-09,87,False
2014-09-10,85,False
2014-09-11,81,False
2014-09-12,74,False
2014-09-13,40,False
2014-09-14,39,False
2014-09-15,87,False
2014-09-16,89,False
2014-09-17,82,False
2014-09-18,81,False
2014-09-19,72,False
2014-09-20,42,False
2014-09-21,41,False
2014-09-22,81,False
2014-09-23,84,False
2014-09-24,81,False
2014-09-25,80,False
2014-09-26,67,False
2014-09-27,42,False
2014-09-28,40,False
2014-09-29,76,False
2014-09-30,78,False
2014-10-01,84,False
2014-10-02,85,False
2014-10-03,77,False
2014-10-04,45,False
2014-10-05,43,False
2014-10-06,89,False
2014-10-07,88,False
2014-10-08,84,False
2014-10-09,81,False
2014-10-10,70,False
2014-10-11,38,False
2014-10-12,42,False
2014-10-13,70,False
2014-10-14,83,False
2014-10-15,85,False
2014-10-16,82,False
2014-10-17,66,False
2014-10-18,39,False
2014-10-19,44,False
2014-10-20,80,False
2014-10-21,85,False
2014-10-22,82,False
2014-10-23,83,False
2014-10-24,74,False
2014-10-25,44,False
2014-10-26,42,False
2014-10-27,84,False
2014-10-28,84,False
2014-10-29,87,False
2014-10-30,81,False
2014-10-31,73,False
2014-11-01,45,False
2014-11-02,40,False
2014-11-03,78,False
2014-11-04,83,False
2014-11-05,83,False
2014-11-06,83,False
2014-11-07,82,False
2014-11-08,50,False
2014-11-09,45,False
2014-11-10,82,False
2014-11-11,81,False
2014-11-12,79,False
2014-11-13,80,False
2014-11-14,73,False
2014-11-15,45,False
2014-11-16,41,False
2014-11-17,79,False
2014-11-18,83,False
2014-11-19,81,False
2014-11-20,87,False
2014-11-21,82,False
2014-11-22,46,False
2014-11-23,43,False
2014-11-24,71,False
2014-11-25,71,False
2014-11-26,61,False
2014-11-27,36,False
2014-11-28,39,False
2014-11-29,43,False
2014-11-30,42,False
2014-12-01,77,False
2014-12-02,84,False
2014-12-03,84,False
2014-12-04,82,False
2014-12-05,74,False
2014-12-06,47,False
2014-12-07,42,False
2014-12-08,80,False
2014-12-09,82,False
2014-12-10,84,False
2014-12-11,81,False
2014-12-12,67,False
2014-12-13,39,False
2014-12-14,40,False
2014-12-15,68,False
2014-12-16,78,False
2014-12-17,75,False
2014-12-18,74,False
2014-12-19,63,False
2014-12-20,37,False
2014-12-21,34,False
2014-12-22,60,False
2014-12-23,55,False
2014-12-24,41,False
2014-12-25,25,False
2014-12-26,44,False
2014-12-27,32,False
2014-12-28,37,False
2014-12-29,73,False
2014-12-30,67,False
2014-12-31,60,False
2015-01-01,35,False
2015-01-02,59,False
2015-01-03,44,False
2015-01-04,45,False
2015-01-05,87,False
2015-01-06,88,False
2015-01-07,78,False
2015-01-08,77,False
2015-01-09,75,False
2015-01-10,45,False
2015-01-11,44,False
2015-01-12,76,False
2015-01-13,79,False
2015-01-14,74,False
2015-01-15,98,False
2015-01-16,87,False
2015-01-17,55,False
2015-01-18,45,False
2015-01-19,68,False
2015-01-20,87,False
2015-01-21,88,False
2015-01-22,82,False
2015-01-23,88,False
2015-01-24,55,False
2015-01-25,45,False
2015-01-26,78,False
2015-01-27,82,False
2015-01-28,82,False
2015-01-29,75,False
2015-01-30,81,False
2015-01-31,52,False
2015-02-01,44,False
2015-02-02,73,False
2015-02-03,85,False
2015-02-04,86,False
2015-02-05,87,False
2015-02-06,100,False
2015-02-07,56,False
2015-02-08,49,False
2015-02-09,80,False
2015-02-10,90,False
2015-02-11,83,False
2015-02-12,86,False
2015-02-13,78,False
2015-02-14,43,False
2015-02-15,44,False
2015-02-16,65,False
2015-02-17,80,False
2015-02-18,83,False
2015-02-19,80,False
2015-02-20,78,False
2015-02-21,45,False
2015-02-22,43,False
2015-02-23,72,False
2015-02-24,79,False
2015-02-25,83,False
2015-02-26,84,False
2015-02-27,76,False
2015-02-28,46,False
2015-03-01,46,False
2015-03-02,78,False
2015-03-03,89,False
2015-03-04,86,False
2015-03-05,75,False
2015-03-06,78,False
2015-03-07,45,False
2015-03-08,44,False
2015-03-09,83,False
2015-03-10,86,False
2015-03-11,84,False
2015-03-12,83,False
2015-03-13,69,False
2015-03-14,47,False
2015-03-15,42,False
2015-03-16,78,False
2015-03-17,82,False
2015-03-18,89,False
2015-03-19,82,False
2015-03-20,76,False
2015-03-21,41,False
2015-03-22,42,False
2015-03-23,87,False
2015-03-24,87,False
2015-03-25,78,False
2015-03-26,83,False
2015-03-27,75,False
2015-03-28,44,False
2015-03-29,41,False
2015-03-30,83,False
2015-03-31,83,False
2015-04-01,80,False
2015-04-02,83,False
2015-04-03,69,False
2015-04-04,40,False
2015-04-05,36,False
2015-04-06,78,False
2015-04-07,88,False
2015-04-08,78,False
2015-04-09,81,False
2015-04-10,71,False
