date,PAYX stock
2017-05-29,0
2017-05-30,31
2017-05-31,62
2017-06-01,64
2017-06-02,66
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,30
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,31
2017-06-13,30
2017-06-14,31
2017-06-15,32
2017-06-16,33
2017-06-17,0
2017-06-18,0
2017-06-19,31
2017-06-20,30
2017-06-21,0
2017-06-22,30
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,32
2017-06-27,32
2017-06-28,97
2017-06-29,32
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,66
2017-07-06,0
2017-07-07,100
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,32
2017-07-12,0
2017-07-13,32
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,32
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,31
2017-07-25,0
2017-07-26,31
2017-07-27,63
2017-07-28,33
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,90
2017-08-02,29
2017-08-03,31
2017-08-04,32
2017-08-05,36
2017-08-06,0
2017-08-07,0
2017-08-08,30
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,36
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,31
2017-08-17,0
2017-08-18,32
2017-08-19,0
2017-08-20,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,93
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,62
2017-08-31,0
2017-09-01,65
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,60
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,30
2017-09-19,60
2017-09-20,0
2017-09-21,0
2017-09-22,31
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,60
2017-09-27,30
2017-09-28,30
2017-09-29,0
2017-09-30,36
2017-10-01,0
2017-10-02,0
2017-10-03,60
2017-10-04,90
2017-10-05,0
2017-10-06,31
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,30
2017-10-11,0
2017-10-12,30
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,30
2017-10-19,0
2017-10-20,31
2017-10-21,35
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,30
2017-10-26,30
2017-10-27,0
2017-10-28,34
2017-10-29,33
2017-10-30,0
2017-10-31,30
2017-11-01,0
2017-11-02,30
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,29
2017-11-07,29
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,33
2017-11-12,0
2017-11-13,0
2017-11-14,29
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,33
2017-11-19,0
2017-11-20,29
2017-11-21,29
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,33
2017-11-27,0
2017-11-28,57
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,29
2017-12-05,0
2017-12-06,29
2017-12-07,30
2017-12-08,92
2017-12-09,34
2017-12-10,33
2017-12-11,28
2017-12-12,86
2017-12-13,29
2017-12-14,30
2017-12-15,31
2017-12-16,0
2017-12-17,0
2017-12-18,59
2017-12-19,0
2017-12-20,31
2017-12-21,93
2017-12-22,33
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,31
2017-12-28,0
2017-12-29,0
2017-12-30,35
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,29
2018-01-05,30
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,29
2018-01-12,0
2018-01-13,0
2018-01-14,32
2018-01-15,28
2018-01-16,0
2018-01-17,28
2018-01-18,28
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,28
2018-01-23,0
2018-01-24,84
2018-01-25,0
2018-01-26,30
2018-01-27,0
2018-01-28,0
2018-01-29,84
2018-01-30,0
2018-01-31,83
2018-02-01,28
2018-02-02,29
2018-02-03,0
2018-02-04,0
2018-02-05,28
2018-02-06,84
2018-02-07,28
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,32
2018-02-12,0
2018-02-13,0
