date,MELI stock
2017-10-06,10
2017-10-07,0
2017-10-08,11
2017-10-09,9
2017-10-10,14
2017-10-11,19
2017-10-12,81
2017-10-13,49
2017-10-14,22
2017-10-15,0
2017-10-16,42
2017-10-17,37
2017-10-18,14
2017-10-19,28
2017-10-20,19
2017-10-21,11
2017-10-22,10
2017-10-23,28
2017-10-24,37
2017-10-25,18
2017-10-26,14
2017-10-27,24
2017-10-28,11
2017-10-29,10
2017-10-30,18
2017-10-31,24
2017-11-01,33
2017-11-02,47
2017-11-03,62
2017-11-04,10
2017-11-05,10
2017-11-06,9
2017-11-07,9
2017-11-08,23
2017-11-09,36
2017-11-10,38
2017-11-11,10
2017-11-12,0
2017-11-13,32
2017-11-14,14
2017-11-15,18
2017-11-16,18
2017-11-17,28
2017-11-18,31
2017-11-19,0
2017-11-20,27
2017-11-21,9
2017-11-22,18
2017-11-23,9
2017-11-24,9
2017-11-25,10
2017-11-26,0
2017-11-27,18
2017-11-28,18
2017-11-29,31
2017-11-30,37
2017-12-01,33
2017-12-02,10
2017-12-03,0
2017-12-04,18
2017-12-05,9
2017-12-06,14
2017-12-07,14
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,13
2017-12-12,18
2017-12-13,32
2017-12-14,28
2017-12-15,38
2017-12-16,16
2017-12-17,0
2017-12-18,18
2017-12-19,28
2017-12-20,19
2017-12-21,20
2017-12-22,10
2017-12-23,22
2017-12-24,12
2017-12-25,0
2017-12-26,15
2017-12-27,24
2017-12-28,10
2017-12-29,15
2017-12-30,0
2017-12-31,0
2018-01-01,11
2018-01-02,0
2018-01-03,18
2018-01-04,14
2018-01-05,14
2018-01-06,0
2018-01-07,0
2018-01-08,13
2018-01-09,13
2018-01-10,53
2018-01-11,9
2018-01-12,28
2018-01-13,0
2018-01-14,0
2018-01-15,9
2018-01-16,9
2018-01-17,13
2018-01-18,9
2018-01-19,23
2018-01-20,10
2018-01-21,10
2018-01-22,30
2018-01-23,26
2018-01-24,13
2018-01-25,9
2018-01-26,32
2018-01-27,30
2018-01-28,0
2018-01-29,39
2018-01-30,35
2018-01-31,17
2018-02-01,17
2018-02-02,32
2018-02-03,0
2018-02-04,0
2018-02-05,26
2018-02-06,53
2018-02-07,26
2018-02-08,26
2018-02-09,32
2018-02-10,10
2018-02-11,0
2018-02-12,36
2018-02-13,35
2018-02-14,18
2018-02-15,18
2018-02-16,18
2018-02-17,10
2018-02-18,20
2018-02-19,9
2018-02-20,30
2018-02-21,30
2018-02-22,35
2018-02-23,100
2018-02-24,0
2018-02-25,10
2018-02-26,22
2018-02-27,13
2018-02-28,34
2018-03-01,13
2018-03-02,9
2018-03-03,15
2018-03-04,10
2018-03-05,8
2018-03-06,34
2018-03-07,52
2018-03-08,40
2018-03-09,14
2018-03-10,20
2018-03-11,10
2018-03-12,9
2018-03-13,21
2018-03-14,22
2018-03-15,22
2018-03-16,36
2018-03-17,10
2018-03-18,10
2018-03-19,44
2018-03-20,30
2018-03-21,30
2018-03-22,44
2018-03-23,27
2018-03-24,0
2018-03-25,0
2018-03-26,26
2018-03-27,27
2018-03-28,14
2018-03-29,19
2018-03-30,50
2018-03-31,0
2018-04-01,10
2018-04-02,9
2018-04-03,22
2018-04-04,13
2018-04-05,45
2018-04-06,14
2018-04-07,10
2018-04-08,0
2018-04-09,9
