date,MELI stock
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,16
2017-01-23,27
2017-01-24,0
2017-01-25,0
2017-01-26,14
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,13
2017-02-08,14
2017-02-09,14
2017-02-10,14
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,14
2017-02-18,0
2017-02-19,16
2017-02-20,0
2017-02-21,40
2017-02-22,0
2017-02-23,27
2017-02-24,14
2017-02-25,16
2017-02-26,0
2017-02-27,13
2017-02-28,13
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,26
2017-03-07,0
2017-03-08,0
2017-03-09,13
2017-03-10,14
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,13
2017-03-21,27
2017-03-22,13
2017-03-23,0
2017-03-24,14
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,14
2017-03-30,55
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,13
2017-04-04,13
2017-04-05,0
2017-04-06,14
2017-04-07,0
2017-04-08,0
2017-04-09,16
2017-04-10,0
2017-04-11,27
2017-04-12,14
2017-04-13,14
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,14
2017-04-18,0
2017-04-19,13
2017-04-20,0
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,53
2017-04-25,13
2017-04-26,13
2017-04-27,13
2017-04-28,0
2017-04-29,0
2017-04-30,16
2017-05-01,15
2017-05-02,13
2017-05-03,13
2017-05-04,41
2017-05-05,85
2017-05-06,48
2017-05-07,0
2017-05-08,27
2017-05-09,40
2017-05-10,54
2017-05-11,41
2017-05-12,14
2017-05-13,16
2017-05-14,47
2017-05-15,29
2017-05-16,0
2017-05-17,86
2017-05-18,58
2017-05-19,75
2017-05-20,17
2017-05-21,0
2017-05-22,44
2017-05-23,28
2017-05-24,30
2017-05-25,29
2017-05-26,31
2017-05-27,35
2017-05-28,0
2017-05-29,15
2017-05-30,43
2017-05-31,85
2017-06-01,15
2017-06-02,15
2017-06-03,17
2017-06-04,0
2017-06-05,43
2017-06-06,28
2017-06-07,28
2017-06-08,14
2017-06-09,30
2017-06-10,35
2017-06-11,34
2017-06-12,57
2017-06-13,28
2017-06-14,14
2017-06-15,15
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,57
2017-06-20,14
2017-06-21,42
2017-06-22,0
2017-06-23,15
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,29
2017-06-28,90
2017-06-29,60
2017-06-30,31
2017-07-01,0
2017-07-02,0
2017-07-03,30
2017-07-04,0
2017-07-05,45
2017-07-06,15
2017-07-07,0
2017-07-08,0
2017-07-09,17
2017-07-10,29
2017-07-11,29
2017-07-12,15
2017-07-13,15
2017-07-14,0
2017-07-15,17
2017-07-16,0
2017-07-17,29
2017-07-18,44
2017-07-19,15
2017-07-20,29
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,14
2017-07-25,43
2017-07-26,14
2017-07-27,29
2017-07-28,30
2017-07-29,0
2017-07-30,17
2017-07-31,71
2017-08-01,28
2017-08-02,27
2017-08-03,57
2017-08-04,74
2017-08-05,100
2017-08-06,34
2017-08-07,42
2017-08-08,27
2017-08-09,42
2017-08-10,57
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,58
2017-08-15,44
2017-08-16,57
2017-08-17,28
2017-08-18,29
2017-08-19,16
2017-08-20,16
2017-08-21,42
2017-08-22,57
2017-08-23,14
2017-08-24,43
2017-08-25,44
2017-08-26,17
2017-08-27,0
2017-08-28,14
2017-08-29,0
2017-08-30,28
2017-08-31,28
2017-09-01,30
2017-09-02,0
2017-09-03,16
2017-09-04,0
2017-09-05,41
2017-09-06,41
2017-09-07,0
2017-09-08,29
2017-09-09,0
2017-09-10,31
2017-09-11,69
2017-09-12,68
2017-09-13,55
2017-09-14,0
2017-09-15,14
2017-09-16,0
2017-09-17,31
2017-09-18,14
2017-09-19,14
2017-09-20,41
2017-09-21,28
2017-09-22,0
2017-09-23,16
2017-09-24,0
2017-09-25,0
2017-09-26,14
2017-09-27,14
2017-09-28,14
2017-09-29,14
2017-09-30,0
2017-10-01,16
2017-10-02,54
2017-10-03,14
2017-10-04,28
2017-10-05,14
2017-10-06,0
