date,MELI stock
2017-05-29,0
2017-05-30,23
2017-05-31,23
2017-06-01,35
2017-06-02,12
2017-06-03,0
2017-06-04,0
2017-06-05,34
2017-06-06,57
2017-06-07,23
2017-06-08,11
2017-06-09,24
2017-06-10,0
2017-06-11,0
2017-06-12,45
2017-06-13,78
2017-06-14,23
2017-06-15,35
2017-06-16,0
2017-06-17,0
2017-06-18,14
2017-06-19,46
2017-06-20,11
2017-06-21,11
2017-06-22,22
2017-06-23,23
2017-06-24,13
2017-06-25,0
2017-06-26,0
2017-06-27,12
2017-06-28,36
2017-06-29,36
2017-06-30,24
2017-07-01,0
2017-07-02,27
2017-07-03,36
2017-07-04,12
2017-07-05,0
2017-07-06,48
2017-07-07,12
2017-07-08,0
2017-07-09,0
2017-07-10,12
2017-07-11,12
2017-07-12,23
2017-07-13,24
2017-07-14,0
2017-07-15,14
2017-07-16,14
2017-07-17,12
2017-07-18,35
2017-07-19,35
2017-07-20,23
2017-07-21,12
2017-07-22,14
2017-07-23,0
2017-07-24,35
2017-07-25,0
2017-07-26,46
2017-07-27,23
2017-07-28,36
2017-07-29,14
2017-07-30,0
2017-07-31,12
2017-08-01,22
2017-08-02,0
2017-08-03,46
2017-08-04,71
2017-08-05,40
2017-08-06,0
2017-08-07,11
2017-08-08,11
2017-08-09,78
2017-08-10,81
2017-08-11,59
2017-08-12,0
2017-08-13,0
2017-08-14,58
2017-08-15,0
2017-08-16,45
2017-08-17,45
2017-08-18,35
2017-08-19,13
2017-08-20,0
2017-08-21,22
2017-08-22,33
2017-08-23,11
2017-08-24,11
2017-08-25,24
2017-08-26,26
2017-08-27,13
2017-08-28,22
2017-08-29,11
2017-08-30,11
2017-08-31,11
2017-09-01,24
2017-09-02,40
2017-09-03,0
2017-09-04,0
2017-09-05,33
2017-09-06,43
2017-09-07,11
2017-09-08,35
2017-09-09,0
2017-09-10,0
2017-09-11,11
2017-09-12,33
2017-09-13,44
2017-09-14,34
2017-09-15,0
2017-09-16,13
2017-09-17,0
2017-09-18,22
2017-09-19,22
2017-09-20,22
2017-09-21,11
2017-09-22,0
2017-09-23,0
2017-09-24,12
2017-09-25,11
2017-09-26,22
2017-09-27,11
2017-09-28,0
2017-09-29,12
2017-09-30,13
2017-10-01,0
2017-10-02,0
2017-10-03,44
2017-10-04,22
2017-10-05,11
2017-10-06,23
2017-10-07,0
2017-10-08,13
2017-10-09,11
2017-10-10,11
2017-10-11,22
2017-10-12,67
2017-10-13,91
2017-10-14,13
2017-10-15,0
2017-10-16,66
2017-10-17,43
2017-10-18,33
2017-10-19,44
2017-10-20,11
2017-10-21,13
2017-10-22,12
2017-10-23,11
2017-10-24,21
2017-10-25,21
2017-10-26,22
2017-10-27,0
2017-10-28,25
2017-10-29,12
2017-10-30,32
2017-10-31,22
2017-11-01,55
2017-11-02,33
2017-11-03,100
2017-11-04,37
2017-11-05,12
2017-11-06,11
2017-11-07,21
2017-11-08,21
2017-11-09,32
2017-11-10,11
2017-11-11,0
2017-11-12,0
2017-11-13,42
2017-11-14,11
2017-11-15,64
2017-11-16,32
2017-11-17,55
2017-11-18,0
2017-11-19,0
2017-11-20,32
2017-11-21,32
2017-11-22,21
2017-11-23,0
2017-11-24,11
2017-11-25,0
2017-11-26,0
2017-11-27,10
2017-11-28,21
2017-11-29,11
2017-11-30,43
2017-12-01,33
2017-12-02,0
2017-12-03,0
2017-12-04,10
2017-12-05,10
2017-12-06,11
2017-12-07,11
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,10
2017-12-12,21
2017-12-13,21
2017-12-14,22
2017-12-15,23
2017-12-16,50
2017-12-17,0
2017-12-18,43
2017-12-19,33
2017-12-20,22
2017-12-21,12
2017-12-22,0
2017-12-23,26
2017-12-24,14
2017-12-25,0
2017-12-26,12
2017-12-27,12
2017-12-28,35
2017-12-29,12
2017-12-30,0
2017-12-31,0
2018-01-01,13
2018-01-02,0
2018-01-03,21
2018-01-04,22
2018-01-05,44
2018-01-06,12
2018-01-07,0
2018-01-08,32
2018-01-09,10
2018-01-10,0
2018-01-11,11
2018-01-12,22
2018-01-13,0
2018-01-14,0
2018-01-15,10
2018-01-16,21
2018-01-17,0
2018-01-18,0
2018-01-19,11
2018-01-20,12
2018-01-21,0
2018-01-22,10
2018-01-23,31
2018-01-24,10
2018-01-25,21
2018-01-26,32
2018-01-27,36
2018-01-28,12
2018-01-29,61
2018-01-30,0
2018-01-31,0
2018-02-01,31
2018-02-02,32
2018-02-03,12
2018-02-04,23
2018-02-05,61
2018-02-06,31
2018-02-07,41
2018-02-08,31
2018-02-09,53
2018-02-10,0
2018-02-11,0
2018-02-12,31
2018-02-13,42
