date,ULTA stock
2015-08-18,0
2015-08-19,4
2015-08-20,0
2015-08-21,9
2015-08-22,0
2015-08-23,5
2015-08-24,12
2015-08-25,32
2015-08-26,12
2015-08-27,20
2015-08-28,51
2015-08-29,15
2015-08-30,14
2015-08-31,20
2015-09-01,20
2015-09-02,12
2015-09-03,16
2015-09-04,17
2015-09-05,14
2015-09-06,0
2015-09-07,4
2015-09-08,4
2015-09-09,4
2015-09-10,0
2015-09-11,8
2015-09-12,9
2015-09-13,0
2015-09-14,8
2015-09-15,8
2015-09-16,4
2015-09-17,12
2015-09-18,0
2015-09-19,5
2015-09-20,9
2015-09-21,8
2015-09-22,4
2015-09-23,4
2015-09-24,8
2015-09-25,4
2015-09-26,5
2015-09-27,0
2015-09-28,0
2015-09-29,12
2015-09-30,4
2015-10-01,12
2015-10-02,8
2015-10-03,5
2015-10-04,5
2015-10-05,4
2015-10-06,0
2015-10-07,12
2015-10-08,8
2015-10-09,4
2015-10-10,0
2015-10-11,0
2015-10-12,8
2015-10-13,11
2015-10-14,8
2015-10-15,0
2015-10-16,8
2015-10-17,0
2015-10-18,0
2015-10-19,8
2015-10-20,0
2015-10-21,8
2015-10-22,8
2015-10-23,4
2015-10-24,5
2015-10-25,0
2015-10-26,4
2015-10-27,0
2015-10-28,15
2015-10-29,4
2015-10-30,8
2015-10-31,5
2015-11-01,0
2015-11-02,4
2015-11-03,12
2015-11-04,0
2015-11-05,8
2015-11-06,12
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,4
2015-11-11,12
2015-11-12,0
2015-11-13,20
2015-11-14,0
2015-11-15,9
2015-11-16,0
2015-11-17,4
2015-11-18,4
2015-11-19,0
2015-11-20,16
2015-11-21,0
2015-11-22,4
2015-11-23,8
2015-11-24,11
2015-11-25,0
2015-11-26,8
2015-11-27,0
2015-11-28,4
2015-11-29,13
2015-11-30,11
2015-12-01,19
2015-12-02,15
2015-12-03,15
2015-12-04,47
2015-12-05,27
2015-12-06,4
2015-12-07,27
2015-12-08,19
2015-12-09,11
2015-12-10,15
2015-12-11,16
2015-12-12,5
2015-12-13,4
2015-12-14,11
2015-12-15,12
2015-12-16,12
2015-12-17,32
2015-12-18,9
2015-12-19,9
2015-12-20,0
2015-12-21,8
2015-12-22,8
2015-12-23,0
2015-12-24,5
2015-12-25,0
2015-12-26,5
2015-12-27,0
2015-12-28,8
2015-12-29,4
2015-12-30,4
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,8
2016-01-05,8
2016-01-06,8
2016-01-07,21
2016-01-08,13
2016-01-09,0
2016-01-10,9
2016-01-11,8
2016-01-12,4
2016-01-13,4
2016-01-14,8
2016-01-15,8
2016-01-16,14
2016-01-17,0
2016-01-18,4
2016-01-19,8
2016-01-20,4
2016-01-21,8
2016-01-22,21
2016-01-23,5
2016-01-24,5
2016-01-25,0
2016-01-26,4
2016-01-27,8
2016-01-28,8
2016-01-29,21
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,20
2016-02-03,12
2016-02-04,8
2016-02-05,13
2016-02-06,5
2016-02-07,0
2016-02-08,16
2016-02-09,0
2016-02-10,8
2016-02-11,4
2016-02-12,4
2016-02-13,5
2016-02-14,5
2016-02-15,4
2016-02-16,20
2016-02-17,16
2016-02-18,20
2016-02-19,8
2016-02-20,14
2016-02-21,4
2016-02-22,16
2016-02-23,8
2016-02-24,8
2016-02-25,12
2016-02-26,17
2016-02-27,0
2016-02-28,4
2016-02-29,19
2016-03-01,4
2016-03-02,23
2016-03-03,0
2016-03-04,8
2016-03-05,9
2016-03-06,4
2016-03-07,0
2016-03-08,20
2016-03-09,8
2016-03-10,56
2016-03-11,100
2016-03-12,23
2016-03-13,9
2016-03-14,36
2016-03-15,20
2016-03-16,4
2016-03-17,20
2016-03-18,4
2016-03-19,5
2016-03-20,0
2016-03-21,4
2016-03-22,28
2016-03-23,12
2016-03-24,13
2016-03-25,13
2016-03-26,0
2016-03-27,14
2016-03-28,4
2016-03-29,8
2016-03-30,0
2016-03-31,8
2016-04-01,0
2016-04-02,9
2016-04-03,0
2016-04-04,8
2016-04-05,4
2016-04-06,4
2016-04-07,41
2016-04-08,38
2016-04-09,5
2016-04-10,5
2016-04-11,24
2016-04-12,32
2016-04-13,16
2016-04-14,16
2016-04-15,8
2016-04-16,9
2016-04-17,0
2016-04-18,4
2016-04-19,16
2016-04-20,24
2016-04-21,12
2016-04-22,21
2016-04-23,0
2016-04-24,13
2016-04-25,16
2016-04-26,4
2016-04-27,20
2016-04-28,25
2016-04-29,13
2016-04-30,5
2016-05-01,9
2016-05-02,12
2016-05-03,16
2016-05-04,24
