date,ULTA stock
2016-09-11,4
2016-09-12,13
2016-09-13,19
2016-09-14,16
2016-09-15,10
2016-09-16,20
2016-09-17,11
2016-09-18,4
2016-09-19,16
2016-09-20,6
2016-09-21,10
2016-09-22,16
2016-09-23,20
2016-09-24,18
2016-09-25,4
2016-09-26,28
2016-09-27,22
2016-09-28,13
2016-09-29,6
2016-09-30,10
2016-10-01,0
2016-10-02,0
2016-10-03,16
2016-10-04,9
2016-10-05,6
2016-10-06,22
2016-10-07,6
2016-10-08,0
2016-10-09,4
2016-10-10,3
2016-10-11,13
2016-10-12,6
2016-10-13,35
2016-10-14,33
2016-10-15,11
2016-10-16,4
2016-10-17,12
2016-10-18,25
2016-10-19,25
2016-10-20,9
2016-10-21,10
2016-10-22,0
2016-10-23,7
2016-10-24,18
2016-10-25,12
2016-10-26,13
2016-10-27,16
2016-10-28,10
2016-10-29,7
2016-10-30,0
2016-10-31,6
2016-11-01,23
2016-11-02,19
2016-11-03,12
2016-11-04,16
2016-11-05,7
2016-11-06,7
2016-11-07,12
2016-11-08,9
2016-11-09,31
2016-11-10,6
2016-11-11,13
2016-11-12,0
2016-11-13,4
2016-11-14,12
2016-11-15,19
2016-11-16,9
2016-11-17,19
2016-11-18,6
2016-11-19,0
2016-11-20,10
2016-11-21,6
2016-11-22,12
2016-11-23,15
2016-11-24,6
2016-11-25,13
2016-11-26,14
2016-11-27,3
2016-11-28,23
2016-11-29,26
2016-11-30,30
2016-12-01,33
2016-12-02,63
2016-12-03,24
2016-12-04,3
2016-12-05,8
2016-12-06,11
2016-12-07,21
2016-12-08,36
2016-12-09,31
2016-12-10,3
2016-12-11,3
2016-12-12,9
2016-12-13,21
2016-12-14,18
2016-12-15,15
2016-12-16,13
2016-12-17,11
2016-12-18,7
2016-12-19,12
2016-12-20,13
2016-12-21,25
2016-12-22,19
2016-12-23,0
2016-12-24,19
2016-12-25,4
2016-12-26,3
2016-12-27,13
2016-12-28,13
2016-12-29,13
2016-12-30,7
2016-12-31,4
2017-01-01,0
2017-01-02,6
2017-01-03,9
2017-01-04,9
2017-01-05,21
2017-01-06,6
2017-01-07,3
2017-01-08,0
2017-01-09,12
2017-01-10,17
2017-01-11,24
2017-01-12,6
2017-01-13,27
2017-01-14,13
2017-01-15,10
2017-01-16,3
2017-01-17,17
2017-01-18,20
2017-01-19,20
2017-01-20,9
2017-01-21,3
2017-01-22,7
2017-01-23,9
2017-01-24,37
2017-01-25,17
2017-01-26,11
2017-01-27,30
2017-01-28,0
2017-01-29,7
2017-01-30,17
2017-01-31,29
2017-02-01,25
2017-02-02,15
2017-02-03,30
2017-02-04,0
2017-02-05,6
2017-02-06,17
2017-02-07,26
2017-02-08,14
2017-02-09,14
2017-02-10,12
2017-02-11,10
2017-02-12,3
2017-02-13,31
2017-02-14,17
2017-02-15,15
2017-02-16,23
2017-02-17,11
2017-02-18,0
2017-02-19,7
2017-02-20,9
2017-02-21,11
2017-02-22,17
2017-02-23,23
2017-02-24,15
2017-02-25,0
2017-02-26,6
2017-02-27,8
2017-02-28,14
2017-03-01,16
2017-03-02,14
2017-03-03,12
2017-03-04,6
2017-03-05,16
2017-03-06,16
2017-03-07,24
2017-03-08,25
2017-03-09,64
2017-03-10,100
2017-03-11,10
2017-03-12,3
2017-03-13,26
2017-03-14,31
2017-03-15,20
2017-03-16,14
2017-03-17,18
2017-03-18,10
2017-03-19,13
2017-03-20,23
2017-03-21,28
2017-03-22,6
2017-03-23,17
2017-03-24,12
2017-03-25,13
2017-03-26,10
2017-03-27,14
2017-03-28,26
2017-03-29,20
2017-03-30,17
2017-03-31,21
2017-04-01,3
2017-04-02,7
2017-04-03,11
2017-04-04,8
2017-04-05,6
2017-04-06,20
2017-04-07,30
2017-04-08,3
2017-04-09,0
2017-04-10,14
2017-04-11,20
2017-04-12,23
2017-04-13,21
2017-04-14,10
2017-04-15,13
2017-04-16,7
2017-04-17,3
2017-04-18,8
2017-04-19,8
2017-04-20,11
2017-04-21,6
2017-04-22,0
2017-04-23,3
2017-04-24,26
2017-04-25,20
2017-04-26,14
2017-04-27,29
2017-04-28,21
2017-04-29,10
2017-04-30,3
2017-05-01,3
2017-05-02,17
2017-05-03,14
2017-05-04,11
2017-05-05,21
2017-05-06,0
2017-05-07,13
2017-05-08,14
2017-05-09,17
2017-05-10,34
2017-05-11,12
2017-05-12,24
2017-05-13,0
2017-05-14,3
2017-05-15,15
2017-05-16,15
2017-05-17,22
2017-05-18,21
2017-05-19,6
2017-05-20,4
2017-05-21,0
2017-05-22,21
2017-05-23,18
2017-05-24,18
2017-05-25,47
2017-05-26,66
2017-05-27,7
2017-05-28,4
2017-05-29,13
