date,ULTA stock
2018-02-13,98
2018-02-14,46
2018-02-15,53
2018-02-16,41
2018-02-17,7
2018-02-18,30
2018-02-19,13
2018-02-20,13
2018-02-21,25
2018-02-22,33
2018-02-23,27
2018-02-24,0
2018-02-25,7
2018-02-26,51
2018-02-27,6
2018-02-28,77
2018-03-01,19
2018-03-02,27
2018-03-03,29
2018-03-04,14
2018-03-05,31
2018-03-06,19
2018-03-07,26
2018-03-08,59
2018-03-09,20
2018-03-10,29
2018-03-11,7
2018-03-12,19
2018-03-13,45
2018-03-14,45
2018-03-15,89
2018-03-16,100
2018-03-17,81
2018-03-18,14
2018-03-19,58
2018-03-20,45
2018-03-21,32
2018-03-22,39
2018-03-23,40
2018-03-24,22
2018-03-25,7
2018-03-26,26
2018-03-27,20
2018-03-28,34
2018-03-29,48
2018-03-30,15
2018-03-31,0
2018-04-01,8
2018-04-02,7
2018-04-03,51
2018-04-04,19
2018-04-05,26
2018-04-06,48
2018-04-07,22
2018-04-08,15
2018-04-09,0
