date,ULTA stock
2017-01-19,17
2017-01-20,17
2017-01-21,9
2017-01-22,12
2017-01-23,14
2017-01-24,24
2017-01-25,19
2017-01-26,19
2017-01-27,20
2017-01-28,0
2017-01-29,3
2017-01-30,14
2017-01-31,14
2017-02-01,21
2017-02-02,14
2017-02-03,23
2017-02-04,9
2017-02-05,0
2017-02-06,16
2017-02-07,24
2017-02-08,16
2017-02-09,11
2017-02-10,9
2017-02-11,3
2017-02-12,6
2017-02-13,19
2017-02-14,11
2017-02-15,8
2017-02-16,24
2017-02-17,19
2017-02-18,3
2017-02-19,0
2017-02-20,14
2017-02-21,16
2017-02-22,22
2017-02-23,22
2017-02-24,14
2017-02-25,10
2017-02-26,6
2017-02-27,8
2017-02-28,19
2017-03-01,18
2017-03-02,18
2017-03-03,14
2017-03-04,12
2017-03-05,21
2017-03-06,18
2017-03-07,13
2017-03-08,32
2017-03-09,82
2017-03-10,100
2017-03-11,19
2017-03-12,12
2017-03-13,33
2017-03-14,30
2017-03-15,13
2017-03-16,3
2017-03-17,17
2017-03-18,15
2017-03-19,6
2017-03-20,13
2017-03-21,32
2017-03-22,14
2017-03-23,25
2017-03-24,8
2017-03-25,13
2017-03-26,9
2017-03-27,19
2017-03-28,27
2017-03-29,14
2017-03-30,11
2017-03-31,11
2017-04-01,6
2017-04-02,6
2017-04-03,16
2017-04-04,14
2017-04-05,16
2017-04-06,11
2017-04-07,14
2017-04-08,6
2017-04-09,0
2017-04-10,11
2017-04-11,16
2017-04-12,16
2017-04-13,12
2017-04-14,9
2017-04-15,3
2017-04-16,6
2017-04-17,6
2017-04-18,16
2017-04-19,13
2017-04-20,14
2017-04-21,11
2017-04-22,3
2017-04-23,0
2017-04-24,24
2017-04-25,24
2017-04-26,5
2017-04-27,35
2017-04-28,23
2017-04-29,9
2017-04-30,3
2017-05-01,12
2017-05-02,19
2017-05-03,16
2017-05-04,19
2017-05-05,17
2017-05-06,3
2017-05-07,9
2017-05-08,30
2017-05-09,16
2017-05-10,24
2017-05-11,14
2017-05-12,20
2017-05-13,0
2017-05-14,10
2017-05-15,17
2017-05-16,9
2017-05-17,20
2017-05-18,29
2017-05-19,24
2017-05-20,7
2017-05-21,3
2017-05-22,3
2017-05-23,25
2017-05-24,9
2017-05-25,54
2017-05-26,63
2017-05-27,11
2017-05-28,10
2017-05-29,9
2017-05-30,17
2017-05-31,23
2017-06-01,33
2017-06-02,15
2017-06-03,7
2017-06-04,3
2017-06-05,20
2017-06-06,17
2017-06-07,20
2017-06-08,14
2017-06-09,15
2017-06-10,0
2017-06-11,0
2017-06-12,19
2017-06-13,11
2017-06-14,23
2017-06-15,15
2017-06-16,15
2017-06-17,3
2017-06-18,3
2017-06-19,20
2017-06-20,11
2017-06-21,14
2017-06-22,17
2017-06-23,12
2017-06-24,3
2017-06-25,0
2017-06-26,9
2017-06-27,21
2017-06-28,12
2017-06-29,15
2017-06-30,22
2017-07-01,10
2017-07-02,7
2017-07-03,6
2017-07-04,6
2017-07-05,9
2017-07-06,12
2017-07-07,12
2017-07-08,3
2017-07-09,3
2017-07-10,6
2017-07-11,17
2017-07-12,26
2017-07-13,18
2017-07-14,31
2017-07-15,10
2017-07-16,7
2017-07-17,18
2017-07-18,18
2017-07-19,20
2017-07-20,21
2017-07-21,12
2017-07-22,10
2017-07-23,3
2017-07-24,18
2017-07-25,17
2017-07-26,38
2017-07-27,20
2017-07-28,12
2017-07-29,10
2017-07-30,10
2017-07-31,23
2017-08-01,28
2017-08-02,11
2017-08-03,20
2017-08-04,12
2017-08-05,3
2017-08-06,10
2017-08-07,39
2017-08-08,13
2017-08-09,6
2017-08-10,9
2017-08-11,9
2017-08-12,0
2017-08-13,13
2017-08-14,23
2017-08-15,29
2017-08-16,14
2017-08-17,20
2017-08-18,21
2017-08-19,0
2017-08-20,6
2017-08-21,17
2017-08-22,19
2017-08-23,17
2017-08-24,77
2017-08-25,84
2017-08-26,26
2017-08-27,13
2017-08-28,45
2017-08-29,36
2017-08-30,31
2017-08-31,37
2017-09-01,30
2017-09-02,10
2017-09-03,3
2017-09-04,3
2017-09-05,11
2017-09-06,30
2017-09-07,20
2017-09-08,17
2017-09-09,10
2017-09-10,0
2017-09-11,19
2017-09-12,19
2017-09-13,19
2017-09-14,28
2017-09-15,11
2017-09-16,3
2017-09-17,6
2017-09-18,17
2017-09-19,14
2017-09-20,14
2017-09-21,8
2017-09-22,20
2017-09-23,6
2017-09-24,3
2017-09-25,14
2017-09-26,8
2017-09-27,22
2017-09-28,22
2017-09-29,0
2017-09-30,10
2017-10-01,6
2017-10-02,8
2017-10-03,6
2017-10-04,11
2017-10-05,27
2017-10-06,17
