date,ULTA stock
2013-02-19,20
2013-02-20,0
2013-02-21,0
2013-02-22,22
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,20
2013-02-28,21
2013-03-01,0
2013-03-02,0
2013-03-03,24
2013-03-04,20
2013-03-05,20
2013-03-06,20
2013-03-07,21
2013-03-08,21
2013-03-09,24
2013-03-10,0
2013-03-11,0
2013-03-12,20
2013-03-13,0
2013-03-14,40
2013-03-15,62
2013-03-16,24
2013-03-17,70
2013-03-18,0
2013-03-19,40
2013-03-20,0
2013-03-21,20
2013-03-22,21
2013-03-23,0
2013-03-24,0
2013-03-25,20
2013-03-26,60
2013-03-27,21
2013-03-28,21
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,42
2013-04-02,20
2013-04-03,40
2013-04-04,0
2013-04-05,21
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,20
2013-04-11,0
2013-04-12,63
2013-04-13,0
2013-04-14,0
2013-04-15,20
2013-04-16,0
2013-04-17,0
2013-04-18,20
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,20
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,21
2013-04-27,24
2013-04-28,47
2013-04-29,20
2013-04-30,0
2013-05-01,0
2013-05-02,20
2013-05-03,0
2013-05-04,0
2013-05-05,24
2013-05-06,0
2013-05-07,20
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,20
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,24
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,20
2013-05-24,0
2013-05-25,0
2013-05-26,24
2013-05-27,0
2013-05-28,0
2013-05-29,19
2013-05-30,20
2013-05-31,0
2013-06-01,24
2013-06-02,0
2013-06-03,0
2013-06-04,20
2013-06-05,20
2013-06-06,0
2013-06-07,21
2013-06-08,73
2013-06-09,0
2013-06-10,39
2013-06-11,0
2013-06-12,39
2013-06-13,60
2013-06-14,21
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,25
2013-06-23,0
2013-06-24,40
2013-06-25,0
2013-06-26,20
2013-06-27,40
2013-06-28,0
2013-06-29,0
2013-06-30,24
2013-07-01,0
2013-07-02,20
2013-07-03,0
2013-07-04,0
2013-07-05,44
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,62
2013-07-12,21
2013-07-13,25
2013-07-14,0
2013-07-15,20
2013-07-16,61
2013-07-17,0
2013-07-18,21
2013-07-19,0
2013-07-20,0
2013-07-21,25
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,42
2013-07-27,0
2013-07-28,24
2013-07-29,40
2013-07-30,20
2013-07-31,0
2013-08-01,21
2013-08-02,21
2013-08-03,0
2013-08-04,100
2013-08-05,21
2013-08-06,0
2013-08-07,41
2013-08-08,42
2013-08-09,43
2013-08-10,0
2013-08-11,25
2013-08-12,0
2013-08-13,0
2013-08-14,41
2013-08-15,0
2013-08-16,21
2013-08-17,24
2013-08-18,24
2013-08-19,0
2013-08-20,20
2013-08-21,20
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,20
2013-08-27,19
2013-08-28,39
2013-08-29,0
2013-08-30,20
2013-08-31,24
2013-09-01,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,61
2013-09-07,23
2013-09-08,0
2013-09-09,19
2013-09-10,0
2013-09-11,0
2013-09-12,57
2013-09-13,100
2013-09-14,23
2013-09-15,22
2013-09-16,76
2013-09-17,19
2013-09-18,19
2013-09-19,19
2013-09-20,40
2013-09-21,22
2013-09-22,0
2013-09-23,95
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,20
2013-09-28,0
2013-09-29,0
2013-09-30,19
2013-10-01,19
2013-10-02,0
2013-10-03,19
2013-10-04,40
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,19
2013-10-09,19
2013-10-10,39
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,58
2013-10-15,19
2013-10-16,38
2013-10-17,19
2013-10-18,20
2013-10-19,45
2013-10-20,44
2013-10-21,19
2013-10-22,37
2013-10-23,37
2013-10-24,19
2013-10-25,20
2013-10-26,22
2013-10-27,0
2013-10-28,0
2013-10-29,37
2013-10-30,0
2013-10-31,0
2013-11-01,20
2013-11-02,0
2013-11-03,0
2013-11-04,74
2013-11-05,0
2013-11-06,19
