date,ULTA stock
2015-04-10,0
2015-04-11,10
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,33
2015-04-16,16
2015-04-17,8
2015-04-18,10
2015-04-19,0
2015-04-20,24
2015-04-21,0
2015-04-22,8
2015-04-23,25
2015-04-24,9
2015-04-25,0
2015-04-26,0
2015-04-27,8
2015-04-28,0
2015-04-29,8
2015-04-30,0
2015-05-01,0
2015-05-02,19
2015-05-03,19
2015-05-04,8
2015-05-05,24
2015-05-06,32
2015-05-07,0
2015-05-08,17
2015-05-09,0
2015-05-10,0
2015-05-11,8
2015-05-12,0
2015-05-13,8
2015-05-14,8
2015-05-15,17
2015-05-16,10
2015-05-17,10
2015-05-18,16
2015-05-19,0
2015-05-20,0
2015-05-21,33
2015-05-22,9
2015-05-23,19
2015-05-24,30
2015-05-25,8
2015-05-26,8
2015-05-27,8
2015-05-28,49
2015-05-29,51
2015-05-30,19
2015-05-31,0
2015-06-01,16
2015-06-02,8
2015-06-03,16
2015-06-04,9
2015-06-05,9
2015-06-06,10
2015-06-07,10
2015-06-08,24
2015-06-09,0
2015-06-10,16
2015-06-11,8
2015-06-12,0
2015-06-13,10
2015-06-14,0
2015-06-15,16
2015-06-16,0
2015-06-17,8
2015-06-18,0
2015-06-19,17
2015-06-20,10
2015-06-21,0
2015-06-22,8
2015-06-23,0
2015-06-24,8
2015-06-25,25
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,8
2015-06-30,0
2015-07-01,8
2015-07-02,17
2015-07-03,18
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,32
2015-07-09,8
2015-07-10,42
2015-07-11,10
2015-07-12,0
2015-07-13,16
2015-07-14,24
2015-07-15,16
2015-07-16,8
2015-07-17,17
2015-07-18,21
2015-07-19,0
2015-07-20,9
2015-07-21,8
2015-07-22,33
2015-07-23,8
2015-07-24,9
2015-07-25,0
2015-07-26,20
2015-07-27,24
2015-07-28,16
2015-07-29,8
2015-07-30,8
2015-07-31,17
2015-08-01,10
2015-08-02,0
2015-08-03,0
2015-08-04,8
2015-08-05,33
2015-08-06,8
2015-08-07,8
2015-08-08,0
2015-08-09,0
2015-08-10,24
2015-08-11,16
2015-08-12,8
2015-08-13,0
2015-08-14,8
2015-08-15,10
2015-08-16,0
2015-08-17,8
2015-08-18,8
2015-08-19,24
2015-08-20,24
2015-08-21,17
2015-08-22,19
2015-08-23,0
2015-08-24,31
2015-08-25,47
2015-08-26,16
2015-08-27,40
2015-08-28,100
2015-08-29,9
2015-08-30,19
2015-08-31,39
2015-09-01,39
2015-09-02,24
2015-09-03,8
2015-09-04,16
2015-09-05,9
2015-09-06,0
2015-09-07,0
2015-09-08,23
2015-09-09,23
2015-09-10,8
2015-09-11,40
2015-09-12,18
2015-09-13,9
2015-09-14,15
2015-09-15,15
2015-09-16,0
2015-09-17,15
2015-09-18,8
2015-09-19,9
2015-09-20,9
2015-09-21,8
2015-09-22,0
2015-09-23,8
2015-09-24,0
2015-09-25,16
2015-09-26,18
2015-09-27,9
2015-09-28,0
2015-09-29,23
2015-09-30,8
2015-10-01,8
2015-10-02,8
2015-10-03,0
2015-10-04,18
2015-10-05,8
2015-10-06,23
2015-10-07,15
2015-10-08,15
2015-10-09,16
2015-10-10,0
2015-10-11,18
2015-10-12,39
2015-10-13,15
2015-10-14,23
2015-10-15,0
2015-10-16,16
2015-10-17,0
2015-10-18,0
2015-10-19,15
2015-10-20,0
2015-10-21,7
2015-10-22,8
2015-10-23,0
2015-10-24,9
2015-10-25,0
2015-10-26,15
2015-10-27,0
2015-10-28,7
2015-10-29,0
2015-10-30,24
2015-10-31,9
2015-11-01,9
2015-11-02,8
2015-11-03,23
2015-11-04,7
2015-11-05,0
2015-11-06,8
2015-11-07,0
2015-11-08,9
2015-11-09,7
2015-11-10,0
2015-11-11,15
2015-11-12,0
2015-11-13,24
2015-11-14,9
2015-11-15,9
2015-11-16,15
2015-11-17,7
2015-11-18,30
2015-11-19,8
2015-11-20,39
2015-11-21,0
2015-11-22,9
2015-11-23,23
2015-11-24,30
2015-11-25,0
2015-11-26,16
2015-11-27,8
2015-11-28,9
2015-11-29,9
2015-11-30,37
2015-12-01,22
2015-12-02,37
2015-12-03,15
2015-12-04,79
2015-12-05,18
2015-12-06,26
2015-12-07,22
2015-12-08,23
2015-12-09,30
2015-12-10,15
2015-12-11,16
2015-12-12,9
2015-12-13,9
2015-12-14,15
2015-12-15,23
2015-12-16,8
2015-12-17,55
2015-12-18,8
2015-12-19,9
2015-12-20,9
2015-12-21,24
2015-12-22,16
2015-12-23,17
2015-12-24,10
2015-12-25,10
2015-12-26,9
