date,Texas Instruments,isPartial
2015-12-26,36,False
2015-12-27,32,False
2015-12-28,37,False
2015-12-29,30,False
2015-12-30,30,False
2015-12-31,40,False
2016-01-01,15,False
2016-01-02,42,False
2016-01-03,33,False
2016-01-04,38,False
2016-01-05,47,False
2016-01-06,55,False
2016-01-07,69,False
2016-01-08,70,False
2016-01-09,35,False
2016-01-10,37,False
2016-01-11,81,False
2016-01-12,74,False
2016-01-13,82,False
2016-01-14,67,False
2016-01-15,72,False
2016-01-16,44,False
2016-01-17,42,False
2016-01-18,74,False
2016-01-19,76,False
2016-01-20,74,False
2016-01-21,51,False
2016-01-22,67,False
2016-01-23,27,False
2016-01-24,54,False
2016-01-25,70,False
2016-01-26,80,False
2016-01-27,79,False
2016-01-28,93,False
2016-01-29,55,False
2016-01-30,46,False
2016-01-31,55,False
2016-02-01,83,False
2016-02-02,84,False
2016-02-03,67,False
2016-02-04,85,False
2016-02-05,71,False
2016-02-06,39,False
2016-02-07,50,False
2016-02-08,61,False
2016-02-09,68,False
2016-02-10,71,False
2016-02-11,57,False
2016-02-12,50,False
2016-02-13,32,False
2016-02-14,36,False
2016-02-15,60,False
2016-02-16,64,False
2016-02-17,64,False
2016-02-18,70,False
2016-02-19,56,False
2016-02-20,38,False
2016-02-21,43,False
2016-02-22,64,False
2016-02-23,64,False
2016-02-24,67,False
2016-02-25,67,False
2016-02-26,62,False
2016-02-27,29,False
2016-02-28,49,False
2016-02-29,63,False
2016-03-01,76,False
2016-03-02,79,False
2016-03-03,56,False
2016-03-04,57,False
2016-03-05,43,False
2016-03-06,42,False
2016-03-07,58,False
2016-03-08,62,False
2016-03-09,57,False
2016-03-10,69,False
2016-03-11,59,False
2016-03-12,45,False
2016-03-13,32,False
2016-03-14,62,False
2016-03-15,70,False
2016-03-16,56,False
2016-03-17,64,False
2016-03-18,58,False
2016-03-19,38,False
2016-03-20,32,False
2016-03-21,52,False
2016-03-22,70,False
2016-03-23,50,False
2016-03-24,56,False
2016-03-25,35,False
2016-03-26,24,False
2016-03-27,38,False
2016-03-28,47,False
2016-03-29,60,False
2016-03-30,59,False
2016-03-31,54,False
2016-04-01,54,False
2016-04-02,32,False
2016-04-03,39,False
2016-04-04,44,False
2016-04-05,70,False
2016-04-06,65,False
2016-04-07,60,False
2016-04-08,60,False
2016-04-09,33,False
2016-04-10,40,False
2016-04-11,59,False
2016-04-12,64,False
2016-04-13,44,False
2016-04-14,56,False
2016-04-15,60,False
2016-04-16,38,False
2016-04-17,55,False
2016-04-18,65,False
2016-04-19,63,False
2016-04-20,58,False
2016-04-21,48,False
2016-04-22,69,False
2016-04-23,35,False
2016-04-24,34,False
2016-04-25,71,False
2016-04-26,49,False
2016-04-27,66,False
2016-04-28,51,False
2016-04-29,58,False
2016-04-30,32,False
2016-05-01,36,False
2016-05-02,45,False
2016-05-03,52,False
2016-05-04,51,False
2016-05-05,44,False
2016-05-06,45,False
2016-05-07,36,False
2016-05-08,27,False
2016-05-09,51,False
2016-05-10,52,False
2016-05-11,62,False
2016-05-12,49,False
2016-05-13,52,False
2016-05-14,42,False
2016-05-15,35,False
2016-05-16,68,False
2016-05-17,70,False
2016-05-18,62,False
2016-05-19,54,False
2016-05-20,52,False
2016-05-21,35,False
2016-05-22,35,False
2016-05-23,64,False
2016-05-24,57,False
2016-05-25,70,False
2016-05-26,50,False
2016-05-27,45,False
2016-05-28,37,False
2016-05-29,45,False
2016-05-30,47,False
2016-05-31,58,False
2016-06-01,61,False
2016-06-02,61,False
2016-06-03,52,False
2016-06-04,41,False
2016-06-05,38,False
2016-06-06,55,False
2016-06-07,56,False
2016-06-08,59,False
2016-06-09,71,False
2016-06-10,54,False
2016-06-11,38,False
2016-06-12,40,False
2016-06-13,49,False
2016-06-14,55,False
2016-06-15,46,False
2016-06-16,53,False
2016-06-17,56,False
2016-06-18,47,False
2016-06-19,28,False
2016-06-20,54,False
2016-06-21,54,False
2016-06-22,50,False
2016-06-23,54,False
2016-06-24,47,False
2016-06-25,28,False
2016-06-26,41,False
2016-06-27,48,False
2016-06-28,51,False
2016-06-29,60,False
2016-06-30,33,False
2016-07-01,40,False
2016-07-02,37,False
2016-07-03,24,False
