date,Texas Instruments,isPartial
2017-01-19,64,False
2017-01-20,51,False
2017-01-21,37,False
2017-01-22,53,False
2017-01-23,70,False
2017-01-24,78,False
2017-01-25,83,False
2017-01-26,63,False
2017-01-27,59,False
2017-01-28,46,False
2017-01-29,38,False
2017-01-30,65,False
2017-01-31,74,False
2017-02-01,65,False
2017-02-02,61,False
2017-02-03,52,False
2017-02-04,38,False
2017-02-05,44,False
2017-02-06,55,False
2017-02-07,63,False
2017-02-08,65,False
2017-02-09,71,False
2017-02-10,59,False
2017-02-11,47,False
2017-02-12,41,False
2017-02-13,68,False
2017-02-14,69,False
2017-02-15,68,False
2017-02-16,61,False
2017-02-17,64,False
2017-02-18,42,False
2017-02-19,36,False
2017-02-20,52,False
2017-02-21,66,False
2017-02-22,67,False
2017-02-23,66,False
2017-02-24,51,False
2017-02-25,40,False
2017-02-26,43,False
2017-02-27,60,False
2017-02-28,56,False
2017-03-01,68,False
2017-03-02,56,False
2017-03-03,52,False
2017-03-04,29,False
2017-03-05,36,False
2017-03-06,75,False
2017-03-07,65,False
2017-03-08,59,False
2017-03-09,65,False
2017-03-10,45,False
2017-03-11,43,False
2017-03-12,39,False
2017-03-13,66,False
2017-03-14,60,False
2017-03-15,56,False
2017-03-16,60,False
2017-03-17,41,False
2017-03-18,39,False
2017-03-19,32,False
2017-03-20,65,False
2017-03-21,72,False
2017-03-22,59,False
2017-03-23,53,False
2017-03-24,50,False
2017-03-25,32,False
2017-03-26,42,False
2017-03-27,61,False
2017-03-28,58,False
2017-03-29,63,False
2017-03-30,63,False
2017-03-31,47,False
2017-04-01,31,False
2017-04-02,39,False
2017-04-03,60,False
2017-04-04,60,False
2017-04-05,59,False
2017-04-06,61,False
2017-04-07,48,False
2017-04-08,40,False
2017-04-09,40,False
2017-04-10,50,False
2017-04-11,49,False
2017-04-12,55,False
2017-04-13,40,False
2017-04-14,35,False
2017-04-15,22,False
2017-04-16,27,False
2017-04-17,41,False
2017-04-18,41,False
2017-04-19,57,False
2017-04-20,48,False
2017-04-21,54,False
2017-04-22,27,False
2017-04-23,30,False
2017-04-24,58,False
2017-04-25,53,False
2017-04-26,59,False
2017-04-27,54,False
2017-04-28,38,False
2017-04-29,33,False
2017-04-30,29,False
2017-05-01,61,False
2017-05-02,55,False
2017-05-03,53,False
2017-05-04,48,False
2017-05-05,55,False
2017-05-06,34,False
2017-05-07,30,False
2017-05-08,55,False
2017-05-09,52,False
2017-05-10,50,False
2017-05-11,52,False
2017-05-12,44,False
2017-05-13,34,False
2017-05-14,30,False
2017-05-15,53,False
2017-05-16,56,False
2017-05-17,61,False
2017-05-18,59,False
2017-05-19,47,False
2017-05-20,24,False
2017-05-21,28,False
2017-05-22,56,False
2017-05-23,54,False
2017-05-24,52,False
2017-05-25,58,False
2017-05-26,40,False
2017-05-27,24,False
2017-05-28,33,False
2017-05-29,43,False
2017-05-30,52,False
2017-05-31,50,False
2017-06-01,49,False
2017-06-02,41,False
2017-06-03,33,False
2017-06-04,33,False
2017-06-05,47,False
2017-06-06,48,False
2017-06-07,62,False
2017-06-08,47,False
2017-06-09,45,False
2017-06-10,27,False
2017-06-11,29,False
2017-06-12,49,False
2017-06-13,42,False
2017-06-14,47,False
2017-06-15,44,False
2017-06-16,55,False
2017-06-17,34,False
2017-06-18,30,False
2017-06-19,48,False
2017-06-20,52,False
2017-06-21,40,False
2017-06-22,42,False
2017-06-23,39,False
2017-06-24,25,False
2017-06-25,34,False
2017-06-26,44,False
2017-06-27,45,False
2017-06-28,50,False
2017-06-29,45,False
2017-06-30,38,False
2017-07-01,23,False
2017-07-02,39,False
2017-07-03,50,False
2017-07-04,41,False
2017-07-05,39,False
2017-07-06,42,False
2017-07-07,40,False
2017-07-08,39,False
2017-07-09,25,False
2017-07-10,41,False
2017-07-11,46,False
2017-07-12,53,False
2017-07-13,43,False
2017-07-14,42,False
2017-07-15,42,False
2017-07-16,34,False
2017-07-17,46,False
2017-07-18,52,False
2017-07-19,49,False
2017-07-20,47,False
2017-07-21,48,False
2017-07-22,38,False
2017-07-23,33,False
2017-07-24,54,False
2017-07-25,61,False
2017-07-26,57,False
2017-07-27,54,False
2017-07-28,51,False
2017-07-29,38,False
2017-07-30,45,False
2017-07-31,53,False
2017-08-01,49,False
2017-08-02,58,False
2017-08-03,60,False
2017-08-04,54,False
2017-08-05,39,False
2017-08-06,42,False
2017-08-07,53,False
2017-08-08,78,False
2017-08-09,69,False
2017-08-10,61,False
2017-08-11,66,False
2017-08-12,48,False
2017-08-13,50,False
2017-08-14,70,False
2017-08-15,74,False
2017-08-16,76,False
2017-08-17,72,False
2017-08-18,72,False
2017-08-19,61,False
2017-08-20,61,False
2017-08-21,68,False
2017-08-22,80,False
2017-08-23,80,False
2017-08-24,82,False
2017-08-25,80,False
2017-08-26,50,False
2017-08-27,65,False
2017-08-28,85,False
2017-08-29,94,False
2017-08-30,90,False
2017-08-31,86,False
2017-09-01,67,False
2017-09-02,57,False
2017-09-03,58,False
2017-09-04,70,False
2017-09-05,96,False
2017-09-06,88,False
2017-09-07,100,False
2017-09-08,78,False
2017-09-09,57,False
2017-09-10,59,False
2017-09-11,81,False
2017-09-12,75,False
2017-09-13,89,False
2017-09-14,79,False
2017-09-15,77,False
2017-09-16,41,False
2017-09-17,45,False
2017-09-18,78,False
2017-09-19,83,False
2017-09-20,78,False
2017-09-21,82,False
2017-09-22,73,False
2017-09-23,43,False
2017-09-24,37,False
2017-09-25,66,False
2017-09-26,75,False
2017-09-27,70,False
2017-09-28,66,False
2017-09-29,60,False
2017-09-30,40,False
2017-10-01,42,False
2017-10-02,61,False
2017-10-03,64,False
2017-10-04,61,False
2017-10-05,71,False
2017-10-06,59,False
