date,Texas Instruments,isPartial
2013-02-19,65,False
2013-02-20,55,False
2013-02-21,75,False
2013-02-22,55,False
2013-02-23,36,False
2013-02-24,35,False
2013-02-25,66,False
2013-02-26,65,False
2013-02-27,54,False
2013-02-28,59,False
2013-03-01,63,False
2013-03-02,31,False
2013-03-03,38,False
2013-03-04,62,False
2013-03-05,60,False
2013-03-06,61,False
2013-03-07,60,False
2013-03-08,55,False
2013-03-09,34,False
2013-03-10,41,False
2013-03-11,59,False
2013-03-12,52,False
2013-03-13,50,False
2013-03-14,56,False
2013-03-15,43,False
2013-03-16,32,False
2013-03-17,29,False
2013-03-18,46,False
2013-03-19,52,False
2013-03-20,55,False
2013-03-21,61,False
2013-03-22,42,False
2013-03-23,25,False
2013-03-24,42,False
2013-03-25,52,False
2013-03-26,46,False
2013-03-27,54,False
2013-03-28,44,False
2013-03-29,33,False
2013-03-30,28,False
2013-03-31,33,False
2013-04-01,37,False
2013-04-02,42,False
2013-04-03,49,False
2013-04-04,47,False
2013-04-05,45,False
2013-04-06,29,False
2013-04-07,37,False
2013-04-08,47,False
2013-04-09,61,False
2013-04-10,57,False
2013-04-11,53,False
2013-04-12,60,False
2013-04-13,39,False
2013-04-14,47,False
2013-04-15,50,False
2013-04-16,45,False
2013-04-17,43,False
2013-04-18,56,False
2013-04-19,54,False
2013-04-20,28,False
2013-04-21,27,False
2013-04-22,70,False
2013-04-23,58,False
2013-04-24,59,False
2013-04-25,59,False
2013-04-26,48,False
2013-04-27,28,False
2013-04-28,38,False
2013-04-29,38,False
2013-04-30,46,False
2013-05-01,48,False
2013-05-02,52,False
2013-05-03,44,False
2013-05-04,29,False
2013-05-05,31,False
2013-05-06,50,False
2013-05-07,47,False
2013-05-08,60,False
2013-05-09,52,False
2013-05-10,56,False
2013-05-11,32,False
2013-05-12,31,False
2013-05-13,41,False
2013-05-14,53,False
2013-05-15,54,False
2013-05-16,50,False
2013-05-17,44,False
2013-05-18,30,False
2013-05-19,32,False
2013-05-20,46,False
2013-05-21,56,False
2013-05-22,48,False
2013-05-23,52,False
2013-05-24,49,False
2013-05-25,38,False
2013-05-26,35,False
2013-05-27,47,False
2013-05-28,38,False
2013-05-29,45,False
2013-05-30,45,False
2013-05-31,49,False
2013-06-01,39,False
2013-06-02,35,False
2013-06-03,38,False
2013-06-04,44,False
2013-06-05,41,False
2013-06-06,56,False
2013-06-07,46,False
2013-06-08,41,False
2013-06-09,33,False
2013-06-10,38,False
2013-06-11,60,False
2013-06-12,58,False
2013-06-13,41,False
2013-06-14,36,False
2013-06-15,40,False
2013-06-16,36,False
2013-06-17,43,False
2013-06-18,47,False
2013-06-19,45,False
2013-06-20,47,False
2013-06-21,44,False
2013-06-22,25,False
2013-06-23,18,False
2013-06-24,42,False
2013-06-25,32,False
2013-06-26,41,False
2013-06-27,40,False
2013-06-28,47,False
2013-06-29,26,False
2013-06-30,28,False
2013-07-01,32,False
2013-07-02,34,False
2013-07-03,41,False
