date,ADBE stock
2016-09-11,0
2016-09-12,12
2016-09-13,9
2016-09-14,6
2016-09-15,6
2016-09-16,12
2016-09-17,7
2016-09-18,6
2016-09-19,9
2016-09-20,45
2016-09-21,55
2016-09-22,32
2016-09-23,12
2016-09-24,13
2016-09-25,10
2016-09-26,23
2016-09-27,17
2016-09-28,17
2016-09-29,6
2016-09-30,0
2016-10-01,0
2016-10-02,0
2016-10-03,6
2016-10-04,6
2016-10-05,11
2016-10-06,12
2016-10-07,15
2016-10-08,0
2016-10-09,7
2016-10-10,6
2016-10-11,6
2016-10-12,6
2016-10-13,6
2016-10-14,6
2016-10-15,13
2016-10-16,0
2016-10-17,11
2016-10-18,6
2016-10-19,11
2016-10-20,8
2016-10-21,0
2016-10-22,7
2016-10-23,13
2016-10-24,0
2016-10-25,6
2016-10-26,11
2016-10-27,6
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,6
2016-11-01,6
2016-11-02,9
2016-11-03,6
2016-11-04,9
2016-11-05,6
2016-11-06,6
2016-11-07,11
2016-11-08,6
2016-11-09,13
2016-11-10,23
2016-11-11,12
2016-11-12,7
2016-11-13,0
2016-11-14,6
2016-11-15,6
2016-11-16,8
2016-11-17,14
2016-11-18,12
2016-11-19,0
2016-11-20,6
2016-11-21,6
2016-11-22,11
2016-11-23,8
2016-11-24,6
2016-11-25,12
2016-11-26,6
2016-11-27,0
2016-11-28,16
2016-11-29,11
2016-11-30,8
2016-12-01,5
2016-12-02,11
2016-12-03,6
2016-12-04,0
2016-12-05,10
2016-12-06,5
2016-12-07,11
2016-12-08,8
2016-12-09,11
2016-12-10,0
2016-12-11,0
2016-12-12,5
2016-12-13,16
2016-12-14,19
2016-12-15,30
2016-12-16,35
2016-12-17,6
2016-12-18,0
2016-12-19,14
2016-12-20,6
2016-12-21,17
2016-12-22,18
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,6
2016-12-28,12
2016-12-29,6
2016-12-30,6
2016-12-31,7
2017-01-01,0
2017-01-02,6
2017-01-03,8
2017-01-04,5
2017-01-05,8
2017-01-06,11
2017-01-07,6
2017-01-08,0
2017-01-09,11
2017-01-10,5
2017-01-11,5
2017-01-12,5
2017-01-13,5
2017-01-14,0
2017-01-15,6
2017-01-16,11
2017-01-17,16
2017-01-18,10
2017-01-19,16
2017-01-20,11
2017-01-21,0
2017-01-22,6
2017-01-23,18
2017-01-24,21
2017-01-25,24
2017-01-26,10
2017-01-27,14
2017-01-28,6
2017-01-29,0
2017-01-30,13
2017-01-31,10
2017-02-01,10
2017-02-02,5
2017-02-03,11
2017-02-04,0
2017-02-05,0
2017-02-06,10
2017-02-07,8
2017-02-08,8
2017-02-09,16
2017-02-10,11
2017-02-11,0
2017-02-12,6
2017-02-13,10
2017-02-14,10
2017-02-15,10
2017-02-16,10
2017-02-17,16
2017-02-18,0
2017-02-19,6
2017-02-20,0
2017-02-21,10
2017-02-22,5
2017-02-23,16
2017-02-24,16
2017-02-25,6
2017-02-26,0
2017-02-27,10
2017-02-28,0
2017-03-01,5
2017-03-02,10
2017-03-03,16
2017-03-04,6
2017-03-05,6
2017-03-06,5
2017-03-07,10
2017-03-08,5
2017-03-09,10
2017-03-10,27
2017-03-11,6
2017-03-12,0
2017-03-13,14
2017-03-14,10
2017-03-15,18
2017-03-16,49
2017-03-17,100
2017-03-18,21
2017-03-19,12
2017-03-20,23
2017-03-21,18
2017-03-22,15
2017-03-23,21
2017-03-24,24
2017-03-25,9
2017-03-26,6
2017-03-27,15
2017-03-28,18
2017-03-29,8
2017-03-30,13
2017-03-31,13
2017-04-01,0
2017-04-02,0
2017-04-03,23
2017-04-04,10
2017-04-05,8
2017-04-06,8
2017-04-07,8
2017-04-08,0
2017-04-09,0
2017-04-10,10
2017-04-11,16
2017-04-12,0
2017-04-13,11
2017-04-14,6
2017-04-15,6
2017-04-16,12
2017-04-17,5
2017-04-18,10
2017-04-19,13
2017-04-20,16
2017-04-21,11
2017-04-22,12
2017-04-23,6
2017-04-24,15
2017-04-25,18
2017-04-26,15
2017-04-27,13
2017-04-28,11
2017-04-29,6
2017-04-30,6
2017-05-01,6
2017-05-02,15
2017-05-03,10
2017-05-04,10
2017-05-05,0
2017-05-06,6
2017-05-07,6
2017-05-08,13
2017-05-09,20
2017-05-10,8
2017-05-11,13
2017-05-12,22
2017-05-13,12
2017-05-14,6
2017-05-15,14
2017-05-16,11
2017-05-17,19
2017-05-18,22
2017-05-19,12
2017-05-20,6
2017-05-21,0
2017-05-22,17
2017-05-23,19
2017-05-24,11
2017-05-25,23
2017-05-26,18
2017-05-27,7
2017-05-28,0
2017-05-29,0
