date,ADBE stock
2017-01-19,8
2017-01-20,8
2017-01-21,0
2017-01-22,0
2017-01-23,14
2017-01-24,11
2017-01-25,22
2017-01-26,6
2017-01-27,17
2017-01-28,6
2017-01-29,0
2017-01-30,5
2017-01-31,11
2017-02-01,11
2017-02-02,8
2017-02-03,9
2017-02-04,0
2017-02-05,0
2017-02-06,8
2017-02-07,8
2017-02-08,0
2017-02-09,14
2017-02-10,17
2017-02-11,0
2017-02-12,0
2017-02-13,8
2017-02-14,16
2017-02-15,11
2017-02-16,13
2017-02-17,11
2017-02-18,6
2017-02-19,9
2017-02-20,0
2017-02-21,8
2017-02-22,5
2017-02-23,19
2017-02-24,14
2017-02-25,6
2017-02-26,6
2017-02-27,11
2017-02-28,5
2017-03-01,8
2017-03-02,8
2017-03-03,11
2017-03-04,9
2017-03-05,6
2017-03-06,5
2017-03-07,18
2017-03-08,5
2017-03-09,16
2017-03-10,11
2017-03-11,0
2017-03-12,6
2017-03-13,15
2017-03-14,11
2017-03-15,13
2017-03-16,55
2017-03-17,100
2017-03-18,12
2017-03-19,6
2017-03-20,24
2017-03-21,19
2017-03-22,13
2017-03-23,19
2017-03-24,23
2017-03-25,6
2017-03-26,6
2017-03-27,8
2017-03-28,8
2017-03-29,14
2017-03-30,11
2017-03-31,11
2017-04-01,6
2017-04-02,6
2017-04-03,13
2017-04-04,13
2017-04-05,19
2017-04-06,14
2017-04-07,8
2017-04-08,6
2017-04-09,6
2017-04-10,16
2017-04-11,14
2017-04-12,6
2017-04-13,12
2017-04-14,6
2017-04-15,7
2017-04-16,6
2017-04-17,17
2017-04-18,5
2017-04-19,21
2017-04-20,16
2017-04-21,6
2017-04-22,9
2017-04-23,0
2017-04-24,16
2017-04-25,24
2017-04-26,21
2017-04-27,16
2017-04-28,8
2017-04-29,0
2017-04-30,13
2017-05-01,12
2017-05-02,19
2017-05-03,16
2017-05-04,5
2017-05-05,11
2017-05-06,6
2017-05-07,6
2017-05-08,19
2017-05-09,11
2017-05-10,5
2017-05-11,22
2017-05-12,20
2017-05-13,13
2017-05-14,19
2017-05-15,11
2017-05-16,17
2017-05-17,14
2017-05-18,11
2017-05-19,24
2017-05-20,0
2017-05-21,0
2017-05-22,20
2017-05-23,28
2017-05-24,12
2017-05-25,18
2017-05-26,19
2017-05-27,10
2017-05-28,0
2017-05-29,12
2017-05-30,20
2017-05-31,17
2017-06-01,18
2017-06-02,6
2017-06-03,7
2017-06-04,7
2017-06-05,26
2017-06-06,20
2017-06-07,20
2017-06-08,14
2017-06-09,15
2017-06-10,7
2017-06-11,10
2017-06-12,17
2017-06-13,20
2017-06-14,20
2017-06-15,6
2017-06-16,21
2017-06-17,0
2017-06-18,7
2017-06-19,34
2017-06-20,89
2017-06-21,99
2017-06-22,48
2017-06-23,32
2017-06-24,0
2017-06-25,14
2017-06-26,32
2017-06-27,15
2017-06-28,21
2017-06-29,21
2017-06-30,21
2017-07-01,7
2017-07-02,10
2017-07-03,24
2017-07-04,18
2017-07-05,18
2017-07-06,33
2017-07-07,21
2017-07-08,14
2017-07-09,7
2017-07-10,29
2017-07-11,12
2017-07-12,29
2017-07-13,12
2017-07-14,6
2017-07-15,0
2017-07-16,0
2017-07-17,15
2017-07-18,15
2017-07-19,29
2017-07-20,6
2017-07-21,12
2017-07-22,17
2017-07-23,17
2017-07-24,14
2017-07-25,14
2017-07-26,17
2017-07-27,20
2017-07-28,30
2017-07-29,7
2017-07-30,0
2017-07-31,14
2017-08-01,22
2017-08-02,13
2017-08-03,14
2017-08-04,21
2017-08-05,7
2017-08-06,0
2017-08-07,11
2017-08-08,19
2017-08-09,17
2017-08-10,11
2017-08-11,6
2017-08-12,7
2017-08-13,7
2017-08-14,23
2017-08-15,12
2017-08-16,28
2017-08-17,14
2017-08-18,12
2017-08-19,0
2017-08-20,6
2017-08-21,23
2017-08-22,11
2017-08-23,11
2017-08-24,11
2017-08-25,21
2017-08-26,0
2017-08-27,0
2017-08-28,11
2017-08-29,22
2017-08-30,22
2017-08-31,23
2017-09-01,9
2017-09-02,13
2017-09-03,7
2017-09-04,12
2017-09-05,5
2017-09-06,14
2017-09-07,17
2017-09-08,6
2017-09-09,6
2017-09-10,6
2017-09-11,25
2017-09-12,16
2017-09-13,16
2017-09-14,14
2017-09-15,20
2017-09-16,10
2017-09-17,19
2017-09-18,11
2017-09-19,69
2017-09-20,72
2017-09-21,56
2017-09-22,17
2017-09-23,6
2017-09-24,0
2017-09-25,16
2017-09-26,27
2017-09-27,14
2017-09-28,22
2017-09-29,26
2017-09-30,13
2017-10-01,6
2017-10-02,30
2017-10-03,19
2017-10-04,6
2017-10-05,14
2017-10-06,25
