date,ADBE stock
2013-06-29,0
2013-06-30,16
2013-07-01,0
2013-07-02,19
2013-07-03,26
2013-07-04,21
2013-07-05,14
2013-07-06,16
2013-07-07,0
2013-07-08,13
2013-07-09,13
2013-07-10,13
2013-07-11,13
2013-07-12,21
2013-07-13,0
2013-07-14,16
2013-07-15,13
2013-07-16,26
2013-07-17,0
2013-07-18,20
2013-07-19,14
2013-07-20,0
2013-07-21,16
2013-07-22,13
2013-07-23,26
2013-07-24,0
2013-07-25,13
2013-07-26,0
2013-07-27,0
2013-07-28,16
2013-07-29,13
2013-07-30,0
2013-07-31,13
2013-08-01,13
2013-08-02,14
2013-08-03,16
2013-08-04,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,13
2013-08-09,0
2013-08-10,0
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,13
2013-08-15,14
2013-08-16,0
2013-08-17,0
2013-08-18,16
2013-08-19,13
2013-08-20,0
2013-08-21,13
2013-08-22,0
2013-08-23,20
2013-08-24,15
2013-08-25,0
2013-08-26,25
2013-08-27,12
2013-08-28,12
2013-08-29,13
2013-08-30,0
2013-08-31,15
2013-09-01,0
2013-09-02,0
2013-09-03,12
2013-09-04,12
2013-09-05,19
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,24
2013-09-10,0
2013-09-11,12
2013-09-12,12
2013-09-13,13
2013-09-14,0
2013-09-15,0
2013-09-16,24
2013-09-17,36
2013-09-18,49
2013-09-19,19
2013-09-20,26
2013-09-21,0
2013-09-22,14
2013-09-23,0
2013-09-24,12
2013-09-25,12
2013-09-26,12
2013-09-27,13
2013-09-28,0
2013-09-29,0
2013-09-30,18
2013-10-01,12
2013-10-02,0
2013-10-03,12
2013-10-04,13
2013-10-05,14
2013-10-06,14
2013-10-07,12
2013-10-08,36
2013-10-09,0
2013-10-10,0
2013-10-11,13
2013-10-12,15
2013-10-13,14
2013-10-14,12
2013-10-15,12
2013-10-16,30
2013-10-17,19
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,12
2013-10-22,12
2013-10-23,0
2013-10-24,24
2013-10-25,13
2013-10-26,0
2013-10-27,0
2013-10-28,23
2013-10-29,12
2013-10-30,12
2013-10-31,31
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,0
2013-11-05,12
2013-11-06,0
2013-11-07,18
2013-11-08,0
2013-11-09,14
2013-11-10,0
2013-11-11,18
2013-11-12,23
2013-11-13,0
2013-11-14,12
2013-11-15,19
2013-11-16,14
2013-11-17,0
2013-11-18,24
2013-11-19,12
2013-11-20,18
2013-11-21,12
2013-11-22,12
2013-11-23,0
2013-11-24,0
2013-11-25,17
2013-11-26,0
2013-11-27,12
2013-11-28,13
2013-11-29,13
2013-11-30,0
2013-12-01,0
2013-12-02,17
2013-12-03,0
2013-12-04,0
2013-12-05,12
2013-12-06,12
2013-12-07,0
2013-12-08,0
2013-12-09,17
2013-12-10,18
2013-12-11,12
2013-12-12,36
2013-12-13,100
2013-12-14,21
2013-12-15,14
2013-12-16,24
2013-12-17,36
2013-12-18,12
2013-12-19,13
2013-12-20,26
2013-12-21,0
2013-12-22,15
2013-12-23,13
2013-12-24,0
2013-12-25,16
2013-12-26,0
2013-12-27,13
2013-12-28,0
2013-12-29,0
2013-12-30,26
2013-12-31,14
2014-01-01,15
2014-01-02,12
2014-01-03,30
2014-01-04,14
2014-01-05,27
2014-01-06,23
2014-01-07,34
2014-01-08,17
2014-01-09,23
2014-01-10,24
2014-01-11,13
2014-01-12,13
2014-01-13,17
2014-01-14,11
2014-01-15,40
2014-01-16,17
2014-01-17,24
2014-01-18,0
2014-01-19,26
2014-01-20,11
2014-01-21,23
2014-01-22,17
2014-01-23,11
2014-01-24,18
2014-01-25,0
2014-01-26,26
2014-01-27,11
2014-01-28,17
2014-01-29,17
2014-01-30,11
2014-01-31,29
2014-02-01,13
2014-02-02,0
2014-02-03,11
2014-02-04,22
2014-02-05,17
2014-02-06,0
2014-02-07,32
2014-02-08,0
2014-02-09,0
2014-02-10,22
2014-02-11,28
2014-02-12,11
2014-02-13,11
2014-02-14,29
2014-02-15,27
2014-02-16,0
2014-02-17,11
2014-02-18,11
2014-02-19,11
2014-02-20,11
2014-02-21,12
2014-02-22,13
2014-02-23,0
2014-02-24,22
2014-02-25,33
2014-02-26,11
2014-02-27,17
2014-02-28,59
2014-03-01,13
2014-03-02,0
2014-03-03,34
2014-03-04,17
2014-03-05,17
2014-03-06,23
2014-03-07,0
2014-03-08,0
2014-03-09,13
2014-03-10,23
2014-03-11,0
2014-03-12,17
2014-03-13,17
2014-03-14,18
2014-03-15,0
2014-03-16,13
