date,INCY stock
2017-05-29,17
2017-05-30,32
2017-05-31,48
2017-06-01,17
2017-06-02,52
2017-06-03,0
2017-06-04,38
2017-06-05,32
2017-06-06,64
2017-06-07,16
2017-06-08,48
2017-06-09,34
2017-06-10,0
2017-06-11,0
2017-06-12,16
2017-06-13,16
2017-06-14,65
2017-06-15,100
2017-06-16,34
2017-06-17,0
2017-06-18,0
2017-06-19,32
2017-06-20,62
2017-06-21,15
2017-06-22,31
2017-06-23,33
2017-06-24,0
2017-06-25,0
2017-06-26,33
2017-06-27,17
2017-06-28,34
2017-06-29,17
2017-06-30,17
2017-07-01,0
2017-07-02,0
2017-07-03,17
2017-07-04,0
2017-07-05,34
2017-07-06,17
2017-07-07,52
2017-07-08,0
2017-07-09,0
2017-07-10,33
2017-07-11,0
2017-07-12,0
2017-07-13,34
2017-07-14,17
2017-07-15,0
2017-07-16,0
2017-07-17,33
2017-07-18,17
2017-07-19,33
2017-07-20,33
2017-07-21,17
2017-07-22,19
2017-07-23,0
2017-07-24,0
2017-07-25,33
2017-07-26,32
2017-07-27,16
2017-07-28,68
2017-07-29,0
2017-07-30,0
2017-07-31,33
2017-08-01,94
2017-08-02,31
2017-08-03,48
2017-08-04,17
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,15
2017-08-09,0
2017-08-10,16
2017-08-11,50
2017-08-12,19
2017-08-13,0
2017-08-14,33
2017-08-15,0
2017-08-16,16
2017-08-17,0
2017-08-18,0
2017-08-19,18
2017-08-20,0
2017-08-21,16
2017-08-22,16
2017-08-23,48
2017-08-24,16
2017-08-25,17
2017-08-26,0
2017-08-27,0
2017-08-28,16
2017-08-29,16
2017-08-30,16
2017-08-31,64
2017-09-01,17
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,16
2017-09-06,0
2017-09-07,16
2017-09-08,65
2017-09-09,18
2017-09-10,0
2017-09-11,47
2017-09-12,0
2017-09-13,31
2017-09-14,32
2017-09-15,48
2017-09-16,18
2017-09-17,0
2017-09-18,62
2017-09-19,31
2017-09-20,31
2017-09-21,47
2017-09-22,49
2017-09-23,0
2017-09-24,0
2017-09-25,31
2017-09-26,61
2017-09-27,16
2017-09-28,16
2017-09-29,16
2017-09-30,36
2017-10-01,0
2017-10-02,0
2017-10-03,47
2017-10-04,46
2017-10-05,31
2017-10-06,32
2017-10-07,0
2017-10-08,0
2017-10-09,46
2017-10-10,15
2017-10-11,0
2017-10-12,0
2017-10-13,16
2017-10-14,0
2017-10-15,0
2017-10-16,46
2017-10-17,15
2017-10-18,15
2017-10-19,16
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,30
2017-10-24,0
2017-10-25,15
2017-10-26,47
2017-10-27,32
2017-10-28,0
2017-10-29,0
2017-10-30,46
2017-10-31,46
2017-11-01,16
2017-11-02,16
2017-11-03,16
2017-11-04,0
2017-11-05,17
2017-11-06,0
2017-11-07,15
2017-11-08,0
2017-11-09,15
2017-11-10,16
2017-11-11,0
2017-11-12,0
2017-11-13,15
2017-11-14,45
2017-11-15,15
2017-11-16,15
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,30
2017-11-21,15
2017-11-22,15
2017-11-23,31
2017-11-24,47
2017-11-25,0
2017-11-26,0
2017-11-27,15
2017-11-28,44
2017-11-29,45
2017-11-30,15
2017-12-01,16
2017-12-02,0
2017-12-03,17
2017-12-04,15
2017-12-05,15
2017-12-06,0
2017-12-07,30
2017-12-08,32
2017-12-09,0
2017-12-10,0
2017-12-11,15
2017-12-12,45
2017-12-13,15
2017-12-14,15
2017-12-15,0
2017-12-16,18
2017-12-17,0
2017-12-18,30
2017-12-19,62
2017-12-20,16
2017-12-21,98
2017-12-22,51
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,34
2017-12-27,16
2017-12-28,16
2017-12-29,33
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,63
2018-01-03,30
2018-01-04,61
2018-01-05,31
2018-01-06,0
2018-01-07,34
2018-01-08,30
2018-01-09,15
2018-01-10,44
2018-01-11,74
2018-01-12,15
2018-01-13,17
2018-01-14,0
2018-01-15,0
2018-01-16,15
2018-01-17,0
2018-01-18,29
2018-01-19,31
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,87
2018-01-24,29
2018-01-25,29
2018-01-26,15
2018-01-27,0
2018-01-28,0
2018-01-29,14
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,30
2018-02-03,0
2018-02-04,0
2018-02-05,29
2018-02-06,29
2018-02-07,58
2018-02-08,0
2018-02-09,15
2018-02-10,17
2018-02-11,0
2018-02-12,44
2018-02-13,15
