date,INCY stock
2015-12-26,0
2015-12-27,0
2015-12-28,23
2015-12-29,34
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,45
2016-01-05,22
2016-01-06,45
2016-01-07,0
2016-01-08,23
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,22
2016-01-13,0
2016-01-14,22
2016-01-15,0
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,0
2016-01-21,22
2016-01-22,34
2016-01-23,0
2016-01-24,0
2016-01-25,33
2016-01-26,33
2016-01-27,22
2016-01-28,55
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,22
2016-02-04,0
2016-02-05,46
2016-02-06,26
2016-02-07,0
2016-02-08,45
2016-02-09,22
2016-02-10,54
2016-02-11,55
2016-02-12,23
2016-02-13,0
2016-02-14,25
2016-02-15,22
2016-02-16,43
2016-02-17,22
2016-02-18,0
2016-02-19,0
2016-02-20,25
2016-02-21,0
2016-02-22,43
2016-02-23,43
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,21
2016-03-03,22
2016-03-04,22
2016-03-05,0
2016-03-06,0
2016-03-07,43
2016-03-08,0
2016-03-09,32
2016-03-10,0
2016-03-11,23
2016-03-12,0
2016-03-13,0
2016-03-14,21
2016-03-15,0
2016-03-16,22
2016-03-17,22
2016-03-18,23
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,33
2016-03-23,0
2016-03-24,23
2016-03-25,25
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,22
2016-03-30,0
2016-03-31,33
2016-04-01,56
2016-04-02,0
2016-04-03,0
2016-04-04,21
2016-04-05,0
2016-04-06,0
2016-04-07,44
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,42
2016-04-13,22
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,25
2016-04-18,0
2016-04-19,22
2016-04-20,0
2016-04-21,22
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,43
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,22
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,52
2016-05-08,26
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,22
2016-05-13,0
2016-05-14,25
2016-05-15,0
2016-05-16,43
2016-05-17,21
2016-05-18,21
2016-05-19,43
2016-05-20,0
2016-05-21,0
2016-05-22,25
2016-05-23,22
2016-05-24,22
2016-05-25,33
2016-05-26,23
2016-05-27,35
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,44
2016-06-02,22
2016-06-03,23
2016-06-04,0
2016-06-05,0
2016-06-06,22
2016-06-07,22
2016-06-08,22
2016-06-09,22
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,43
2016-06-14,43
2016-06-15,22
2016-06-16,22
2016-06-17,23
2016-06-18,0
2016-06-19,0
2016-06-20,22
2016-06-21,22
2016-06-22,0
2016-06-23,0
2016-06-24,23
2016-06-25,0
2016-06-26,0
2016-06-27,55
2016-06-28,0
2016-06-29,0
2016-06-30,45
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,23
2016-07-06,47
2016-07-07,24
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,24
2016-07-14,0
2016-07-15,24
2016-07-16,0
2016-07-17,0
2016-07-18,23
2016-07-19,23
2016-07-20,0
2016-07-21,23
2016-07-22,24
2016-07-23,0
2016-07-24,27
2016-07-25,0
2016-07-26,23
2016-07-27,0
2016-07-28,23
2016-07-29,24
2016-07-30,0
2016-07-31,0
2016-08-01,23
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,100
2016-08-06,0
2016-08-07,0
2016-08-08,24
2016-08-09,0
2016-08-10,24
2016-08-11,0
2016-08-12,0
2016-08-13,28
2016-08-14,0
2016-08-15,26
2016-08-16,24
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,29
2016-08-21,28
2016-08-22,24
2016-08-23,36
2016-08-24,35
2016-08-25,23
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,23
2016-09-01,23
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,22
2016-09-07,23
2016-09-08,23
2016-09-09,0
2016-09-10,27
2016-09-11,0
