date,Activision Blizzard,isPartial
2013-06-29,5,False
2013-06-30,17,False
2013-07-01,12,False
2013-07-02,8,False
2013-07-03,8,False
2013-07-04,13,False
2013-07-05,11,False
2013-07-06,0,False
2013-07-07,3,False
2013-07-08,12,False
2013-07-09,6,False
2013-07-10,4,False
2013-07-11,2,False
2013-07-12,9,False
2013-07-13,5,False
2013-07-14,8,False
2013-07-15,10,False
2013-07-16,4,False
2013-07-17,11,False
2013-07-18,6,False
2013-07-19,7,False
2013-07-20,5,False
2013-07-21,5,False
2013-07-22,18,False
2013-07-23,14,False
2013-07-24,17,False
2013-07-25,6,False
2013-07-26,100,False
2013-07-27,38,False
2013-07-28,18,False
2013-07-29,37,False
2013-07-30,12,False
2013-07-31,19,False
2013-08-01,11,False
2013-08-02,9,False
2013-08-03,23,False
2013-08-04,18,False
2013-08-05,13,False
2013-08-06,15,False
2013-08-07,6,False
2013-08-08,6,False
2013-08-09,4,False
2013-08-10,3,False
2013-08-11,5,False
2013-08-12,6,False
2013-08-13,8,False
2013-08-14,4,False
2013-08-15,15,False
2013-08-16,9,False
2013-08-17,8,False
2013-08-18,7,False
2013-08-19,10,False
2013-08-20,4,False
2013-08-21,16,False
2013-08-22,12,False
2013-08-23,9,False
2013-08-24,2,False
2013-08-25,2,False
2013-08-26,16,False
2013-08-27,16,False
2013-08-28,20,False
2013-08-29,12,False
2013-08-30,23,False
2013-08-31,5,False
2013-09-01,2,False
2013-09-02,12,False
2013-09-03,6,False
2013-09-04,6,False
2013-09-05,12,False
2013-09-06,13,False
2013-09-07,14,False
2013-09-08,7,False
2013-09-09,4,False
2013-09-10,10,False
2013-09-11,17,False
2013-09-12,10,False
2013-09-13,12,False
2013-09-14,7,False
2013-09-15,7,False
2013-09-16,8,False
2013-09-17,8,False
2013-09-18,8,False
2013-09-19,10,False
2013-09-20,16,False
2013-09-21,0,False
2013-09-22,5,False
2013-09-23,4,False
2013-09-24,21,False
2013-09-25,8,False
2013-09-26,14,False
2013-09-27,12,False
2013-09-28,2,False
2013-09-29,2,False
2013-09-30,6,False
2013-10-01,4,False
2013-10-02,12,False
2013-10-03,8,False
2013-10-04,14,False
2013-10-05,11,False
2013-10-06,4,False
2013-10-07,8,False
2013-10-08,8,False
2013-10-09,6,False
2013-10-10,8,False
2013-10-11,8,False
2013-10-12,14,False
2013-10-13,9,False
2013-10-14,24,False
2013-10-15,12,False
2013-10-16,18,False
2013-10-17,12,False
2013-10-18,10,False
2013-10-19,0,False
2013-10-20,5,False
2013-10-21,8,False
2013-10-22,10,False
2013-10-23,11,False
2013-10-24,10,False
2013-10-25,12,False
2013-10-26,12,False
2013-10-27,13,False
2013-10-28,8,False
2013-10-29,17,False
2013-10-30,12,False
2013-10-31,16,False
2013-11-01,4,False
2013-11-02,5,False
2013-11-03,4,False
2013-11-04,15,False
2013-11-05,19,False
2013-11-06,26,False
2013-11-07,19,False
2013-11-08,14,False
2013-11-09,14,False
2013-11-10,13,False
2013-11-11,10,False
2013-11-12,15,False
2013-11-13,14,False
2013-11-14,8,False
2013-11-15,14,False
2013-11-16,11,False
2013-11-17,7,False
2013-11-18,19,False
2013-11-19,11,False
2013-11-20,4,False
2013-11-21,13,False
2013-11-22,18,False
2013-11-23,2,False
2013-11-24,2,False
2013-11-25,13,False
2013-11-26,17,False
2013-11-27,2,False
2013-11-28,10,False
2013-11-29,8,False
2013-11-30,7,False
2013-12-01,15,False
2013-12-02,7,False
2013-12-03,6,False
2013-12-04,9,False
2013-12-05,8,False
2013-12-06,10,False
2013-12-07,2,False
2013-12-08,11,False
2013-12-09,11,False
2013-12-10,2,False
2013-12-11,8,False
2013-12-12,12,False
2013-12-13,20,False
2013-12-14,0,False
2013-12-15,16,False
2013-12-16,2,False
2013-12-17,8,False
2013-12-18,0,False
