date,INTC stock
2011-05-11,37
2011-05-12,56
2011-05-13,79
2011-05-14,0
2011-05-15,23
2011-05-16,54
2011-05-17,56
2011-05-18,56
2011-05-19,96
2011-05-20,20
2011-05-21,0
2011-05-22,0
2011-05-23,55
2011-05-24,0
2011-05-25,0
2011-05-26,19
2011-05-27,20
2011-05-28,48
2011-05-29,24
2011-05-30,0
2011-05-31,55
2011-06-01,38
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,37
2011-06-07,37
2011-06-08,56
2011-06-09,0
2011-06-10,39
2011-06-11,0
2011-06-12,0
2011-06-13,75
2011-06-14,18
2011-06-15,37
2011-06-16,38
2011-06-17,20
2011-06-18,48
2011-06-19,0
2011-06-20,72
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,80
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,18
2011-06-29,37
2011-06-30,19
2011-07-01,60
2011-07-02,0
2011-07-03,24
2011-07-04,0
2011-07-05,57
2011-07-06,37
2011-07-07,57
2011-07-08,60
2011-07-09,0
2011-07-10,0
2011-07-11,37
2011-07-12,19
2011-07-13,57
2011-07-14,39
2011-07-15,20
2011-07-16,0
2011-07-17,0
2011-07-18,38
2011-07-19,19
2011-07-20,76
2011-07-21,76
2011-07-22,59
2011-07-23,0
2011-07-24,47
2011-07-25,18
2011-07-26,55
2011-07-27,19
2011-07-28,57
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,57
2011-08-03,75
2011-08-04,38
2011-08-05,78
2011-08-06,0
2011-08-07,23
2011-08-08,72
2011-08-09,72
2011-08-10,55
2011-08-11,0
2011-08-12,20
2011-08-13,0
2011-08-14,0
2011-08-15,97
2011-08-16,18
2011-08-17,19
2011-08-18,37
2011-08-19,39
2011-08-20,0
2011-08-21,23
2011-08-22,18
2011-08-23,35
2011-08-24,0
2011-08-25,54
2011-08-26,19
2011-08-27,0
2011-08-28,0
2011-08-29,36
2011-08-30,18
2011-08-31,36
2011-09-01,18
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,18
2011-09-06,34
2011-09-07,35
2011-09-08,0
2011-09-09,54
2011-09-10,0
2011-09-11,0
2011-09-12,17
2011-09-13,17
2011-09-14,34
2011-09-15,17
2011-09-16,73
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,67
2011-09-21,0
2011-09-22,51
2011-09-23,18
2011-09-24,21
2011-09-25,0
2011-09-26,34
2011-09-27,33
2011-09-28,68
2011-09-29,0
2011-09-30,36
2011-10-01,0
2011-10-02,0
2011-10-03,68
2011-10-04,17
2011-10-05,50
2011-10-06,0
2011-10-07,0
2011-10-08,41
2011-10-09,0
2011-10-10,33
2011-10-11,31
2011-10-12,32
2011-10-13,17
2011-10-14,35
2011-10-15,0
2011-10-16,0
2011-10-17,33
2011-10-18,82
2011-10-19,17
2011-10-20,34
2011-10-21,36
2011-10-22,21
2011-10-23,40
2011-10-24,32
2011-10-25,16
2011-10-26,34
2011-10-27,50
2011-10-28,18
2011-10-29,0
2011-10-30,0
2011-10-31,34
2011-11-01,70
2011-11-02,100
2011-11-03,0
2011-11-04,17
2011-11-05,0
2011-11-06,0
2011-11-07,49
2011-11-08,49
2011-11-09,33
2011-11-10,33
2011-11-11,17
2011-11-12,20
2011-11-13,19
2011-11-14,48
2011-11-15,33
2011-11-16,16
2011-11-17,33
2011-11-18,17
2011-11-19,20
2011-11-20,19
2011-11-21,32
2011-11-22,48
2011-11-23,16
2011-11-24,0
2011-11-25,53
2011-11-26,0
2011-11-27,19
2011-11-28,32
2011-11-29,16
2011-11-30,48
2011-12-01,0
2011-12-02,17
2011-12-03,0
2011-12-04,19
2011-12-05,16
2011-12-06,0
2011-12-07,16
2011-12-08,33
2011-12-09,17
2011-12-10,0
2011-12-11,0
2011-12-12,16
2011-12-13,32
2011-12-14,16
2011-12-15,16
2011-12-16,34
2011-12-17,0
2011-12-18,20
2011-12-19,16
2011-12-20,49
2011-12-21,34
2011-12-22,17
2011-12-23,56
2011-12-24,0
2011-12-25,0
2011-12-26,0
2011-12-27,35
2011-12-28,68
2011-12-29,53
2011-12-30,18
2011-12-31,22
2012-01-01,22
2012-01-02,0
2012-01-03,64
2012-01-04,48
2012-01-05,64
2012-01-06,50
2012-01-07,0
2012-01-08,18
2012-01-09,46
2012-01-10,46
2012-01-11,46
2012-01-12,47
2012-01-13,32
2012-01-14,19
2012-01-15,0
2012-01-16,30
2012-01-17,46
2012-01-18,15
2012-01-19,77
2012-01-20,95
2012-01-21,0
2012-01-22,18
2012-01-23,61
2012-01-24,30
2012-01-25,46
2012-01-26,0
