date,INTC stock
2016-05-04,20
2016-05-05,17
2016-05-06,17
2016-05-07,0
2016-05-08,0
2016-05-09,33
2016-05-10,23
2016-05-11,39
2016-05-12,23
2016-05-13,21
2016-05-14,4
2016-05-15,0
2016-05-16,16
2016-05-17,19
2016-05-18,26
2016-05-19,13
2016-05-20,27
2016-05-21,4
2016-05-22,0
2016-05-23,13
2016-05-24,33
2016-05-25,20
2016-05-26,34
2016-05-27,18
2016-05-28,4
2016-05-29,12
2016-05-30,3
2016-05-31,30
2016-06-01,30
2016-06-02,27
2016-06-03,38
2016-06-04,4
2016-06-05,0
2016-06-06,17
2016-06-07,13
2016-06-08,17
2016-06-09,17
2016-06-10,14
2016-06-11,0
2016-06-12,8
2016-06-13,16
2016-06-14,36
2016-06-15,26
2016-06-16,16
2016-06-17,14
2016-06-18,0
2016-06-19,8
2016-06-20,23
2016-06-21,17
2016-06-22,33
2016-06-23,24
2016-06-24,42
2016-06-25,20
2016-06-26,4
2016-06-27,33
2016-06-28,37
2016-06-29,24
2016-06-30,14
2016-07-01,25
2016-07-02,0
2016-07-03,4
2016-07-04,7
2016-07-05,21
2016-07-06,21
2016-07-07,32
2016-07-08,33
2016-07-09,8
2016-07-10,0
2016-07-11,46
2016-07-12,55
2016-07-13,49
2016-07-14,57
2016-07-15,62
2016-07-16,0
2016-07-17,16
2016-07-18,28
2016-07-19,56
2016-07-20,100
2016-07-21,99
2016-07-22,65
2016-07-23,4
2016-07-24,4
2016-07-25,49
2016-07-26,35
2016-07-27,56
2016-07-28,53
2016-07-29,18
2016-07-30,12
2016-07-31,0
2016-08-01,17
2016-08-02,38
2016-08-03,32
2016-08-04,25
2016-08-05,11
2016-08-06,4
2016-08-07,4
2016-08-08,11
2016-08-09,25
2016-08-10,25
2016-08-11,11
2016-08-12,19
2016-08-13,4
2016-08-14,0
2016-08-15,23
2016-08-16,29
2016-08-17,26
2016-08-18,19
2016-08-19,19
2016-08-20,0
2016-08-21,0
2016-08-22,11
2016-08-23,33
2016-08-24,43
2016-08-25,14
2016-08-26,29
2016-08-27,12
2016-08-28,4
2016-08-29,20
2016-08-30,37
2016-08-31,17
2016-09-01,27
2016-09-02,39
2016-09-03,4
2016-09-04,12
2016-09-05,17
2016-09-06,20
2016-09-07,35
2016-09-08,35
2016-09-09,43
2016-09-10,28
2016-09-11,4
2016-09-12,21
2016-09-13,44
2016-09-14,20
2016-09-15,31
2016-09-16,53
2016-09-17,35
2016-09-18,11
2016-09-19,50
2016-09-20,30
2016-09-21,44
2016-09-22,20
2016-09-23,25
2016-09-24,19
2016-09-25,8
2016-09-26,17
2016-09-27,30
2016-09-28,37
2016-09-29,34
2016-09-30,28
2016-10-01,8
2016-10-02,0
2016-10-03,37
2016-10-04,33
2016-10-05,33
2016-10-06,30
2016-10-07,24
2016-10-08,0
2016-10-09,4
2016-10-10,20
2016-10-11,33
2016-10-12,20
2016-10-13,30
2016-10-14,42
2016-10-15,8
2016-10-16,0
2016-10-17,26
2016-10-18,62
2016-10-19,95
2016-10-20,39
2016-10-21,45
2016-10-22,12
2016-10-23,8
2016-10-24,55
2016-10-25,43
2016-10-26,37
2016-10-27,27
2016-10-28,42
2016-10-29,4
2016-10-30,4
2016-10-31,38
2016-11-01,31
2016-11-02,44
2016-11-03,13
2016-11-04,21
2016-11-05,4
2016-11-06,4
2016-11-07,26
2016-11-08,48
2016-11-09,57
2016-11-10,47
2016-11-11,24
2016-11-12,4
2016-11-13,7
2016-11-14,23
2016-11-15,33
2016-11-16,55
2016-11-17,27
2016-11-18,10
2016-11-19,7
2016-11-20,0
2016-11-21,29
2016-11-22,45
2016-11-23,36
2016-11-24,3
2016-11-25,10
2016-11-26,7
2016-11-27,4
2016-11-28,12
2016-11-29,25
2016-11-30,34
2016-12-01,32
2016-12-02,37
2016-12-03,7
2016-12-04,7
2016-12-05,14
2016-12-06,21
2016-12-07,35
2016-12-08,42
2016-12-09,30
2016-12-10,4
2016-12-11,4
2016-12-12,22
2016-12-13,56
2016-12-14,38
2016-12-15,33
2016-12-16,20
2016-12-17,22
2016-12-18,11
2016-12-19,26
2016-12-20,37
2016-12-21,37
2016-12-22,38
2016-12-23,14
2016-12-24,12
2016-12-25,4
2016-12-26,18
2016-12-27,34
2016-12-28,37
2016-12-29,38
2016-12-30,43
2016-12-31,8
2017-01-01,0
2017-01-02,17
2017-01-03,39
2017-01-04,13
2017-01-05,42
2017-01-06,37
2017-01-07,7
2017-01-08,4
2017-01-09,22
2017-01-10,31
2017-01-11,43
2017-01-12,40
2017-01-13,35
2017-01-14,11
2017-01-15,0
2017-01-16,9
2017-01-17,46
2017-01-18,37
2017-01-19,34
