date,INTC stock
2015-12-26,10
2015-12-27,3
2015-12-28,16
2015-12-29,20
2015-12-30,22
2015-12-31,10
2016-01-01,4
2016-01-02,10
2016-01-03,7
2016-01-04,16
2016-01-05,14
2016-01-06,13
2016-01-07,26
2016-01-08,23
2016-01-09,3
2016-01-10,9
2016-01-11,24
2016-01-12,28
2016-01-13,38
2016-01-14,47
2016-01-15,46
2016-01-16,20
2016-01-17,11
2016-01-18,13
2016-01-19,28
2016-01-20,24
2016-01-21,31
2016-01-22,19
2016-01-23,10
2016-01-24,6
2016-01-25,24
2016-01-26,28
2016-01-27,17
2016-01-28,25
2016-01-29,28
2016-01-30,6
2016-01-31,3
2016-02-01,18
2016-02-02,26
2016-02-03,29
2016-02-04,25
2016-02-05,25
2016-02-06,11
2016-02-07,8
2016-02-08,16
2016-02-09,23
2016-02-10,26
2016-02-11,18
2016-02-12,33
2016-02-13,8
2016-02-14,3
2016-02-15,6
2016-02-16,18
2016-02-17,28
2016-02-18,22
2016-02-19,32
2016-02-20,5
2016-02-21,3
2016-02-22,8
2016-02-23,20
2016-02-24,14
2016-02-25,24
2016-02-26,19
2016-02-27,8
2016-02-28,6
2016-02-29,20
2016-03-01,22
2016-03-02,18
2016-03-03,27
2016-03-04,30
2016-03-05,3
2016-03-06,6
2016-03-07,29
2016-03-08,11
2016-03-09,30
2016-03-10,24
2016-03-11,29
2016-03-12,8
2016-03-13,3
2016-03-14,18
2016-03-15,19
2016-03-16,22
2016-03-17,29
2016-03-18,29
2016-03-19,9
2016-03-20,6
2016-03-21,27
2016-03-22,20
2016-03-23,20
2016-03-24,21
2016-03-25,11
2016-03-26,5
2016-03-27,7
2016-03-28,16
2016-03-29,15
2016-03-30,17
2016-03-31,18
2016-04-01,22
2016-04-02,5
2016-04-03,8
2016-04-04,12
2016-04-05,26
2016-04-06,14
2016-04-07,18
2016-04-08,13
2016-04-09,8
2016-04-10,3
2016-04-11,15
2016-04-12,11
2016-04-13,25
2016-04-14,24
2016-04-15,20
2016-04-16,3
2016-04-17,3
2016-04-18,23
2016-04-19,50
2016-04-20,50
2016-04-21,46
2016-04-22,29
2016-04-23,5
2016-04-24,6
2016-04-25,14
2016-04-26,23
2016-04-27,29
2016-04-28,20
2016-04-29,26
2016-04-30,11
2016-05-01,10
2016-05-02,18
2016-05-03,15
2016-05-04,28
2016-05-05,14
2016-05-06,19
2016-05-07,8
2016-05-08,6
2016-05-09,24
2016-05-10,22
2016-05-11,18
2016-05-12,14
2016-05-13,19
2016-05-14,13
2016-05-15,5
2016-05-16,22
2016-05-17,23
2016-05-18,26
2016-05-19,22
2016-05-20,17
2016-05-21,13
2016-05-22,3
2016-05-23,17
2016-05-24,23
2016-05-25,20
2016-05-26,30
2016-05-27,12
2016-05-28,3
2016-05-29,7
2016-05-30,9
2016-05-31,14
2016-06-01,22
2016-06-02,17
2016-06-03,21
2016-06-04,7
2016-06-05,0
2016-06-06,17
2016-06-07,25
2016-06-08,15
2016-06-09,20
2016-06-10,21
2016-06-11,11
2016-06-12,6
2016-06-13,21
2016-06-14,26
2016-06-15,11
2016-06-16,18
2016-06-17,4
2016-06-18,3
2016-06-19,5
2016-06-20,17
2016-06-21,14
2016-06-22,22
2016-06-23,16
2016-06-24,45
2016-06-25,13
2016-06-26,5
2016-06-27,24
2016-06-28,30
2016-06-29,24
2016-06-30,33
2016-07-01,23
2016-07-02,8
2016-07-03,3
2016-07-04,7
2016-07-05,10
2016-07-06,20
2016-07-07,12
2016-07-08,45
2016-07-09,12
2016-07-10,0
2016-07-11,30
2016-07-12,28
2016-07-13,53
2016-07-14,46
2016-07-15,44
2016-07-16,7
2016-07-17,10
2016-07-18,34
2016-07-19,42
2016-07-20,100
2016-07-21,71
2016-07-22,54
2016-07-23,9
2016-07-24,0
2016-07-25,19
2016-07-26,43
2016-07-27,40
2016-07-28,34
2016-07-29,26
2016-07-30,10
2016-07-31,3
2016-08-01,13
2016-08-02,29
2016-08-03,16
2016-08-04,21
2016-08-05,16
2016-08-06,5
2016-08-07,4
2016-08-08,18
2016-08-09,26
2016-08-10,18
2016-08-11,17
2016-08-12,21
2016-08-13,4
2016-08-14,4
2016-08-15,23
2016-08-16,17
2016-08-17,22
2016-08-18,13
2016-08-19,34
2016-08-20,9
2016-08-21,7
2016-08-22,20
2016-08-23,22
2016-08-24,26
2016-08-25,19
2016-08-26,20
2016-08-27,10
2016-08-28,3
2016-08-29,19
2016-08-30,45
2016-08-31,17
2016-09-01,28
2016-09-02,24
2016-09-03,5
2016-09-04,7
2016-09-05,9
2016-09-06,37
2016-09-07,29
2016-09-08,24
2016-09-09,30
2016-09-10,9
2016-09-11,3
