date,INTC stock
2012-10-12,17
2012-10-13,29
2012-10-14,0
2012-10-15,24
2012-10-16,24
2012-10-17,56
2012-10-18,16
2012-10-19,34
2012-10-20,10
2012-10-21,19
2012-10-22,0
2012-10-23,24
2012-10-24,16
2012-10-25,16
2012-10-26,9
2012-10-27,10
2012-10-28,0
2012-10-29,23
2012-10-30,24
2012-10-31,24
2012-11-01,25
2012-11-02,34
2012-11-03,0
2012-11-04,9
2012-11-05,0
2012-11-06,54
2012-11-07,31
2012-11-08,24
2012-11-09,25
2012-11-10,9
2012-11-11,0
2012-11-12,0
2012-11-13,47
2012-11-14,32
2012-11-15,8
2012-11-16,75
2012-11-17,9
2012-11-18,0
2012-11-19,39
2012-11-20,39
2012-11-21,24
2012-11-22,8
2012-11-23,17
2012-11-24,28
2012-11-25,0
2012-11-26,15
2012-11-27,8
2012-11-28,46
2012-11-29,23
2012-11-30,24
2012-12-01,9
2012-12-02,0
2012-12-03,38
2012-12-04,15
2012-12-05,62
2012-12-06,39
2012-12-07,73
2012-12-08,9
2012-12-09,0
2012-12-10,15
2012-12-11,61
2012-12-12,23
2012-12-13,0
2012-12-14,24
2012-12-15,9
2012-12-16,0
2012-12-17,38
2012-12-18,16
2012-12-19,32
2012-12-20,56
2012-12-21,17
2012-12-22,10
2012-12-23,0
2012-12-24,30
2012-12-25,0
2012-12-26,9
2012-12-27,42
2012-12-28,25
2012-12-29,10
2012-12-30,19
2012-12-31,48
2013-01-01,0
2013-01-02,32
2013-01-03,23
2013-01-04,40
2013-01-05,9
2013-01-06,0
2013-01-07,23
2013-01-08,45
2013-01-09,22
2013-01-10,37
2013-01-11,78
2013-01-12,26
2013-01-13,9
2013-01-14,30
2013-01-15,15
2013-01-16,44
2013-01-17,22
2013-01-18,91
2013-01-19,17
2013-01-20,9
2013-01-21,7
2013-01-22,22
2013-01-23,30
2013-01-24,30
2013-01-25,54
2013-01-26,0
2013-01-27,17
2013-01-28,7
2013-01-29,22
2013-01-30,7
2013-01-31,44
2013-02-01,62
2013-02-02,9
2013-02-03,9
2013-02-04,37
2013-02-05,57
2013-02-06,51
2013-02-07,30
2013-02-08,53
2013-02-09,0
2013-02-10,9
2013-02-11,22
2013-02-12,60
2013-02-13,30
2013-02-14,22
2013-02-15,23
2013-02-16,0
2013-02-17,17
2013-02-18,7
2013-02-19,29
2013-02-20,22
2013-02-21,29
2013-02-22,46
2013-02-23,17
2013-02-24,0
2013-02-25,35
2013-02-26,28
2013-02-27,7
2013-02-28,29
2013-03-01,23
2013-03-02,0
2013-03-03,0
2013-03-04,22
2013-03-05,50
2013-03-06,43
2013-03-07,44
2013-03-08,37
2013-03-09,17
2013-03-10,17
2013-03-11,14
2013-03-12,28
2013-03-13,35
2013-03-14,14
2013-03-15,30
2013-03-16,8
2013-03-17,0
2013-03-18,0
2013-03-19,21
2013-03-20,43
2013-03-21,14
2013-03-22,15
2013-03-23,8
2013-03-24,25
2013-03-25,43
2013-03-26,43
2013-03-27,44
2013-03-28,23
2013-03-29,8
2013-03-30,18
2013-03-31,18
2013-04-01,52
2013-04-02,14
2013-04-03,14
2013-04-04,7
2013-04-05,51
2013-04-06,8
2013-04-07,42
2013-04-08,42
2013-04-09,35
2013-04-10,64
2013-04-11,58
2013-04-12,45
2013-04-13,9
2013-04-14,26
2013-04-15,50
2013-04-16,98
2013-04-17,78
2013-04-18,65
2013-04-19,52
2013-04-20,34
2013-04-21,17
2013-04-22,35
2013-04-23,57
2013-04-24,65
2013-04-25,81
2013-04-26,30
2013-04-27,17
2013-04-28,8
2013-04-29,42
2013-04-30,36
2013-05-01,54
2013-05-02,65
2013-05-03,46
2013-05-04,9
2013-05-05,9
2013-05-06,57
2013-05-07,43
2013-05-08,36
2013-05-09,51
2013-05-10,23
2013-05-11,17
2013-05-12,9
2013-05-13,56
2013-05-14,21
2013-05-15,42
2013-05-16,28
2013-05-17,30
2013-05-18,17
2013-05-19,0
2013-05-20,49
2013-05-21,34
2013-05-22,42
2013-05-23,50
2013-05-24,29
2013-05-25,26
2013-05-26,9
2013-05-27,29
2013-05-28,62
2013-05-29,49
2013-05-30,100
2013-05-31,30
2013-06-01,8
2013-06-02,17
2013-06-03,48
2013-06-04,70
2013-06-05,56
2013-06-06,35
2013-06-07,37
2013-06-08,26
2013-06-09,17
2013-06-10,27
2013-06-11,62
2013-06-12,14
2013-06-13,21
2013-06-14,96
2013-06-15,9
2013-06-16,9
2013-06-17,14
2013-06-18,56
2013-06-19,49
2013-06-20,36
2013-06-21,60
2013-06-22,17
2013-06-23,9
2013-06-24,64
2013-06-25,35
2013-06-26,28
2013-06-27,43
2013-06-28,15
2013-06-29,9
