date,INTC stock
2015-04-10,43
2015-04-11,21
2015-04-12,14
2015-04-13,35
2015-04-14,68
2015-04-15,23
2015-04-16,58
2015-04-17,84
2015-04-18,7
2015-04-19,0
2015-04-20,46
2015-04-21,23
2015-04-22,41
2015-04-23,29
2015-04-24,54
2015-04-25,20
2015-04-26,13
2015-04-27,79
2015-04-28,74
2015-04-29,91
2015-04-30,54
2015-05-01,58
2015-05-02,27
2015-05-03,7
2015-05-04,6
2015-05-05,46
2015-05-06,23
2015-05-07,64
2015-05-08,18
2015-05-09,7
2015-05-10,7
2015-05-11,40
2015-05-12,6
2015-05-13,52
2015-05-14,47
2015-05-15,18
2015-05-16,20
2015-05-17,0
2015-05-18,34
2015-05-19,40
2015-05-20,51
2015-05-21,53
2015-05-22,55
2015-05-23,0
2015-05-24,7
2015-05-25,0
2015-05-26,11
2015-05-27,17
2015-05-28,40
2015-05-29,30
2015-05-30,27
2015-05-31,7
2015-06-01,79
2015-06-02,86
2015-06-03,52
2015-06-04,30
2015-06-05,55
2015-06-06,7
2015-06-07,7
2015-06-08,17
2015-06-09,39
2015-06-10,40
2015-06-11,12
2015-06-12,24
2015-06-13,7
2015-06-14,21
2015-06-15,11
2015-06-16,68
2015-06-17,34
2015-06-18,12
2015-06-19,73
2015-06-20,14
2015-06-21,0
2015-06-22,34
2015-06-23,34
2015-06-24,40
2015-06-25,35
2015-06-26,24
2015-06-27,21
2015-06-28,14
2015-06-29,47
2015-06-30,40
2015-07-01,47
2015-07-02,18
2015-07-03,12
2015-07-04,0
2015-07-05,14
2015-07-06,39
2015-07-07,23
2015-07-08,34
2015-07-09,53
2015-07-10,78
2015-07-11,35
2015-07-12,42
2015-07-13,57
2015-07-14,40
2015-07-15,64
2015-07-16,100
2015-07-17,86
2015-07-18,30
2015-07-19,15
2015-07-20,55
2015-07-21,41
2015-07-22,41
2015-07-23,23
2015-07-24,61
2015-07-25,7
2015-07-26,7
2015-07-27,52
2015-07-28,51
2015-07-29,58
2015-07-30,63
2015-07-31,61
2015-08-01,0
2015-08-02,0
2015-08-03,29
2015-08-04,40
2015-08-05,64
2015-08-06,29
2015-08-07,54
2015-08-08,0
2015-08-09,7
2015-08-10,34
2015-08-11,34
2015-08-12,6
2015-08-13,12
2015-08-14,24
2015-08-15,21
2015-08-16,7
2015-08-17,17
2015-08-18,11
2015-08-19,41
2015-08-20,46
2015-08-21,60
2015-08-22,62
2015-08-23,13
2015-08-24,77
2015-08-25,72
2015-08-26,85
2015-08-27,45
2015-08-28,77
2015-08-29,13
2015-08-30,7
2015-08-31,39
2015-09-01,55
2015-09-02,67
2015-09-03,45
2015-09-04,41
2015-09-05,7
2015-09-06,0
2015-09-07,12
2015-09-08,22
2015-09-09,65
2015-09-10,33
2015-09-11,51
2015-09-12,32
2015-09-13,13
2015-09-14,27
2015-09-15,55
2015-09-16,27
2015-09-17,82
2015-09-18,40
2015-09-19,6
2015-09-20,0
2015-09-21,37
2015-09-22,32
2015-09-23,33
2015-09-24,11
2015-09-25,35
2015-09-26,6
2015-09-27,6
2015-09-28,16
2015-09-29,37
2015-09-30,76
2015-10-01,43
2015-10-02,34
2015-10-03,6
2015-10-04,12
2015-10-05,43
2015-10-06,64
2015-10-07,87
2015-10-08,49
2015-10-09,39
2015-10-10,0
2015-10-11,13
2015-10-12,39
2015-10-13,80
2015-10-14,59
2015-10-15,33
2015-10-16,39
2015-10-17,19
2015-10-18,0
2015-10-19,37
2015-10-20,58
2015-10-21,32
2015-10-22,82
2015-10-23,45
2015-10-24,6
2015-10-25,12
2015-10-26,52
2015-10-27,42
2015-10-28,21
2015-10-29,49
2015-10-30,45
2015-10-31,6
2015-11-01,0
2015-11-02,38
2015-11-03,74
2015-11-04,37
2015-11-05,48
2015-11-06,28
2015-11-07,6
2015-11-08,0
2015-11-09,58
2015-11-10,21
2015-11-11,33
2015-11-12,49
2015-11-13,34
2015-11-14,12
2015-11-15,18
2015-11-16,52
2015-11-17,32
2015-11-18,48
2015-11-19,64
2015-11-20,78
2015-11-21,12
2015-11-22,12
2015-11-23,37
2015-11-24,26
2015-11-25,27
2015-11-26,0
2015-11-27,23
2015-11-28,6
2015-11-29,6
2015-11-30,42
2015-12-01,53
2015-12-02,21
2015-12-03,49
2015-12-04,56
2015-12-05,25
2015-12-06,18
2015-12-07,21
2015-12-08,27
2015-12-09,32
2015-12-10,48
2015-12-11,28
2015-12-12,13
2015-12-13,12
2015-12-14,42
2015-12-15,33
2015-12-16,22
2015-12-17,45
2015-12-18,36
2015-12-19,13
2015-12-20,13
2015-12-21,23
2015-12-22,29
2015-12-23,42
2015-12-24,48
2015-12-25,15
2015-12-26,20
