date,stock scandal,isPartial
2013-02-19,52,False
2013-02-20,0,False
2013-02-21,17,False
2013-02-22,63,False
2013-02-23,41,False
2013-02-24,0,False
2013-02-25,17,False
2013-02-26,42,False
2013-02-27,35,False
2013-02-28,17,False
2013-03-01,27,False
2013-03-02,20,False
2013-03-03,0,False
2013-03-04,35,False
2013-03-05,35,False
2013-03-06,17,False
2013-03-07,61,False
2013-03-08,18,False
2013-03-09,0,False
2013-03-10,0,False
2013-03-11,25,False
2013-03-12,17,False
2013-03-13,25,False
2013-03-14,26,False
2013-03-15,53,False
2013-03-16,20,False
2013-03-17,20,False
2013-03-18,0,False
2013-03-19,17,False
2013-03-20,34,False
2013-03-21,35,False
2013-03-22,35,False
2013-03-23,0,False
2013-03-24,30,False
2013-03-25,25,False
2013-03-26,34,False
2013-03-27,0,False
2013-03-28,0,False
2013-03-29,39,False
2013-03-30,21,False
2013-03-31,43,False
2013-04-01,18,False
2013-04-02,42,False
2013-04-03,42,False
2013-04-04,52,False
2013-04-05,26,False
2013-04-06,40,False
2013-04-07,30,False
2013-04-08,0,False
2013-04-09,0,False
2013-04-10,17,False
2013-04-11,26,False
2013-04-12,27,False
2013-04-13,21,False
2013-04-14,31,False
2013-04-15,17,False
2013-04-16,17,False
2013-04-17,26,False
2013-04-18,17,False
2013-04-19,27,False
2013-04-20,0,False
2013-04-21,20,False
2013-04-22,25,False
2013-04-23,59,False
2013-04-24,52,False
2013-04-25,26,False
2013-04-26,18,False
2013-04-27,40,False
2013-04-28,20,False
2013-04-29,17,False
2013-04-30,34,False
2013-05-01,19,False
2013-05-02,17,False
2013-05-03,18,False
2013-05-04,0,False
2013-05-05,62,False
2013-05-06,34,False
2013-05-07,34,False
2013-05-08,34,False
2013-05-09,27,False
2013-05-10,54,False
2013-05-11,41,False
2013-05-12,51,False
2013-05-13,33,False
2013-05-14,17,False
2013-05-15,34,False
2013-05-16,17,False
2013-05-17,89,False
2013-05-18,31,False
2013-05-19,20,False
2013-05-20,17,False
2013-05-21,83,False
2013-05-22,0,False
2013-05-23,42,False
2013-05-24,18,False
2013-05-25,0,False
2013-05-26,20,False
2013-05-27,0,False
2013-05-28,16,False
2013-05-29,33,False
2013-05-30,17,False
2013-05-31,18,False
2013-06-01,0,False
2013-06-02,20,False
2013-06-03,33,False
2013-06-04,17,False
2013-06-05,17,False
2013-06-06,26,False
2013-06-07,71,False
2013-06-08,0,False
2013-06-09,0,False
2013-06-10,16,False
2013-06-11,33,False
2013-06-12,17,False
2013-06-13,0,False
2013-06-14,36,False
2013-06-15,21,False
2013-06-16,0,False
2013-06-17,34,False
2013-06-18,34,False
2013-06-19,17,False
2013-06-20,43,False
2013-06-21,0,False
2013-06-22,21,False
2013-06-23,0,False
2013-06-24,0,False
2013-06-25,25,False
2013-06-26,34,False
2013-06-27,17,False
2013-06-28,18,False
2013-06-29,21,False
2013-06-30,0,False
2013-07-01,0,False
2013-07-02,34,False
2013-07-03,17,False
2013-07-04,18,False
2013-07-05,19,False
2013-07-06,0,False
2013-07-07,32,False
2013-07-08,17,False
2013-07-09,17,False
2013-07-10,35,False
2013-07-11,0,False
2013-07-12,37,False
2013-07-13,43,False
2013-07-14,21,False
2013-07-15,17,False
2013-07-16,34,False
2013-07-17,17,False
2013-07-18,18,False
2013-07-19,36,False
2013-07-20,32,False
2013-07-21,21,False
2013-07-22,17,False
2013-07-23,17,False
2013-07-24,34,False
2013-07-25,26,False
2013-07-26,55,False
2013-07-27,42,False
2013-07-28,0,False
2013-07-29,34,False
2013-07-30,34,False
2013-07-31,26,False
2013-08-01,26,False
2013-08-02,18,False
2013-08-03,0,False
2013-08-04,21,False
2013-08-05,17,False
2013-08-06,17,False
2013-08-07,26,False
2013-08-08,36,False
2013-08-09,28,False
2013-08-10,42,False
2013-08-11,0,False
2013-08-12,34,False
2013-08-13,17,False
2013-08-14,44,False
2013-08-15,0,False
2013-08-16,0,False
2013-08-17,0,False
2013-08-18,31,False
2013-08-19,17,False
2013-08-20,0,False
2013-08-21,0,False
2013-08-22,0,False
2013-08-23,18,False
2013-08-24,20,False
2013-08-25,40,False
2013-08-26,16,False
2013-08-27,33,False
2013-08-28,33,False
2013-08-29,17,False
2013-08-30,17,False
2013-08-31,0,False
2013-09-01,0,False
2013-09-02,17,False
2013-09-03,16,False
2013-09-04,25,False
2013-09-05,100,False
2013-09-06,26,False
2013-09-07,20,False
2013-09-08,19,False
2013-09-09,33,False
2013-09-10,16,False
2013-09-11,16,False
2013-09-12,16,False
2013-09-13,17,False
2013-09-14,0,False
2013-09-15,19,False
2013-09-16,0,False
2013-09-17,16,False
2013-09-18,24,False
2013-09-19,16,False
2013-09-20,26,False
2013-09-21,19,False
2013-09-22,19,False
2013-09-23,33,False
2013-09-24,33,False
2013-09-25,0,False
2013-09-26,17,False
2013-09-27,0,False
2013-09-28,20,False
2013-09-29,19,False
2013-09-30,32,False
2013-10-01,56,False
2013-10-02,32,False
2013-10-03,16,False
2013-10-04,25,False
2013-10-05,29,False
2013-10-06,19,False
2013-10-07,32,False
2013-10-08,0,False
2013-10-09,32,False
2013-10-10,16,False
2013-10-11,17,False
2013-10-12,20,False
2013-10-13,19,False
2013-10-14,16,False
2013-10-15,32,False
2013-10-16,16,False
2013-10-17,49,False
2013-10-18,25,False
2013-10-19,19,False
2013-10-20,0,False
2013-10-21,31,False
2013-10-22,55,False
2013-10-23,16,False
2013-10-24,0,False
2013-10-25,25,False
2013-10-26,0,False
2013-10-27,28,False
2013-10-28,31,False
2013-10-29,24,False
2013-10-30,16,False
2013-10-31,33,False
2013-11-01,17,False
2013-11-02,0,False
2013-11-03,19,False
2013-11-04,24,False
2013-11-05,31,False
2013-11-06,0,False
