date,REGN stock
2018-02-13,16
2018-02-14,99
2018-02-15,49
2018-02-16,34
2018-02-17,0
2018-02-18,19
2018-02-19,48
2018-02-20,48
2018-02-21,32
2018-02-22,48
2018-02-23,34
2018-02-24,18
2018-02-25,0
2018-02-26,31
2018-02-27,63
2018-02-28,16
2018-03-01,31
2018-03-02,33
2018-03-03,0
2018-03-04,0
2018-03-05,31
2018-03-06,0
2018-03-07,32
2018-03-08,49
2018-03-09,51
2018-03-10,55
2018-03-11,18
2018-03-12,63
2018-03-13,96
2018-03-14,32
2018-03-15,32
2018-03-16,50
2018-03-17,19
2018-03-18,0
2018-03-19,80
2018-03-20,64
2018-03-21,32
2018-03-22,82
2018-03-23,17
2018-03-24,37
2018-03-25,0
2018-03-26,49
2018-03-27,16
2018-03-28,100
2018-03-29,34
2018-03-30,36
2018-03-31,0
2018-04-01,0
2018-04-02,34
2018-04-03,16
2018-04-04,49
2018-04-05,66
2018-04-06,51
2018-04-07,0
2018-04-08,0
2018-04-09,32
