date,REGN stock
2013-02-19,21
2013-02-20,0
2013-02-21,0
2013-02-22,22
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,21
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,42
2013-03-06,0
2013-03-07,21
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,25
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,21
2013-03-26,21
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,21
2013-04-03,0
2013-04-04,0
2013-04-05,22
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,42
2013-04-17,42
2013-04-18,21
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,21
2013-04-26,22
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,45
2013-05-02,0
2013-05-03,66
2013-05-04,0
2013-05-05,0
2013-05-06,21
2013-05-07,0
2013-05-08,21
2013-05-09,0
2013-05-10,67
2013-05-11,25
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,20
2013-05-16,42
2013-05-17,0
2013-05-18,25
2013-05-19,0
2013-05-20,21
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,22
2013-05-25,25
2013-05-26,0
2013-05-27,21
2013-05-28,20
2013-05-29,21
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,41
2013-06-04,20
2013-06-05,41
2013-06-06,0
2013-06-07,22
2013-06-08,0
2013-06-09,0
2013-06-10,20
2013-06-11,40
2013-06-12,0
2013-06-13,0
2013-06-14,44
2013-06-15,0
2013-06-16,0
2013-06-17,21
2013-06-18,41
2013-06-19,21
2013-06-20,0
2013-06-21,22
2013-06-22,0
2013-06-23,25
2013-06-24,21
2013-06-25,21
2013-06-26,21
2013-06-27,21
2013-06-28,22
2013-06-29,0
2013-06-30,25
2013-07-01,42
2013-07-02,21
2013-07-03,0
2013-07-04,0
2013-07-05,69
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,21
2013-07-10,21
2013-07-11,0
2013-07-12,22
2013-07-13,26
2013-07-14,0
2013-07-15,21
2013-07-16,0
2013-07-17,21
2013-07-18,44
2013-07-19,0
2013-07-20,0
2013-07-21,0
2013-07-22,0
2013-07-23,0
2013-07-24,21
2013-07-25,22
2013-07-26,0
2013-07-27,0
2013-07-28,0
2013-07-29,42
2013-07-30,21
2013-07-31,21
2013-08-01,43
2013-08-02,22
2013-08-03,26
2013-08-04,0
2013-08-05,0
2013-08-06,21
2013-08-07,0
2013-08-08,22
2013-08-09,0
2013-08-10,0
2013-08-11,26
2013-08-12,21
2013-08-13,21
2013-08-14,21
2013-08-15,45
2013-08-16,90
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,21
2013-08-21,21
2013-08-22,21
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,20
2013-08-27,20
2013-08-28,40
2013-08-29,20
2013-08-30,22
2013-08-31,0
2013-09-01,0
2013-09-02,21
2013-09-03,0
2013-09-04,20
2013-09-05,20
2013-09-06,42
2013-09-07,0
2013-09-08,0
2013-09-09,40
2013-09-10,39
2013-09-11,0
2013-09-12,20
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,20
2013-09-19,40
2013-09-20,21
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,20
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,98
2013-10-01,58
2013-10-02,20
2013-10-03,20
2013-10-04,83
2013-10-05,0
2013-10-06,0
2013-10-07,20
2013-10-08,20
2013-10-09,0
2013-10-10,20
2013-10-11,0
2013-10-12,49
2013-10-13,0
2013-10-14,0
2013-10-15,100
2013-10-16,0
2013-10-17,20
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,39
2013-10-22,38
2013-10-23,59
2013-10-24,0
2013-10-25,20
2013-10-26,0
2013-10-27,0
2013-10-28,38
2013-10-29,19
2013-10-30,20
2013-10-31,0
2013-11-01,0
2013-11-02,0
2013-11-03,0
2013-11-04,19
2013-11-05,58
2013-11-06,38
