date,REGN stock
2016-05-04,20
2016-05-05,33
2016-05-06,34
2016-05-07,0
2016-05-08,0
2016-05-09,20
2016-05-10,19
2016-05-11,20
2016-05-12,8
2016-05-13,25
2016-05-14,0
2016-05-15,9
2016-05-16,43
2016-05-17,19
2016-05-18,16
2016-05-19,24
2016-05-20,0
2016-05-21,9
2016-05-22,0
2016-05-23,16
2016-05-24,24
2016-05-25,16
2016-05-26,12
2016-05-27,17
2016-05-28,9
2016-05-29,9
2016-05-30,0
2016-05-31,20
2016-06-01,28
2016-06-02,16
2016-06-03,8
2016-06-04,0
2016-06-05,0
2016-06-06,8
2016-06-07,16
2016-06-08,24
2016-06-09,8
2016-06-10,29
2016-06-11,0
2016-06-12,0
2016-06-13,16
2016-06-14,12
2016-06-15,20
2016-06-16,8
2016-06-17,17
2016-06-18,9
2016-06-19,0
2016-06-20,16
2016-06-21,32
2016-06-22,12
2016-06-23,21
2016-06-24,55
2016-06-25,10
2016-06-26,0
2016-06-27,32
2016-06-28,20
2016-06-29,0
2016-06-30,0
2016-07-01,21
2016-07-02,10
2016-07-03,0
2016-07-04,0
2016-07-05,25
2016-07-06,9
2016-07-07,35
2016-07-08,18
2016-07-09,10
2016-07-10,0
2016-07-11,21
2016-07-12,17
2016-07-13,25
2016-07-14,12
2016-07-15,35
2016-07-16,10
2016-07-17,10
2016-07-18,13
2016-07-19,21
2016-07-20,26
2016-07-21,17
2016-07-22,0
2016-07-23,10
2016-07-24,0
2016-07-25,8
2016-07-26,0
2016-07-27,34
2016-07-28,17
2016-07-29,40
2016-07-30,10
2016-07-31,10
2016-08-01,21
2016-08-02,33
2016-08-03,38
2016-08-04,56
2016-08-05,27
2016-08-06,10
2016-08-07,10
2016-08-08,9
2016-08-09,17
2016-08-10,31
2016-08-11,18
2016-08-12,18
2016-08-13,0
2016-08-14,0
2016-08-15,9
2016-08-16,18
2016-08-17,13
2016-08-18,9
2016-08-19,9
2016-08-20,0
2016-08-21,0
2016-08-22,26
2016-08-23,9
2016-08-24,17
2016-08-25,25
2016-08-26,13
2016-08-27,10
2016-08-28,0
2016-08-29,17
2016-08-30,21
2016-08-31,12
2016-09-01,34
2016-09-02,17
2016-09-03,0
2016-09-04,9
2016-09-05,0
2016-09-06,16
2016-09-07,25
2016-09-08,0
2016-09-09,17
2016-09-10,19
2016-09-11,0
2016-09-12,25
2016-09-13,8
2016-09-14,16
2016-09-15,0
2016-09-16,25
2016-09-17,9
2016-09-18,9
2016-09-19,16
2016-09-20,16
2016-09-21,16
2016-09-22,12
2016-09-23,0
2016-09-24,9
2016-09-25,0
2016-09-26,0
2016-09-27,16
2016-09-28,8
2016-09-29,0
2016-09-30,30
2016-10-01,14
2016-10-02,9
2016-10-03,20
2016-10-04,24
2016-10-05,32
2016-10-06,40
2016-10-07,17
2016-10-08,0
2016-10-09,0
2016-10-10,16
2016-10-11,8
2016-10-12,12
2016-10-13,20
2016-10-14,25
2016-10-15,0
2016-10-16,9
2016-10-17,8
2016-10-18,16
2016-10-19,28
2016-10-20,16
2016-10-21,8
2016-10-22,0
2016-10-23,9
2016-10-24,20
2016-10-25,24
2016-10-26,32
2016-10-27,20
2016-10-28,29
2016-10-29,28
2016-10-30,0
2016-10-31,16
2016-11-01,20
2016-11-02,8
2016-11-03,12
2016-11-04,42
2016-11-05,0
2016-11-06,0
2016-11-07,31
2016-11-08,43
2016-11-09,54
2016-11-10,40
2016-11-11,29
2016-11-12,9
2016-11-13,9
2016-11-14,24
2016-11-15,39
2016-11-16,24
2016-11-17,28
2016-11-18,33
2016-11-19,0
2016-11-20,0
2016-11-21,35
2016-11-22,19
2016-11-23,43
2016-11-24,8
2016-11-25,12
2016-11-26,0
2016-11-27,0
2016-11-28,19
2016-11-29,23
2016-11-30,38
2016-12-01,31
2016-12-02,20
2016-12-03,9
2016-12-04,8
2016-12-05,14
2016-12-06,23
2016-12-07,15
2016-12-08,19
2016-12-09,20
2016-12-10,18
2016-12-11,0
2016-12-12,56
2016-12-13,19
2016-12-14,15
2016-12-15,28
2016-12-16,16
2016-12-17,9
2016-12-18,9
2016-12-19,8
2016-12-20,8
2016-12-21,20
2016-12-22,12
2016-12-23,21
2016-12-24,10
2016-12-25,0
2016-12-26,9
2016-12-27,16
2016-12-28,8
2016-12-29,17
2016-12-30,9
2016-12-31,0
2017-01-01,10
2017-01-02,8
2017-01-03,23
2017-01-04,42
2017-01-05,23
2017-01-06,100
2017-01-07,17
2017-01-08,0
2017-01-09,37
2017-01-10,67
2017-01-11,52
2017-01-12,45
2017-01-13,54
2017-01-14,0
2017-01-15,0
2017-01-16,22
2017-01-17,18
2017-01-18,37
2017-01-19,19
