date,debt,isPartial
2017-10-06,75,False
2017-10-07,57,False
2017-10-08,56,False
2017-10-09,85,False
2017-10-10,85,False
2017-10-11,87,False
2017-10-12,94,False
2017-10-13,78,False
2017-10-14,56,False
2017-10-15,68,False
2017-10-16,86,False
2017-10-17,91,False
2017-10-18,84,False
2017-10-19,91,False
2017-10-20,80,False
2017-10-21,60,False
2017-10-22,56,False
2017-10-23,86,False
2017-10-24,89,False
2017-10-25,89,False
2017-10-26,85,False
2017-10-27,79,False
2017-10-28,54,False
2017-10-29,59,False
2017-10-30,82,False
2017-10-31,84,False
2017-11-01,84,False
2017-11-02,90,False
2017-11-03,83,False
2017-11-04,60,False
2017-11-05,58,False
2017-11-06,86,False
2017-11-07,84,False
2017-11-08,90,False
2017-11-09,87,False
2017-11-10,74,False
2017-11-11,52,False
2017-11-12,65,False
2017-11-13,85,False
2017-11-14,93,False
2017-11-15,90,False
2017-11-16,88,False
2017-11-17,78,False
2017-11-18,56,False
2017-11-19,56,False
2017-11-20,82,False
2017-11-21,81,False
2017-11-22,77,False
2017-11-23,59,False
2017-11-24,59,False
2017-11-25,51,False
2017-11-26,58,False
2017-11-27,86,False
2017-11-28,93,False
2017-11-29,93,False
2017-11-30,95,False
2017-12-01,86,False
2017-12-02,68,False
2017-12-03,66,False
2017-12-04,90,False
2017-12-05,93,False
2017-12-06,90,False
2017-12-07,91,False
2017-12-08,82,False
2017-12-09,57,False
2017-12-10,61,False
2017-12-11,85,False
2017-12-12,85,False
2017-12-13,85,False
2017-12-14,88,False
2017-12-15,71,False
2017-12-16,56,False
2017-12-17,54,False
2017-12-18,76,False
2017-12-19,79,False
2017-12-20,82,False
2017-12-21,79,False
2017-12-22,62,False
2017-12-23,45,False
2017-12-24,40,False
2017-12-25,40,False
2017-12-26,54,False
2017-12-27,71,False
2017-12-28,67,False
2017-12-29,62,False
2017-12-30,51,False
2017-12-31,46,False
2018-01-01,52,False
2018-01-02,75,False
2018-01-03,80,False
2018-01-04,82,False
2018-01-05,79,False
2018-01-06,62,False
2018-01-07,58,False
2018-01-08,83,False
2018-01-09,89,False
2018-01-10,89,False
2018-01-11,84,False
2018-01-12,77,False
2018-01-13,56,False
2018-01-14,55,False
2018-01-15,75,False
2018-01-16,80,False
2018-01-17,86,False
2018-01-18,91,False
2018-01-19,80,False
2018-01-20,68,False
2018-01-21,64,False
2018-01-22,89,False
2018-01-23,94,False
2018-01-24,87,False
2018-01-25,87,False
2018-01-26,81,False
2018-01-27,58,False
2018-01-28,59,False
2018-01-29,86,False
2018-01-30,91,False
2018-01-31,92,False
2018-02-01,98,False
2018-02-02,81,False
2018-02-03,62,False
2018-02-04,66,False
2018-02-05,90,False
2018-02-06,94,False
2018-02-07,92,False
2018-02-08,97,False
2018-02-09,93,False
2018-02-10,62,False
2018-02-11,64,False
2018-02-12,97,False
2018-02-13,100,False
2018-02-14,87,False
2018-02-15,92,False
2018-02-16,79,False
2018-02-17,64,False
2018-02-18,63,False
2018-02-19,83,False
2018-02-20,90,False
2018-02-21,91,False
2018-02-22,94,False
2018-02-23,80,False
2018-02-24,61,False
2018-02-25,61,False
2018-02-26,89,False
2018-02-27,92,False
2018-02-28,88,False
2018-03-01,88,False
2018-03-02,80,False
2018-03-03,59,False
2018-03-04,60,False
2018-03-05,87,False
2018-03-06,88,False
2018-03-07,92,False
2018-03-08,85,False
2018-03-09,83,False
2018-03-10,59,False
2018-03-11,62,False
2018-03-12,81,False
2018-03-13,91,False
2018-03-14,84,False
2018-03-15,91,False
2018-03-16,83,False
2018-03-17,64,False
2018-03-18,64,False
2018-03-19,90,False
2018-03-20,92,False
2018-03-21,87,False
2018-03-22,93,False
2018-03-23,84,False
2018-03-24,60,False
2018-03-25,62,False
2018-03-26,87,False
2018-03-27,90,False
2018-03-28,90,False
2018-03-29,83,False
2018-03-30,67,False
2018-03-31,56,False
2018-04-01,55,False
2018-04-02,82,False
2018-04-03,89,False
2018-04-04,89,False
2018-04-05,85,False
2018-04-06,86,False
2018-04-07,65,False
2018-04-08,67,False
2018-04-09,91,False
2018-04-10,93,False
2018-04-11,92,False
2018-04-12,91,False
2018-04-13,84,False
2018-04-14,59,False
2018-04-15,68,False
2018-04-16,95,False
2018-04-17,98,False
2018-04-18,97,False
2018-04-19,98,False
2018-04-20,83,False
2018-04-21,67,False
2018-04-22,70,False
2018-04-23,90,False
2018-04-24,100,False
2018-04-25,93,False
2018-04-26,86,False
2018-04-27,79,False
2018-04-28,60,False
2018-04-29,63,False
2018-04-30,87,False
2018-05-01,96,False
2018-05-02,89,False
2018-05-03,88,False
2018-05-04,82,False
2018-05-05,59,False
2018-05-06,62,False
2018-05-07,82,False
2018-05-08,92,False
2018-05-09,88,False
2018-05-10,86,False
2018-05-11,79,False
2018-05-12,56,False
2018-05-13,64,False
2018-05-14,86,False
2018-05-15,88,False
2018-05-16,86,False
2018-05-17,81,False
2018-05-18,75,False
2018-05-19,54,False
2018-05-20,56,False
2018-05-21,88,False
2018-05-22,88,False
2018-05-23,86,False
2018-05-24,82,False
2018-05-25,74,False
2018-05-26,54,False
2018-05-27,65,False
2018-05-28,62,False
2018-05-29,85,False
2018-05-30,91,False
2018-05-31,89,False
2018-06-01,82,False
2018-06-02,65,False
2018-06-03,64,False
2018-06-04,83,False
2018-06-05,85,False
2018-06-06,92,False
2018-06-07,83,False
2018-06-08,78,False
2018-06-09,66,False
2018-06-10,65,False
2018-06-11,81,False
2018-06-12,84,False
2018-06-13,79,False
2018-06-14,73,False
2018-06-15,69,False
2018-06-16,51,False
2018-06-17,46,False
2018-06-18,73,False
2018-06-19,78,False
2018-06-20,76,False
2018-06-21,72,False
2018-06-22,68,False
2018-06-23,50,False
