date,debt,isPartial
2010-08-24,75,False
2010-08-25,71,False
2010-08-26,75,False
2010-08-27,63,False
2010-08-28,41,False
2010-08-29,44,False
2010-08-30,67,False
2010-08-31,73,False
2010-09-01,69,False
2010-09-02,80,False
2010-09-03,61,False
2010-09-04,45,False
2010-09-05,41,False
2010-09-06,51,False
2010-09-07,74,False
2010-09-08,72,False
2010-09-09,82,False
2010-09-10,60,False
2010-09-11,42,False
2010-09-12,48,False
2010-09-13,66,False
2010-09-14,70,False
2010-09-15,74,False
2010-09-16,71,False
2010-09-17,64,False
2010-09-18,43,False
2010-09-19,44,False
2010-09-20,72,False
2010-09-21,74,False
2010-09-22,84,False
2010-09-23,70,False
2010-09-24,74,False
2010-09-25,43,False
2010-09-26,45,False
2010-09-27,82,False
2010-09-28,78,False
2010-09-29,75,False
2010-09-30,76,False
2010-10-01,62,False
2010-10-02,39,False
2010-10-03,47,False
2010-10-04,70,False
2010-10-05,82,False
2010-10-06,76,False
2010-10-07,79,False
2010-10-08,77,False
2010-10-09,45,False
2010-10-10,46,False
2010-10-11,74,False
2010-10-12,80,False
2010-10-13,80,False
2010-10-14,75,False
2010-10-15,67,False
2010-10-16,56,False
2010-10-17,45,False
2010-10-18,85,False
2010-10-19,81,False
2010-10-20,81,False
2010-10-21,79,False
2010-10-22,71,False
2010-10-23,50,False
2010-10-24,48,False
2010-10-25,77,False
2010-10-26,79,False
2010-10-27,81,False
2010-10-28,73,False
2010-10-29,69,False
2010-10-30,43,False
2010-10-31,54,False
2010-11-01,82,False
2010-11-02,85,False
2010-11-03,92,False
2010-11-04,81,False
2010-11-05,72,False
2010-11-06,48,False
2010-11-07,51,False
2010-11-08,81,False
2010-11-09,82,False
2010-11-10,77,False
2010-11-11,86,False
2010-11-12,83,False
2010-11-13,52,False
2010-11-14,54,False
2010-11-15,84,False
2010-11-16,95,False
2010-11-17,80,False
2010-11-18,85,False
2010-11-19,73,False
2010-11-20,54,False
2010-11-21,52,False
2010-11-22,80,False
2010-11-23,80,False
2010-11-24,63,False
2010-11-25,55,False
2010-11-26,47,False
2010-11-27,45,False
2010-11-28,46,False
2010-11-29,77,False
2010-11-30,79,False
2010-12-01,78,False
2010-12-02,77,False
2010-12-03,77,False
2010-12-04,48,False
2010-12-05,48,False
2010-12-06,76,False
2010-12-07,79,False
2010-12-08,76,False
2010-12-09,74,False
2010-12-10,63,False
2010-12-11,44,False
2010-12-12,43,False
2010-12-13,70,False
2010-12-14,72,False
2010-12-15,69,False
2010-12-16,63,False
2010-12-17,53,False
2010-12-18,37,False
2010-12-19,41,False
2010-12-20,58,False
2010-12-21,62,False
2010-12-22,55,False
2010-12-23,44,False
2010-12-24,36,False
2010-12-25,25,False
2010-12-26,32,False
2010-12-27,44,False
2010-12-28,52,False
2010-12-29,54,False
2010-12-30,57,False
2010-12-31,47,False
2011-01-01,38,False
2011-01-02,42,False
2011-01-03,63,False
2011-01-04,84,False
2011-01-05,86,False
2011-01-06,82,False
2011-01-07,74,False
2011-01-08,51,False
2011-01-09,42,False
2011-01-10,67,False
2011-01-11,75,False
2011-01-12,72,False
2011-01-13,71,False
2011-01-14,75,False
2011-01-15,47,False
2011-01-16,51,False
2011-01-17,73,False
2011-01-18,79,False
2011-01-19,81,False
2011-01-20,73,False
2011-01-21,74,False
2011-01-22,48,False
2011-01-23,52,False
2011-01-24,81,False
2011-01-25,78,False
2011-01-26,91,False
2011-01-27,88,False
2011-01-28,73,False
2011-01-29,50,False
2011-01-30,55,False
2011-01-31,79,False
2011-02-01,71,False
2011-02-02,65,False
2011-02-03,78,False
2011-02-04,66,False
2011-02-05,43,False
2011-02-06,53,False
2011-02-07,75,False
2011-02-08,76,False
2011-02-09,76,False
2011-02-10,74,False
2011-02-11,69,False
2011-02-12,50,False
2011-02-13,44,False
2011-02-14,76,False
2011-02-15,81,False
2011-02-16,86,False
2011-02-17,78,False
2011-02-18,71,False
2011-02-19,44,False
2011-02-20,49,False
2011-02-21,66,False
2011-02-22,77,False
2011-02-23,71,False
2011-02-24,73,False
2011-02-25,66,False
2011-02-26,53,False
2011-02-27,47,False
2011-02-28,72,False
2011-03-01,77,False
2011-03-02,76,False
2011-03-03,77,False
2011-03-04,68,False
2011-03-05,44,False
2011-03-06,48,False
2011-03-07,75,False
2011-03-08,80,False
2011-03-09,73,False
2011-03-10,83,False
2011-03-11,66,False
2011-03-12,42,False
2011-03-13,47,False
2011-03-14,73,False
2011-03-15,74,False
2011-03-16,74,False
2011-03-17,67,False
2011-03-18,56,False
2011-03-19,41,False
2011-03-20,46,False
2011-03-21,76,False
2011-03-22,76,False
2011-03-23,73,False
2011-03-24,74,False
2011-03-25,67,False
2011-03-26,47,False
2011-03-27,46,False
2011-03-28,74,False
2011-03-29,74,False
2011-03-30,76,False
2011-03-31,73,False
2011-04-01,65,False
2011-04-02,43,False
2011-04-03,43,False
2011-04-04,76,False
2011-04-05,76,False
2011-04-06,83,False
2011-04-07,80,False
2011-04-08,76,False
2011-04-09,66,False
2011-04-10,59,False
2011-04-11,89,False
2011-04-12,94,False
2011-04-13,100,False
2011-04-14,96,False
2011-04-15,81,False
2011-04-16,56,False
2011-04-17,52,False
2011-04-18,90,False
2011-04-19,100,False
2011-04-20,91,False
2011-04-21,83,False
2011-04-22,62,False
2011-04-23,52,False
2011-04-24,51,False
2011-04-25,73,False
2011-04-26,78,False
2011-04-27,78,False
2011-04-28,74,False
2011-04-29,59,False
2011-04-30,41,False
2011-05-01,46,False
2011-05-02,68,False
2011-05-03,77,False
2011-05-04,73,False
2011-05-05,74,False
2011-05-06,67,False
2011-05-07,44,False
