date,Facebook Inc,isPartial
2017-05-29,55,False
2017-05-30,64,False
2017-05-31,55,False
2017-06-01,72,False
2017-06-02,65,False
2017-06-03,46,False
2017-06-04,36,False
2017-06-05,67,False
2017-06-06,66,False
2017-06-07,80,False
2017-06-08,69,False
2017-06-09,51,False
2017-06-10,27,False
2017-06-11,52,False
2017-06-12,73,False
2017-06-13,55,False
2017-06-14,75,False
2017-06-15,62,False
2017-06-16,59,False
2017-06-17,52,False
2017-06-18,42,False
2017-06-19,77,False
2017-06-20,65,False
2017-06-21,90,False
2017-06-22,74,False
2017-06-23,68,False
2017-06-24,58,False
2017-06-25,43,False
2017-06-26,60,False
2017-06-27,58,False
2017-06-28,63,False
2017-06-29,75,False
2017-06-30,60,False
2017-07-01,42,False
2017-07-02,44,False
2017-07-03,65,False
2017-07-04,52,False
2017-07-05,53,False
2017-07-06,68,False
2017-07-07,53,False
2017-07-08,40,False
2017-07-09,61,False
2017-07-10,77,False
2017-07-11,64,False
2017-07-12,55,False
2017-07-13,75,False
2017-07-14,62,False
2017-07-15,64,False
2017-07-16,52,False
2017-07-17,62,False
2017-07-18,86,False
2017-07-19,82,False
2017-07-20,72,False
2017-07-21,60,False
2017-07-22,59,False
2017-07-23,58,False
2017-07-24,78,False
2017-07-25,73,False
2017-07-26,85,False
2017-07-27,83,False
2017-07-28,72,False
2017-07-29,57,False
2017-07-30,54,False
2017-07-31,76,False
2017-08-01,73,False
2017-08-02,74,False
2017-08-03,61,False
2017-08-04,77,False
2017-08-05,60,False
2017-08-06,42,False
2017-08-07,70,False
2017-08-08,73,False
2017-08-09,66,False
2017-08-10,78,False
2017-08-11,61,False
2017-08-12,48,False
2017-08-13,31,False
2017-08-14,56,False
2017-08-15,99,False
2017-08-16,63,False
2017-08-17,73,False
2017-08-18,58,False
2017-08-19,48,False
2017-08-20,56,False
2017-08-21,61,False
2017-08-22,68,False
2017-08-23,79,False
2017-08-24,74,False
2017-08-25,63,False
2017-08-26,39,False
2017-08-27,38,False
2017-08-28,60,False
2017-08-29,71,False
2017-08-30,64,False
2017-08-31,53,False
2017-09-01,73,False
2017-09-02,53,False
2017-09-03,51,False
2017-09-04,56,False
2017-09-05,68,False
2017-09-06,67,False
2017-09-07,66,False
2017-09-08,60,False
2017-09-09,52,False
2017-09-10,45,False
2017-09-11,71,False
2017-09-12,73,False
2017-09-13,74,False
2017-09-14,69,False
2017-09-15,71,False
2017-09-16,58,False
2017-09-17,52,False
2017-09-18,82,False
2017-09-19,88,False
2017-09-20,68,False
2017-09-21,71,False
2017-09-22,65,False
2017-09-23,36,False
2017-09-24,47,False
2017-09-25,57,False
2017-09-26,69,False
2017-09-27,68,False
2017-09-28,48,False
2017-09-29,68,False
2017-09-30,43,False
2017-10-01,39,False
2017-10-02,71,False
2017-10-03,61,False
2017-10-04,80,False
2017-10-05,64,False
2017-10-06,65,False
2017-10-07,55,False
2017-10-08,51,False
2017-10-09,57,False
2017-10-10,59,False
2017-10-11,67,False
2017-10-12,100,False
2017-10-13,55,False
2017-10-14,50,False
2017-10-15,51,False
2017-10-16,63,False
2017-10-17,72,False
2017-10-18,73,False
2017-10-19,46,False
2017-10-20,61,False
2017-10-21,52,False
2017-10-22,48,False
2017-10-23,73,False
2017-10-24,76,False
2017-10-25,82,False
2017-10-26,80,False
2017-10-27,57,False
2017-10-28,43,False
2017-10-29,43,False
2017-10-30,70,False
2017-10-31,94,False
2017-11-01,68,False
2017-11-02,73,False
2017-11-03,66,False
2017-11-04,35,False
2017-11-05,47,False
2017-11-06,67,False
2017-11-07,71,False
2017-11-08,65,False
2017-11-09,63,False
2017-11-10,60,False
2017-11-11,38,False
2017-11-12,52,False
2017-11-13,46,False
2017-11-14,59,False
2017-11-15,60,False
2017-11-16,79,False
2017-11-17,69,False
2017-11-18,39,False
2017-11-19,64,False
2017-11-20,57,False
2017-11-21,62,False
2017-11-22,66,False
2017-11-23,48,False
2017-11-24,56,False
2017-11-25,44,False
2017-11-26,36,False
2017-11-27,50,False
2017-11-28,79,False
2017-11-29,64,False
2017-11-30,49,False
2017-12-01,64,False
2017-12-02,39,False
2017-12-03,45,False
2017-12-04,49,False
2017-12-05,69,False
2017-12-06,87,False
2017-12-07,59,False
2017-12-08,62,False
2017-12-09,44,False
2017-12-10,35,False
2017-12-11,64,False
2017-12-12,63,False
2017-12-13,77,False
2017-12-14,52,False
2017-12-15,55,False
2017-12-16,35,False
2017-12-17,36,False
2017-12-18,61,False
2017-12-19,47,False
2017-12-20,64,False
2017-12-21,73,False
2017-12-22,50,False
2017-12-23,41,False
2017-12-24,38,False
2017-12-25,30,False
2017-12-26,49,False
2017-12-27,54,False
2017-12-28,61,False
2017-12-29,48,False
2017-12-30,53,False
2017-12-31,51,False
2018-01-01,39,False
2018-01-02,63,False
2018-01-03,69,False
2018-01-04,68,False
2018-01-05,67,False
2018-01-06,41,False
2018-01-07,38,False
2018-01-08,56,False
2018-01-09,68,False
2018-01-10,58,False
2018-01-11,75,False
2018-01-12,74,False
2018-01-13,57,False
2018-01-14,45,False
2018-01-15,64,False
2018-01-16,66,False
2018-01-17,73,False
2018-01-18,66,False
2018-01-19,83,False
2018-01-20,59,False
2018-01-21,32,False
2018-01-22,43,False
2018-01-23,72,False
2018-01-24,59,False
2018-01-25,74,False
2018-01-26,66,False
2018-01-27,41,False
2018-01-28,37,False
2018-01-29,74,False
2018-01-30,72,False
2018-01-31,55,False
2018-02-01,74,False
2018-02-02,71,False
2018-02-03,47,False
2018-02-04,25,False
2018-02-05,61,False
2018-02-06,80,False
2018-02-07,69,False
2018-02-08,77,False
2018-02-09,76,False
2018-02-10,45,False
2018-02-11,49,False
2018-02-12,70,False
2018-02-13,67,False
