date,Facebook Inc,isPartial
2013-06-29,92,False
2013-06-30,76,False
2013-07-01,95,False
2013-07-02,93,False
2013-07-03,84,False
2013-07-04,100,False
2013-07-05,72,False
2013-07-06,66,False
2013-07-07,76,False
2013-07-08,82,False
2013-07-09,82,False
2013-07-10,80,False
2013-07-11,83,False
2013-07-12,73,False
2013-07-13,72,False
2013-07-14,75,False
2013-07-15,76,False
2013-07-16,83,False
2013-07-17,93,False
2013-07-18,84,False
2013-07-19,78,False
2013-07-20,61,False
2013-07-21,62,False
2013-07-22,91,False
2013-07-23,86,False
2013-07-24,83,False
2013-07-25,87,False
2013-07-26,68,False
2013-07-27,54,False
2013-07-28,58,False
2013-07-29,74,False
2013-07-30,87,False
2013-07-31,94,False
2013-08-01,80,False
2013-08-02,77,False
2013-08-03,57,False
2013-08-04,60,False
2013-08-05,77,False
2013-08-06,87,False
2013-08-07,80,False
2013-08-08,76,False
2013-08-09,69,False
2013-08-10,64,False
2013-08-11,53,False
2013-08-12,74,False
2013-08-13,69,False
2013-08-14,78,False
2013-08-15,79,False
2013-08-16,81,False
2013-08-17,66,False
2013-08-18,50,False
2013-08-19,66,False
2013-08-20,89,False
2013-08-21,64,False
2013-08-22,82,False
2013-08-23,80,False
2013-08-24,60,False
2013-08-25,55,False
2013-08-26,54,False
2013-08-27,67,False
2013-08-28,71,False
2013-08-29,77,False
2013-08-30,69,False
2013-08-31,58,False
2013-09-01,49,False
2013-09-02,47,False
2013-09-03,66,False
2013-09-04,72,False
2013-09-05,76,False
2013-09-06,63,False
2013-09-07,58,False
2013-09-08,53,False
2013-09-09,66,False
2013-09-10,82,False
2013-09-11,71,False
2013-09-12,67,False
2013-09-13,65,False
2013-09-14,56,False
2013-09-15,37,False
2013-09-16,76,False
2013-09-17,69,False
2013-09-18,72,False
2013-09-19,72,False
2013-09-20,76,False
2013-09-21,44,False
2013-09-22,41,False
2013-09-23,56,False
2013-09-24,52,False
2013-09-25,55,False
2013-09-26,64,False
2013-09-27,65,False
2013-09-28,49,False
2013-09-29,45,False
2013-09-30,70,False
2013-10-01,69,False
2013-10-02,65,False
2013-10-03,60,False
2013-10-04,63,False
2013-10-05,45,False
2013-10-06,46,False
2013-10-07,58,False
2013-10-08,67,False
2013-10-09,69,False
2013-10-10,65,False
2013-10-11,60,False
2013-10-12,71,False
2013-10-13,51,False
2013-10-14,59,False
2013-10-15,61,False
2013-10-16,78,False
2013-10-17,63,False
2013-10-18,60,False
2013-10-19,63,False
2013-10-20,49,False
2013-10-21,66,False
2013-10-22,58,False
2013-10-23,69,False
2013-10-24,44,False
2013-10-25,64,False
2013-10-26,58,False
2013-10-27,46,False
2013-10-28,57,False
2013-10-29,49,False
2013-10-30,63,False
2013-10-31,55,False
2013-11-01,55,False
2013-11-02,53,False
2013-11-03,42,False
2013-11-04,57,False
2013-11-05,56,False
2013-11-06,66,False
2013-11-07,65,False
2013-11-08,62,False
2013-11-09,56,False
2013-11-10,40,False
2013-11-11,67,False
2013-11-12,56,False
2013-11-13,73,False
2013-11-14,61,False
2013-11-15,44,False
2013-11-16,49,False
2013-11-17,42,False
2013-11-18,63,False
2013-11-19,60,False
2013-11-20,57,False
2013-11-21,57,False
2013-11-22,64,False
2013-11-23,52,False
2013-11-24,42,False
2013-11-25,52,False
2013-11-26,69,False
2013-11-27,58,False
2013-11-28,38,False
2013-11-29,38,False
2013-11-30,46,False
2013-12-01,39,False
2013-12-02,58,False
2013-12-03,58,False
2013-12-04,65,False
2013-12-05,59,False
2013-12-06,62,False
2013-12-07,47,False
2013-12-08,38,False
2013-12-09,48,False
2013-12-10,66,False
2013-12-11,54,False
2013-12-12,63,False
