date,Applied Materials,isPartial
2013-06-29,4,False
2013-06-30,7,False
2013-07-01,14,False
2013-07-02,19,False
2013-07-03,18,False
2013-07-04,15,False
2013-07-05,11,False
2013-07-06,8,False
2013-07-07,13,False
2013-07-08,17,False
2013-07-09,20,False
2013-07-10,17,False
2013-07-11,23,False
2013-07-12,18,False
2013-07-13,11,False
2013-07-14,4,False
2013-07-15,14,False
2013-07-16,19,False
2013-07-17,20,False
2013-07-18,18,False
2013-07-19,15,False
2013-07-20,10,False
2013-07-21,11,False
2013-07-22,14,False
2013-07-23,10,False
2013-07-24,19,False
2013-07-25,26,False
2013-07-26,12,False
2013-07-27,5,False
2013-07-28,4,False
2013-07-29,21,False
2013-07-30,14,False
2013-07-31,17,False
2013-08-01,19,False
2013-08-02,13,False
2013-08-03,6,False
2013-08-04,13,False
2013-08-05,17,False
2013-08-06,20,False
2013-08-07,14,False
2013-08-08,18,False
2013-08-09,15,False
2013-08-10,2,False
2013-08-11,10,False
2013-08-12,22,False
2013-08-13,15,False
2013-08-14,18,False
2013-08-15,21,False
2013-08-16,24,False
2013-08-17,14,False
2013-08-18,10,False
2013-08-19,12,False
2013-08-20,20,False
2013-08-21,27,False
2013-08-22,18,False
2013-08-23,16,False
2013-08-24,9,False
2013-08-25,8,False
2013-08-26,17,False
2013-08-27,18,False
2013-08-28,18,False
2013-08-29,20,False
2013-08-30,20,False
2013-08-31,11,False
2013-09-01,11,False
2013-09-02,15,False
2013-09-03,12,False
2013-09-04,21,False
2013-09-05,22,False
2013-09-06,13,False
2013-09-07,11,False
2013-09-08,14,False
2013-09-09,17,False
2013-09-10,16,False
2013-09-11,22,False
2013-09-12,19,False
2013-09-13,23,False
2013-09-14,7,False
2013-09-15,8,False
2013-09-16,12,False
2013-09-17,18,False
2013-09-18,21,False
2013-09-19,20,False
2013-09-20,15,False
2013-09-21,12,False
2013-09-22,8,False
2013-09-23,18,False
2013-09-24,100,False
2013-09-25,81,False
2013-09-26,35,False
2013-09-27,30,False
2013-09-28,16,False
2013-09-29,12,False
2013-09-30,21,False
2013-10-01,27,False
2013-10-02,22,False
2013-10-03,22,False
2013-10-04,21,False
2013-10-05,9,False
2013-10-06,12,False
2013-10-07,20,False
2013-10-08,21,False
2013-10-09,22,False
2013-10-10,22,False
2013-10-11,15,False
2013-10-12,12,False
2013-10-13,7,False
2013-10-14,29,False
2013-10-15,20,False
2013-10-16,24,False
2013-10-17,16,False
2013-10-18,26,False
2013-10-19,14,False
2013-10-20,14,False
2013-10-21,23,False
2013-10-22,22,False
2013-10-23,22,False
2013-10-24,24,False
2013-10-25,17,False
2013-10-26,9,False
2013-10-27,14,False
2013-10-28,23,False
2013-10-29,22,False
2013-10-30,21,False
2013-10-31,22,False
2013-11-01,20,False
2013-11-02,13,False
2013-11-03,8,False
2013-11-04,19,False
2013-11-05,22,False
2013-11-06,16,False
2013-11-07,24,False
2013-11-08,14,False
2013-11-09,7,False
2013-11-10,7,False
2013-11-11,20,False
2013-11-12,26,False
2013-11-13,19,False
2013-11-14,22,False
2013-11-15,22,False
2013-11-16,6,False
2013-11-17,8,False
2013-11-18,22,False
2013-11-19,23,False
2013-11-20,25,False
2013-11-21,31,False
2013-11-22,31,False
2013-11-23,13,False
2013-11-24,12,False
2013-11-25,22,False
2013-11-26,19,False
2013-11-27,23,False
2013-11-28,17,False
2013-11-29,19,False
2013-11-30,9,False
2013-12-01,12,False
2013-12-02,21,False
2013-12-03,23,False
2013-12-04,23,False
2013-12-05,21,False
2013-12-06,17,False
2013-12-07,7,False
2013-12-08,10,False
2013-12-09,17,False
2013-12-10,16,False
2013-12-11,17,False
2013-12-12,20,False
2013-12-13,25,False
2013-12-14,12,False
2013-12-15,11,False
2013-12-16,16,False
2013-12-17,20,False
2013-12-18,20,False
2013-12-19,16,False
2013-12-20,15,False
2013-12-21,8,False
2013-12-22,8,False
2013-12-23,14,False
2013-12-24,9,False
2013-12-25,5,False
2013-12-26,13,False
2013-12-27,13,False
2013-12-28,7,False
2013-12-29,3,False
2013-12-30,18,False
2013-12-31,14,False
2014-01-01,9,False
2014-01-02,13,False
2014-01-03,16,False
2014-01-04,17,False
2014-01-05,4,False
2014-01-06,20,False
2014-01-07,16,False
2014-01-08,26,False
2014-01-09,17,False
2014-01-10,16,False
2014-01-11,8,False
2014-01-12,11,False
2014-01-13,21,False
2014-01-14,20,False
2014-01-15,26,False
