date,Tesla,isPartial
2015-08-18,8,False
2015-08-19,7,False
2015-08-20,7,False
2015-08-21,7,False
2015-08-22,7,False
2015-08-23,7,False
2015-08-24,7,False
2015-08-25,7,False
2015-08-26,6,False
2015-08-27,9,False
2015-08-28,10,False
2015-08-29,8,False
2015-08-30,8,False
2015-08-31,7,False
2015-09-01,7,False
2015-09-02,10,False
2015-09-03,10,False
2015-09-04,8,False
2015-09-05,7,False
2015-09-06,8,False
2015-09-07,7,False
2015-09-08,6,False
2015-09-09,6,False
2015-09-10,7,False
2015-09-11,7,False
2015-09-12,7,False
2015-09-13,7,False
2015-09-14,7,False
2015-09-15,7,False
2015-09-16,7,False
2015-09-17,7,False
2015-09-18,7,False
2015-09-19,7,False
2015-09-20,7,False
2015-09-21,7,False
2015-09-22,7,False
2015-09-23,7,False
2015-09-24,7,False
2015-09-25,8,False
2015-09-26,8,False
2015-09-27,9,False
2015-09-28,7,False
2015-09-29,9,False
2015-09-30,23,False
2015-10-01,13,False
2015-10-02,11,False
2015-10-03,10,False
2015-10-04,9,False
2015-10-05,9,False
2015-10-06,8,False
2015-10-07,8,False
2015-10-08,8,False
2015-10-09,8,False
2015-10-10,8,False
2015-10-11,8,False
2015-10-12,8,False
2015-10-13,7,False
2015-10-14,7,False
2015-10-15,11,False
2015-10-16,10,False
2015-10-17,8,False
2015-10-18,8,False
2015-10-19,8,False
2015-10-20,8,False
2015-10-21,9,False
2015-10-22,8,False
2015-10-23,8,False
2015-10-24,8,False
2015-10-25,7,False
2015-10-26,7,False
2015-10-27,8,False
2015-10-28,7,False
2015-10-29,7,False
2015-10-30,7,False
2015-10-31,7,False
2015-11-01,7,False
2015-11-02,7,False
2015-11-03,7,False
2015-11-04,9,False
2015-11-05,7,False
2015-11-06,7,False
2015-11-07,7,False
2015-11-08,7,False
2015-11-09,6,False
2015-11-10,7,False
2015-11-11,6,False
2015-11-12,7,False
2015-11-13,7,False
2015-11-14,6,False
2015-11-15,6,False
2015-11-16,6,False
2015-11-17,6,False
2015-11-18,6,False
2015-11-19,6,False
2015-11-20,8,False
2015-11-21,7,False
2015-11-22,7,False
2015-11-23,6,False
2015-11-24,7,False
2015-11-25,7,False
2015-11-26,6,False
2015-11-27,6,False
2015-11-28,6,False
2015-11-29,7,False
2015-11-30,6,False
2015-12-01,6,False
2015-12-02,6,False
2015-12-03,7,False
2015-12-04,6,False
2015-12-05,7,False
2015-12-06,6,False
2015-12-07,6,False
2015-12-08,6,False
2015-12-09,7,False
2015-12-10,7,False
2015-12-11,7,False
2015-12-12,7,False
2015-12-13,7,False
2015-12-14,7,False
2015-12-15,6,False
2015-12-16,6,False
2015-12-17,6,False
2015-12-18,6,False
2015-12-19,6,False
2015-12-20,6,False
2015-12-21,6,False
2015-12-22,7,False
2015-12-23,7,False
2015-12-24,7,False
2015-12-25,8,False
2015-12-26,7,False
2015-12-27,7,False
2015-12-28,7,False
2015-12-29,7,False
2015-12-30,7,False
2015-12-31,7,False
2016-01-01,6,False
2016-01-02,6,False
2016-01-03,7,False
2016-01-04,7,False
2016-01-05,7,False
2016-01-06,6,False
2016-01-07,7,False
2016-01-08,6,False
2016-01-09,6,False
2016-01-10,7,False
2016-01-11,8,False
2016-01-12,7,False
2016-01-13,7,False
2016-01-14,6,False
2016-01-15,6,False
2016-01-16,6,False
2016-01-17,6,False
2016-01-18,6,False
2016-01-19,6,False
2016-01-20,6,False
2016-01-21,6,False
2016-01-22,6,False
2016-01-23,6,False
2016-01-24,6,False
2016-01-25,6,False
2016-01-26,6,False
2016-01-27,6,False
2016-01-28,7,False
2016-01-29,8,False
2016-01-30,8,False
2016-01-31,8,False
2016-02-01,7,False
2016-02-02,7,False
2016-02-03,8,False
2016-02-04,7,False
2016-02-05,8,False
2016-02-06,8,False
2016-02-07,7,False
2016-02-08,7,False
2016-02-09,7,False
2016-02-10,9,False
2016-02-11,12,False
2016-02-12,9,False
2016-02-13,8,False
2016-02-14,7,False
2016-02-15,6,False
2016-02-16,8,False
2016-02-17,7,False
2016-02-18,7,False
2016-02-19,7,False
2016-02-20,7,False
2016-02-21,7,False
2016-02-22,6,False
2016-02-23,6,False
2016-02-24,6,False
2016-02-25,6,False
2016-02-26,7,False
2016-02-27,6,False
2016-02-28,8,False
2016-02-29,7,False
2016-03-01,7,False
2016-03-02,7,False
